
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-8.033,12.8889,µm^3,Volume Inside,Image 1,1,,
-7.479,46.6528,µm^3,Volume Inside,Image 1,1,,
-6.925,134.111,µm^3,Volume Inside,Image 1,1,,
-6.371,287.458,µm^3,Volume Inside,Image 1,1,,
-5.817,519.222,µm^3,Volume Inside,Image 1,1,,
-5.263,830.611,µm^3,Volume Inside,Image 1,1,,
-4.709,1124,µm^3,Volume Inside,Image 1,1,,
-4.155,1463.24,µm^3,Volume Inside,Image 1,1,,
-3.601,1838.32,µm^3,Volume Inside,Image 1,1,,
-3.047,2253.65,µm^3,Volume Inside,Image 1,1,,
-2.493,2692.32,µm^3,Volume Inside,Image 1,1,,
-1.939,3117.49,µm^3,Volume Inside,Image 1,1,,
-1.385,3583.79,µm^3,Volume Inside,Image 1,1,,
-0.831,4024.42,µm^3,Volume Inside,Image 1,1,,
-0.277,4546.65,µm^3,Volume Inside,Image 1,1,,
