
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
251690,,Surface,4,Image 1,1,0,
216506,,Surface,4,Image 1,1,1,
88517,,Surface,4,Image 1,1,2,
68293,,Surface,4,Image 1,1,3,
