
Spine Max Diameter
 ==================== 
Spine Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.864333,µm,Spine,3,3,1,100000000,610000002460,
0.54362,µm,Spine,3,3,1,100000000,610000002477,
0.54362,µm,Spine,3,3,1,100000000,610000002487,
0.832287,µm,Spine,4,2,1,100000003,610000002501,
0.479097,µm,Spine,4,2,1,100000003,610000002510,
0.789465,µm,Spine,2,3,1,100000000,610000002517,
0.865864,µm,Spine,2,3,1,100000000,610000002529,
1.04256,µm,Spine,1,1,1,100000000,610000002538,
1.04256,µm,Spine,1,1,1,100000000,610000002546,
1.00344,µm,Spine,0,1,1,100000001,610000002553,
1.875,µm,Spine,,,1,100000002,610000002567,
1.875,µm,Spine,,,1,100000002,610000002580,
4.30888,µm,Spine,0,1,1,100000000,610000002591,
1.11153,µm,Spine,4,2,1,100000003,610000002595,
1.17588,µm,Spine,,,1,100000002,610000002606,
1.22446,µm,Spine,0,1,1,100000000,610000002610,
1.05775,µm,Spine,0,1,1,100000003,610000002613,
1.38997,µm,Spine,2,3,1,100000001,610000002615,
0.996094,µm,Spine,0,1,1,100000000,610000002619,
1.23656,µm,Spine,0,1,1,100000003,610000002622,
1.62927,µm,Spine,0,1,1,100000003,610000002626,
1.8042,µm,Spine,2,3,1,100000001,610000002629,
1.55396,µm,Spine,2,3,1,100000001,610000002631,
0.996094,µm,Spine,0,1,1,100000000,610000002635,
1.25193,µm,Spine,3,2,1,100000000,610000002654,
1.01833,µm,Spine,1,1,1,100000000,610000002655,
1.86603,µm,Spine,0,1,1,100000000,610000002656,
1.11004,µm,Spine,0,1,1,100000000,610000002657,
1.06656,µm,Spine,0,1,1,100000000,610000002658,
0.969952,µm,Spine,0,1,1,100000000,610000002659,
0.872396,µm,Spine,0,1,1,100000000,610000002660,
1.0544,µm,Spine,1,2,1,100000000,610000002661,
1.21189,µm,Spine,0,1,1,100000000,610000002662,
1.01891,µm,Spine,1,1,1,100000001,610000002663,
1.30764,µm,Spine,2,3,1,100000001,610000002670,
0.866392,µm,Spine,1,2,1,100000001,610000002671,
0.767648,µm,Spine,0,1,1,100000001,610000002672,
1.06302,µm,Spine,4,2,1,100000003,610000002675,
1.05474,µm,Spine,2,1,1,100000003,610000002676,
0.959497,µm,Spine,2,1,1,100000003,610000002677,
1.23656,µm,Spine,0,1,1,100000003,610000002678,
