
Spine Attachment Pt Time Index
 ==================== 
Spine Attachment Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,3,3,1,100000000,610000002460,
1,,Spine,3,3,1,100000000,610000002487,
1,,Spine,4,2,1,100000003,610000002510,
1,,Spine,2,3,1,100000000,610000002517,
1,,Spine,2,3,1,100000000,610000002529,
1,,Spine,1,1,1,100000000,610000002546,
1,,Spine,0,1,1,100000001,610000002553,
1,,Spine,4,2,1,100000003,610000002595,
1,,Spine,0,1,1,100000000,610000002610,
1,,Spine,0,1,1,100000003,610000002613,
1,,Spine,0,1,1,,610000002679,
1,,Spine,1,1,1,,610000002679,
1,,Spine,0,1,1,,610000002680,
1,,Spine,2,1,1,,610000002680,
1,,Spine,3,2,1,,610000002680,
1,,Spine,0,1,1,,610000002681,
1,,Spine,2,1,1,,610000002681,
1,,Spine,1,2,1,,610000002681,
1,,Spine,2,3,1,,610000002682,
1,,Spine,4,2,1,,610000002682,
1,,Spine,0,1,1,,610000002683,
1,,Spine,0,1,1,,610000002684,
1,,Spine,1,2,1,,610000002686,
1,,Spine,0,1,1,,610000002687,
