
Spine Branchings
 ==================== 
Spine Branchings,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Spine,7,4,1,100000000,610000005300,
0,,Spine,4,4,1,100000001,610000005306,
0,,Spine,4,4,1,100000001,610000005310,
0,,Spine,3,2,1,100000000,610000005314,
0,,Spine,0,1,1,100000000,610000005321,
0,,Spine,0,1,1,100000000,610000005330,
0,,Spine,0,1,1,100000000,610000005335,
0,,Spine,0,1,1,100000000,610000005339,
0,,Spine,0,1,1,100000001,610000005344,
0,,Spine,1,2,1,100000001,610000005347,
0,,Spine,0,1,1,100000000,610000005355,
0,,Spine,8,4,1,100000000,610000005358,
0,,Spine,6,2,1,100000002,610000005364,
0,,Spine,0,1,1,100000000,610000005366,
0,,Spine,0,1,1,100000000,610000005374,
0,,Spine,6,3,1,100000002,610000005377,
0,,Spine,5,4,1,100000001,610000005379,
0,,Spine,10,1,1,100000002,610000005382,
0,,Spine,0,1,1,100000000,610000005389,
0,,Spine,2,2,1,100000000,610000005392,
0,,Spine,6,2,1,100000002,610000005397,
0,,Spine,1,2,1,100000002,610000005400,
0,,Spine,6,3,1,100000000,610000005403,
0,,Spine,14,3,1,100000002,610000005408,
0,,Spine,11,6,1,100000001,610000005410,
0,,Spine,3,1,1,100000001,610000005414,
0,,Spine,8,1,1,100000002,610000005416,
0,,Spine,1,2,1,100000001,610000005418,
0,,Spine,2,2,1,100000001,610000005422,
0,,Spine,2,2,1,100000001,610000005424,
0,,Spine,3,1,1,100000001,610000005428,
0,,Spine,2,2,1,100000001,610000005434,
0,,Spine,1,1,1,100000002,610000005438,
0,,Spine,3,1,1,100000001,610000005442,
0,,Spine,4,4,1,100000001,610000005444,
0,,Spine,1,1,1,100000000,610000005450,
0,,Spine,4,2,1,100000002,610000005453,
0,,Spine,13,2,1,100000002,610000005456,
0,,Spine,4,2,1,100000002,610000005462,
0,,Spine,3,1,1,100000001,610000005466,
0,,Spine,6,2,1,100000002,610000005473,
0,,Spine,2,2,1,100000002,610000005479,
0,,Spine,2,2,1,100000001,610000005482,
0,,Spine,6,4,1,100000001,610000005492,
0,,Spine,0,1,1,100000000,610000005496,
0,,Spine,2,1,1,100000001,610000005507,
0,,Spine,0,1,1,100000000,610000005510,
0,,Spine,0,1,1,100000000,610000005532,
0,,Spine,10,3,1,100000000,610000005553,
0,,Spine,10,3,1,100000000,610000005554,
0,,Spine,9,3,1,100000000,610000005555,
0,,Spine,8,4,1,100000000,610000005556,
0,,Spine,6,3,1,100000000,610000005557,
0,,Spine,7,3,1,100000000,610000005558,
0,,Spine,6,2,1,100000000,610000005559,
0,,Spine,5,2,1,100000000,610000005560,
0,,Spine,1,2,1,100000000,610000005561,
0,,Spine,3,2,1,100000000,610000005562,
0,,Spine,4,3,1,100000000,610000005563,
0,,Spine,0,1,1,100000000,610000005564,
0,,Spine,0,1,1,100000000,610000005565,
0,,Spine,9,5,1,100000000,610000005567,
0,,Spine,8,4,1,100000000,610000005568,
0,,Spine,6,3,1,100000000,610000005569,
0,,Spine,5,2,1,100000000,610000005570,
0,,Spine,5,3,1,100000000,610000005571,
0,,Spine,2,2,1,100000000,610000005572,
0,,Spine,2,2,1,100000000,610000005573,
0,,Spine,0,1,1,100000000,610000005574,
0,,Spine,1,1,1,100000001,610000005575,
0,,Spine,1,1,1,100000001,610000005576,
0,,Spine,1,2,1,100000001,610000005577,
0,,Spine,0,1,1,100000001,610000005578,
0,,Spine,0,1,1,100000001,610000005579,
0,,Spine,0,1,1,100000001,610000005581,
0,,Spine,2,2,1,100000001,610000005582,
0,,Spine,5,1,1,100000001,610000005583,
0,,Spine,5,2,1,100000001,610000005584,
0,,Spine,3,2,1,100000001,610000005585,
0,,Spine,1,1,1,100000001,610000005586,
0,,Spine,1,1,1,100000001,610000005587,
0,,Spine,6,4,1,100000001,610000005588,
0,,Spine,2,2,1,100000001,610000005589,
0,,Spine,2,2,1,100000001,610000005590,
0,,Spine,6,4,1,100000001,610000005592,
0,,Spine,6,5,1,100000001,610000005593,
0,,Spine,5,4,1,100000001,610000005594,
0,,Spine,2,2,1,100000001,610000005595,
0,,Spine,2,2,1,100000001,610000005596,
0,,Spine,1,1,1,100000001,610000005597,
0,,Spine,2,2,1,100000001,610000005598,
0,,Spine,2,2,1,100000001,610000005599,
0,,Spine,1,2,1,100000001,610000005600,
0,,Spine,13,2,1,100000002,610000005602,
0,,Spine,12,3,1,100000002,610000005603,
0,,Spine,12,3,1,100000002,610000005604,
0,,Spine,12,3,1,100000002,610000005605,
0,,Spine,13,2,1,100000002,610000005606,
0,,Spine,15,1,1,100000002,610000005607,
0,,Spine,14,2,1,100000002,610000005608,
0,,Spine,13,1,1,100000002,610000005609,
0,,Spine,10,1,1,100000002,610000005610,
0,,Spine,10,1,1,100000002,610000005611,
0,,Spine,9,1,1,100000002,610000005612,
0,,Spine,7,2,1,100000002,610000005613,
0,,Spine,7,2,1,100000002,610000005614,
0,,Spine,6,1,1,100000002,610000005615,
0,,Spine,6,1,1,100000002,610000005616,
0,,Spine,6,1,1,100000002,610000005617,
0,,Spine,6,2,1,100000002,610000005618,
0,,Spine,6,2,1,100000002,610000005619,
0,,Spine,5,2,1,100000002,610000005620,
0,,Spine,2,3,1,100000002,610000005621,
0,,Spine,3,2,1,100000002,610000005624,
0,,Spine,1,2,1,100000002,610000005625,
0,,Spine,0,1,1,100000002,610000005628,
0,,Spine,0,1,1,100000002,610000005629,
0,,Spine,0,1,1,100000002,610000005630,
0,,Spine,4,2,1,100000002,610000005632,
0,,Spine,1,1,1,100000002,610000005633,
0,,Spine,0,1,1,100000002,610000005634,
0,,Spine,1,1,1,100000002,610000005635,
0,,Spine,8,1,1,100000002,610000005636,
0,,Spine,2,2,1,100000002,610000005637,
0,,Spine,1,1,1,100000002,610000005638,
0,,Spine,3,4,1,100000002,610000005639,
0,,Spine,3,4,1,100000002,610000005640,
0,,Spine,3,4,1,100000002,610000005641,
0,,Spine,4,4,1,100000002,610000005642,
0,,Spine,3,3,1,100000002,610000005643,
0,,Spine,2,2,1,100000002,610000005644,
0,,Spine,2,1,1,100000002,610000005645,
0,,Spine,1,1,1,100000002,610000005646,
0,,Spine,0,1,1,100000002,610000005647,
