
Segment Center Intensity Mean Ch=5 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1.8,,Segment,5,12,Image 1,3,1,100000002,510000000016,
4.30769,,Segment,5,11,Image 1,2,1,100000002,510000000028,
3.84615,,Segment,5,10,Image 1,2,1,100000002,510000000040,
4.48276,,Segment,5,9,Image 1,1,1,100000002,510000000068,
6.4,,Segment,5,8,Image 1,1,1,100000002,510000000072,
4.11111,,Segment,5,7,Image 1,1,1,100000002,510000000080,
5.78261,,Segment,5,6,Image 1,1,1,100000002,510000000102,
3.66667,,Segment,5,5,Image 1,1,1,100000002,510000000107,
4.33333,,Segment,5,3,Image 1,1,1,100000002,510000000110,
2.33333,,Segment,5,2,Image 1,1,1,100000002,510000000112,
3.16667,,Segment,5,1,Image 1,1,1,100000002,510000000123,
5,,Segment,5,0,Image 1,1,1,100000002,510000000146,
1.7931,,Segment,5,7,Image 1,3,1,100000001,510000000175,
2.66667,,Segment,5,6,Image 1,2,1,100000001,510000000177,
5.5,,Segment,5,5,Image 1,2,1,100000001,510000000180,
3.44828,,Segment,5,4,Image 1,2,1,100000001,510000000237,
3.34615,,Segment,5,3,Image 1,1,1,100000001,510000000262,
5.44444,,Segment,5,2,Image 1,1,1,100000001,510000000270,
3.28571,,Segment,5,1,Image 1,1,1,100000001,510000000276,
2.33333,,Segment,5,0,Image 1,1,1,100000001,510000000282,
2.34211,,Segment,5,3,Image 1,2,1,100000002,510000000344,
4.85714,,Segment,5,2,Image 1,1,1,100000002,510000000350,
3.76,,Segment,5,1,Image 1,1,1,100000002,510000000374,
2.25,,Segment,5,0,Image 1,1,1,100000002,510000000404,
0.4,,Segment,5,7,Image 1,4,1,100000000,510000000437,
3.53659,,Segment,5,6,Image 1,3,1,100000000,510000000477,
3.57143,,Segment,5,5,Image 1,2,1,100000000,510000000483,
3.75,,Segment,5,4,Image 1,2,1,100000000,510000000486,
2.75,,Segment,5,3,Image 1,2,1,100000000,510000000497,
3.66667,,Segment,5,2,Image 1,1,1,100000000,510000000499,
4.3,,Segment,5,1,Image 1,1,1,100000000,510000000518,
7.33333,,Segment,5,0,Image 1,1,1,100000000,510000000544,
2.78571,,Segment,5,12,Image 1,3,1,100000002,510000000560,
1.68889,,Segment,5,11,Image 1,2,1,100000002,510000000604,
3.1875,,Segment,5,10,Image 1,1,1,100000002,510000000651,
3.46667,,Segment,5,11,Image 1,6,1,100000001,510000000680,
4,,Segment,5,9,Image 1,5,1,100000001,510000000697,
2.66667,,Segment,5,8,Image 1,4,1,100000001,510000000708,
3.66667,,Segment,5,7,Image 1,4,1,100000001,510000000710,
2.52632,,Segment,5,6,Image 1,3,1,100000001,510000000728,
2,,Segment,5,13,Image 1,3,1,100000002,510000000732,
3,,Segment,5,12,Image 1,2,1,100000002,510000000734,
3.5,,Segment,5,13,Image 1,2,1,100000002,510000000739,
1.5,,Segment,5,4,Image 1,3,1,100000000,510000000762,
1.58763,,Segment,5,3,Image 1,2,1,100000000,510000000891,
2.22222,,Segment,5,2,Image 1,1,1,100000000,510000000908,
3.11429,,Segment,5,1,Image 1,1,1,100000000,510000000942,
3.25,,Segment,5,0,Image 1,1,1,100000000,510000000953,
2.55556,,Segment,5,4,Image 1,2,1,100000000,510000000963,
0.807692,,Segment,5,10,Image 1,5,1,100000000,510000000988,
3.5,,Segment,5,9,Image 1,4,1,100000000,510000000991,
3.25,,Segment,5,8,Image 1,4,1,100000000,510000000994,
4.33333,,Segment,5,7,Image 1,4,1,100000000,510000000996,
3.28571,,Segment,5,6,Image 1,3,1,100000000,510000001002,
4.57143,,Segment,5,5,Image 1,2,1,100000000,510000001008,
2.66667,,Segment,5,4,Image 1,2,1,100000000,510000001013,
2.95556,,Segment,5,3,Image 1,2,1,100000000,510000001057,
3.53571,,Segment,5,2,Image 1,2,1,100000000,510000001084,
3.04545,,Segment,5,1,Image 1,1,1,100000000,510000001105,
9.61539,,Segment,5,0,Image 1,1,1,100000000,510000001128,
3.5,,Segment,5,4,Image 1,2,1,100000002,510000001139,
5.34483,,Segment,5,3,Image 1,1,1,100000002,510000001167,
5,,Segment,5,4,Image 1,1,1,100000002,510000001171,
2.82609,,Segment,5,1,Image 1,2,1,100000002,510000001193,
2.66667,,Segment,5,2,Image 1,2,1,100000002,510000001195,
3.57778,,Segment,5,10,Image 1,6,1,100000001,510000001239,
3.21429,,Segment,5,11,Image 1,5,1,100000001,510000001252,
0.512821,,Segment,5,2,Image 1,2,1,100000000,510000001290,
2.15652,,Segment,5,2,Image 1,2,1,100000001,510000001404,
11.2667,,Segment,5,1,Image 1,1,1,100000001,510000001418,
4.5,,Segment,5,0,Image 1,1,1,100000001,510000001424,
2.60345,,Segment,5,0,Image 1,1,1,100000001,510000001491,
2.16,,Segment,5,2,Image 1,2,1,100000002,510000001525,
1.95455,,Segment,5,1,Image 1,1,1,100000002,510000001546,
3.69231,,Segment,5,0,Image 1,1,1,100000002,510000001569,
4,,Segment,5,2,Image 1,2,1,100000002,510000001581,
4.36364,,Segment,5,1,Image 1,1,1,100000002,510000001624,
3.69565,,Segment,5,0,Image 1,1,1,100000002,510000001653,
3.4,,Segment,5,3,Image 1,2,1,100000002,510000001657,
2.33333,,Segment,5,2,Image 1,1,1,100000002,510000001659,
3.16667,,Segment,5,3,Image 1,1,1,100000002,510000001664,
8.33333,,Segment,5,1,Image 1,2,1,100000002,510000001666,
2.39216,,Segment,5,15,Image 1,4,1,100000002,510000001716,
1.73333,,Segment,5,14,Image 1,3,1,100000002,510000001730,
2,,Segment,5,13,Image 1,3,1,100000002,510000001748,
3.73333,,Segment,5,12,Image 1,2,1,100000002,510000001762,
1.66667,,Segment,5,15,Image 1,3,1,100000002,510000001764,
10.3333,,Segment,5,6,Image 1,2,1,100000002,510000001803,
5,,Segment,5,9,Image 1,4,1,100000001,510000001811,
1.95,,Segment,5,6,Image 1,4,1,100000001,510000001851,
2.22857,,Segment,5,5,Image 1,4,1,100000001,510000001885,
1,,Segment,5,4,Image 1,3,1,100000001,510000001888,
1.11765,,Segment,5,3,Image 1,3,1,100000001,510000001904,
1.81818,,Segment,5,2,Image 1,2,1,100000001,510000001925,
2.76923,,Segment,5,1,Image 1,1,1,100000001,510000001937,
4.62963,,Segment,5,0,Image 1,1,1,100000001,510000001970,
2.35,,Segment,5,6,Image 1,1,1,100000001,510000002024,
3.15789,,Segment,5,5,Image 1,1,1,100000001,510000002042,
