
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.15374,,Surface,5,Image 1,1,0,
0.132723,,Surface,5,Image 1,1,1,
0.0954306,,Surface,5,Image 1,1,2,
