
Spine Part Max Diameter Head
 ==================== 
Spine Part Max Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1.17188,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000005585,
0.659929,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000005586,
1.93879,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000005587,
0.416667,µm,Spine,Spine Part Max Diameter,6,4,1,100000001,610000005588,
0.510272,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005589,
1.03109,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005590,
0.768229,µm,Spine,Spine Part Max Diameter,6,4,1,100000001,610000005592,
0.833333,µm,Spine,Spine Part Max Diameter,6,5,1,100000001,610000005593,
0.777359,µm,Spine,Spine Part Max Diameter,5,4,1,100000001,610000005594,
0.767383,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005595,
0.649312,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005596,
0.964724,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000005597,
0.416667,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005598,
0.751953,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005599,
0.599828,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000005600,
0.683272,µm,Spine,Spine Part Max Diameter,13,2,1,100000002,610000005602,
0.416667,µm,Spine,Spine Part Max Diameter,12,3,1,100000002,610000005603,
0.625,µm,Spine,Spine Part Max Diameter,12,3,1,100000002,610000005604,
0.869342,µm,Spine,Spine Part Max Diameter,12,3,1,100000002,610000005605,
1.02659,µm,Spine,Spine Part Max Diameter,13,2,1,100000002,610000005606,
0.753942,µm,Spine,Spine Part Max Diameter,15,1,1,100000002,610000005607,
0.584792,µm,Spine,Spine Part Max Diameter,14,2,1,100000002,610000005608,
0.794542,µm,Spine,Spine Part Max Diameter,13,1,1,100000002,610000005609,
0.885095,µm,Spine,Spine Part Max Diameter,10,1,1,100000002,610000005610,
1.17241,µm,Spine,Spine Part Max Diameter,10,1,1,100000002,610000005611,
1.24706,µm,Spine,Spine Part Max Diameter,9,1,1,100000002,610000005612,
0.625,µm,Spine,Spine Part Max Diameter,7,2,1,100000002,610000005613,
0.849221,µm,Spine,Spine Part Max Diameter,7,2,1,100000002,610000005614,
1.42227,µm,Spine,Spine Part Max Diameter,6,1,1,100000002,610000005615,
0.938486,µm,Spine,Spine Part Max Diameter,6,1,1,100000002,610000005616,
0.625,µm,Spine,Spine Part Max Diameter,6,1,1,100000002,610000005617,
1.18041,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000005618,
1.05469,µm,Spine,Spine Part Max Diameter,6,2,1,100000002,610000005619,
0.416667,µm,Spine,Spine Part Max Diameter,5,2,1,100000002,610000005620,
0.812476,µm,Spine,Spine Part Max Diameter,2,3,1,100000002,610000005621,
0.547478,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000005624,
0.735677,µm,Spine,Spine Part Max Diameter,1,2,1,100000002,610000005625,
1.34296,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005628,
0.944997,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005629,
1.25,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005630,
1.16536,µm,Spine,Spine Part Max Diameter,4,2,1,100000002,610000005632,
1.30707,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000005633,
0.910238,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005634,
0.489047,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000005635,
0.416667,µm,Spine,Spine Part Max Diameter,8,1,1,100000002,610000005636,
1.15159,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005637,
0.830078,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000005638,
0.647616,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005639,
0.729167,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005640,
0.849087,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005641,
0.625,µm,Spine,Spine Part Max Diameter,4,4,1,100000002,610000005642,
0.913659,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005643,
0.752697,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005644,
0.673801,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000005645,
0.957538,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000005646,
0.977158,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005647,
