
Spine Part Volume
 ==================== 
Spine Part Volume Ground,Spine Part Volume Head,Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.428369,0.254229,0.125182,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005321,
0.626533,0.478304,1.36585,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005330,
0.315066,0.435172,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005335,
0.588671,0.273266,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005339,
0.831193,0.221876,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005344,
1.40778,0.504951,1.35607,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005355,
1.79543,0.0981581,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005366,
1.32389,0.490924,1.56548,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005374,
1.24906,0.502894,0.701998,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005389,
0.0355854,0.0519971,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005496,
2.98918,1.80576,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005510,
1.46089,0.275158,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005532,
0.94457,0.151504,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005564,
1.30644,0.479142,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005565,
1.75733,0.504756,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005574,
0.21443,0.0250653,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005578,
0.463427,0.130384,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005579,
0.183526,0.0281657,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005581,
1.81829,0.634104,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005628,
0.531027,0.220933,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005629,
0.0932644,0.511327,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005630,
0.5835,0.197439,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005634,
0.694572,0.244266,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005647,
1.71731,0.522682,0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000005438,
0.829825,0.139431,0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000005450,
0.727967,0.303554,0,µm^3,Spine,Spine Part Volume,1,1,1,100000001,610000005575,
0.837449,0.189959,0,µm^3,Spine,Spine Part Volume,1,1,1,100000001,610000005576,
0,0.0752418,0,µm^3,Spine,Spine Part Volume,1,1,1,100000001,610000005586,
3.09593,1.90792,0,µm^3,Spine,Spine Part Volume,1,1,1,100000001,610000005587,
0.426828,0.235059,0,µm^3,Spine,Spine Part Volume,1,1,1,100000001,610000005597,
0.927039,0.584604,0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000005633,
0.596913,0.0306211,0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000005635,
0.652214,0.149736,0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000005638,
0.785564,0.229846,0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000005646,
1.19305,0.0335485,0.210104,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000005347,
1.17546,0.0704321,0.26961,µm^3,Spine,Spine Part Volume,1,2,1,100000002,610000005400,
0.666547,0.0829386,0,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000005418,
0.241624,0.0476405,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000005561,
0.442822,0.146733,0,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000005577,
0.430436,0.0565001,0,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000005600,
0.431529,0.104239,0,µm^3,Spine,Spine Part Volume,1,2,1,100000002,610000005625,
1.26579,0.0620185,0.533803,µm^3,Spine,Spine Part Volume,10,1,1,100000002,610000005382,
0.739491,0.181526,0,µm^3,Spine,Spine Part Volume,10,1,1,100000002,610000005610,
1.33935,0.421902,0,µm^3,Spine,Spine Part Volume,10,1,1,100000002,610000005611,
0.678902,0.139057,0,µm^3,Spine,Spine Part Volume,10,3,1,100000000,610000005553,
0.686683,0.177403,0,µm^3,Spine,Spine Part Volume,10,3,1,100000000,610000005554,
