
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
1.15437,,Surface,5,Image 1,1,0,
0.941595,,Surface,5,Image 1,1,1,
0.749204,,Surface,5,Image 1,1,2,
