
Segment Time
 ==================== 
Segment Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Segment,12,3,1,100000002,510000000016,
0,s,Segment,11,2,1,100000002,510000000028,
0,s,Segment,10,2,1,100000002,510000000040,
0,s,Segment,9,1,1,100000002,510000000068,
0,s,Segment,8,1,1,100000002,510000000072,
0,s,Segment,7,1,1,100000002,510000000080,
0,s,Segment,6,1,1,100000002,510000000102,
0,s,Segment,5,1,1,100000002,510000000107,
0,s,Segment,3,1,1,100000002,510000000110,
0,s,Segment,2,1,1,100000002,510000000112,
0,s,Segment,1,1,1,100000002,510000000123,
0,s,Segment,0,1,1,100000002,510000000146,
0,s,Segment,7,3,1,100000001,510000000175,
0,s,Segment,6,2,1,100000001,510000000177,
0,s,Segment,5,2,1,100000001,510000000180,
0,s,Segment,4,2,1,100000001,510000000237,
0,s,Segment,3,1,1,100000001,510000000262,
0,s,Segment,2,1,1,100000001,510000000270,
0,s,Segment,1,1,1,100000001,510000000276,
0,s,Segment,0,1,1,100000001,510000000282,
0,s,Segment,3,2,1,100000002,510000000344,
0,s,Segment,2,1,1,100000002,510000000350,
0,s,Segment,1,1,1,100000002,510000000374,
0,s,Segment,0,1,1,100000002,510000000404,
0,s,Segment,7,4,1,100000000,510000000437,
0,s,Segment,6,3,1,100000000,510000000477,
0,s,Segment,5,2,1,100000000,510000000483,
0,s,Segment,4,2,1,100000000,510000000486,
0,s,Segment,3,2,1,100000000,510000000497,
0,s,Segment,2,1,1,100000000,510000000499,
0,s,Segment,1,1,1,100000000,510000000518,
0,s,Segment,0,1,1,100000000,510000000544,
0,s,Segment,12,3,1,100000002,510000000560,
0,s,Segment,11,2,1,100000002,510000000604,
0,s,Segment,10,1,1,100000002,510000000651,
0,s,Segment,11,6,1,100000001,510000000680,
0,s,Segment,9,5,1,100000001,510000000697,
0,s,Segment,8,4,1,100000001,510000000708,
0,s,Segment,7,4,1,100000001,510000000710,
0,s,Segment,6,3,1,100000001,510000000728,
0,s,Segment,13,3,1,100000002,510000000732,
0,s,Segment,12,2,1,100000002,510000000734,
0,s,Segment,13,2,1,100000002,510000000739,
0,s,Segment,4,3,1,100000000,510000000762,
0,s,Segment,3,2,1,100000000,510000000891,
0,s,Segment,2,1,1,100000000,510000000908,
0,s,Segment,1,1,1,100000000,510000000942,
0,s,Segment,0,1,1,100000000,510000000953,
0,s,Segment,4,2,1,100000000,510000000963,
0,s,Segment,10,5,1,100000000,510000000988,
0,s,Segment,9,4,1,100000000,510000000991,
0,s,Segment,8,4,1,100000000,510000000994,
0,s,Segment,7,4,1,100000000,510000000996,
0,s,Segment,6,3,1,100000000,510000001002,
0,s,Segment,5,2,1,100000000,510000001008,
0,s,Segment,4,2,1,100000000,510000001013,
0,s,Segment,3,2,1,100000000,510000001057,
0,s,Segment,2,2,1,100000000,510000001084,
