
Spine Center Intensity StdDev Ch=4 Img=1
 ==================== 
Spine Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.979796,,Spine,4,7,Image 1,4,1,100000000,610000005300,
0.638877,,Spine,4,4,Image 1,4,1,100000001,610000005306,
0.4,,Spine,4,4,Image 1,4,1,100000001,610000005310,
0,,Spine,4,3,Image 1,2,1,100000000,610000005314,
1.10554,,Spine,4,0,Image 1,1,1,100000000,610000005321,
1.47902,,Spine,4,0,Image 1,1,1,100000000,610000005330,
1.32665,,Spine,4,0,Image 1,1,1,100000000,610000005335,
1.0198,,Spine,4,0,Image 1,1,1,100000000,610000005339,
1.93907,,Spine,4,0,Image 1,1,1,100000001,610000005344,
2.12132,,Spine,4,1,Image 1,2,1,100000001,610000005347,
1.05327,,Spine,4,0,Image 1,1,1,100000000,610000005355,
2.48747,,Spine,4,8,Image 1,4,1,100000000,610000005358,
1.91485,,Spine,4,6,Image 1,2,1,100000002,610000005364,
0.816497,,Spine,4,0,Image 1,1,1,100000000,610000005366,
1.85405,,Spine,4,0,Image 1,1,1,100000000,610000005374,
1.41421,,Spine,4,6,Image 1,3,1,100000002,610000005377,
5.65685,,Spine,4,5,Image 1,4,1,100000001,610000005379,
1.11803,,Spine,4,10,Image 1,1,1,100000002,610000005382,
1.17803,,Spine,4,0,Image 1,1,1,100000000,610000005389,
0.471405,,Spine,4,2,Image 1,2,1,100000000,610000005392,
1.35647,,Spine,4,6,Image 1,2,1,100000002,610000005397,
1.47902,,Spine,4,1,Image 1,2,1,100000002,610000005400,
2.16506,,Spine,4,6,Image 1,3,1,100000000,610000005403,
0.433013,,Spine,4,14,Image 1,3,1,100000002,610000005408,
3.26599,,Spine,4,11,Image 1,6,1,100000001,610000005410,
2.48193,,Spine,4,3,Image 1,1,1,100000001,610000005414,
0.942809,,Spine,4,8,Image 1,1,1,100000002,610000005416,
2.35702,,Spine,4,1,Image 1,2,1,100000001,610000005418,
0.829156,,Spine,4,2,Image 1,2,1,100000001,610000005422,
2.49444,,Spine,4,2,Image 1,2,1,100000001,610000005424,
2.09762,,Spine,4,3,Image 1,1,1,100000001,610000005428,
2.82843,,Spine,4,2,Image 1,2,1,100000001,610000005434,
0.816497,,Spine,4,1,Image 1,1,1,100000002,610000005438,
2.29129,,Spine,4,3,Image 1,1,1,100000001,610000005442,
0.471405,,Spine,4,4,Image 1,4,1,100000001,610000005444,
0.816497,,Spine,4,1,Image 1,1,1,100000000,610000005450,
0.942809,,Spine,4,4,Image 1,2,1,100000002,610000005453,
1.41421,,Spine,4,13,Image 1,2,1,100000002,610000005456,
0.471405,,Spine,4,0,Image 1,1,1,100000002,610000005462,
1.78536,,Spine,4,3,Image 1,1,1,100000001,610000005466,
0.471405,,Spine,4,6,Image 1,2,1,100000002,610000005473,
0,,Spine,4,2,Image 1,2,1,100000002,610000005479,
1.29904,,Spine,4,2,Image 1,2,1,100000001,610000005482,
0,,Spine,4,6,Image 1,4,1,100000001,610000005492,
2.16025,,Spine,4,0,Image 1,1,1,100000000,610000005496,
0.816497,,Spine,4,2,Image 1,1,1,100000001,610000005507,
2,,Spine,4,0,Image 1,1,1,100000000,610000005510,
8.80656,,Spine,4,0,Image 1,1,1,100000000,610000005532,
0,,Spine,4,10,Image 1,3,1,100000000,610000005553,
2,,Spine,4,10,Image 1,3,1,100000000,610000005554,
1.5,,Spine,4,9,Image 1,3,1,100000000,610000005555,
0.5,,Spine,4,8,Image 1,4,1,100000000,610000005556,
0.5,,Spine,4,6,Image 1,3,1,100000000,610000005557,
1,,Spine,4,7,Image 1,3,1,100000000,610000005558,
2,,Spine,4,6,Image 1,2,1,100000000,610000005559,
1.5,,Spine,4,5,Image 1,2,1,100000000,610000005560,
1,,Spine,4,1,Image 1,2,1,100000000,610000005561,
1,,Spine,4,3,Image 1,2,1,100000000,610000005562,
1.5,,Spine,4,4,Image 1,3,1,100000000,610000005563,
0.5,,Spine,4,0,Image 1,1,1,100000000,610000005564,
1,,Spine,4,0,Image 1,1,1,100000000,610000005565,
2,,Spine,4,9,Image 1,5,1,100000000,610000005567,
1.5,,Spine,4,8,Image 1,4,1,100000000,610000005568,
0.5,,Spine,4,6,Image 1,3,1,100000000,610000005569,
3,,Spine,4,5,Image 1,2,1,100000000,610000005570,
1,,Spine,4,5,Image 1,3,1,100000000,610000005571,
2,,Spine,4,2,Image 1,2,1,100000000,610000005572,
3,,Spine,4,2,Image 1,2,1,100000000,610000005573,
11,,Spine,4,0,Image 1,1,1,100000000,610000005574,
1.5,,Spine,4,1,Image 1,1,1,100000001,610000005575,
1,,Spine,4,1,Image 1,1,1,100000001,610000005576,
1.5,,Spine,4,1,Image 1,2,1,100000001,610000005577,
0.5,,Spine,4,0,Image 1,1,1,100000001,610000005578,
2.5,,Spine,4,0,Image 1,1,1,100000001,610000005579,
1.5,,Spine,4,0,Image 1,1,1,100000001,610000005581,
0,,Spine,4,2,Image 1,2,1,100000001,610000005582,
1,,Spine,4,5,Image 1,1,1,100000001,610000005583,
0.5,,Spine,4,5,Image 1,2,1,100000001,610000005584,
0,,Spine,4,3,Image 1,2,1,100000001,610000005585,
4.5,,Spine,4,1,Image 1,1,1,100000001,610000005586,
11,,Spine,4,1,Image 1,1,1,100000001,610000005587,
2.5,,Spine,4,6,Image 1,4,1,100000001,610000005588,
0.5,,Spine,4,2,Image 1,2,1,100000001,610000005589,
1.5,,Spine,4,2,Image 1,2,1,100000001,610000005590,
1,,Spine,4,6,Image 1,4,1,100000001,610000005592,
0.5,,Spine,4,6,Image 1,5,1,100000001,610000005593,
1.5,,Spine,4,5,Image 1,4,1,100000001,610000005594,
0,,Spine,4,2,Image 1,2,1,100000001,610000005595,
0,,Spine,4,2,Image 1,2,1,100000001,610000005596,
2.5,,Spine,4,1,Image 1,1,1,100000001,610000005597,
1,,Spine,4,2,Image 1,2,1,100000001,610000005598,
2,,Spine,4,2,Image 1,2,1,100000001,610000005599,
1,,Spine,4,1,Image 1,2,1,100000001,610000005600,
1,,Spine,4,13,Image 1,2,1,100000002,610000005602,
0.5,,Spine,4,12,Image 1,3,1,100000002,610000005603,
1.5,,Spine,4,12,Image 1,3,1,100000002,610000005604,
1.5,,Spine,4,12,Image 1,3,1,100000002,610000005605,
0,,Spine,4,13,Image 1,2,1,100000002,610000005606,
