
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-11.357,105.5,µm^3,Volume Inside,Image 1,1,,
-10.803,366.583,µm^3,Volume Inside,Image 1,1,,
-10.249,894.542,µm^3,Volume Inside,Image 1,1,,
-9.695,1246.85,µm^3,Volume Inside,Image 1,1,,
-9.141,1633.03,µm^3,Volume Inside,Image 1,1,,
-8.587,2068.96,µm^3,Volume Inside,Image 1,1,,
-8.033,2521.31,µm^3,Volume Inside,Image 1,1,,
-7.479,2979.83,µm^3,Volume Inside,Image 1,1,,
-6.925,3458.9,µm^3,Volume Inside,Image 1,1,,
-6.371,4009.67,µm^3,Volume Inside,Image 1,1,,
-5.817,4743.85,µm^3,Volume Inside,Image 1,1,,
-5.263,5570.15,µm^3,Volume Inside,Image 1,1,,
-4.709,5737.56,µm^3,Volume Inside,Image 1,1,,
-4.155,6040.11,µm^3,Volume Inside,Image 1,1,,
-3.601,6515.76,µm^3,Volume Inside,Image 1,1,,
-3.047,7055.44,µm^3,Volume Inside,Image 1,1,,
-2.493,7616.82,µm^3,Volume Inside,Image 1,1,,
-1.939,8181.03,µm^3,Volume Inside,Image 1,1,,
-1.385,8989.01,µm^3,Volume Inside,Image 1,1,,
-0.831,10102.4,µm^3,Volume Inside,Image 1,1,,
-0.277,11041.3,µm^3,Volume Inside,Image 1,1,,
