
Soma BoundingBoxOO Length B
 ==================== 
Soma BoundingBoxOO Length B,Unit,Category,Collection,Time,FilamentID,ID,
7.3208,µm,Soma,Soma BoundingBoxOO Length,1,100000000,800000000,
8.22266,µm,Soma,Soma BoundingBoxOO Length,1,100000001,800000001,
8.52246,µm,Soma,Soma BoundingBoxOO Length,1,100000002,800000002,
