
Soma Intensity Mean Ch=4 Img=1
 ==================== 
Soma Intensity Mean,Unit,Category,Channel,Image,Time,FilamentID,ID,
4.5063,,Soma,4,Image 1,1,100000000,800000000,
4.04861,,Soma,4,Image 1,1,100000001,800000001,
3.62759,,Soma,4,Image 1,1,100000002,800000002,
