
Spine Time Index
 ==================== 
Spine Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,2,2,1,100000000,610000002694,
1,,Spine,2,2,1,100000000,610000002709,
1,,Spine,0,1,1,100000000,610000002712,
1,,Spine,9,3,1,100000001,610000002716,
1,,Spine,6,2,1,100000000,610000002718,
1,,Spine,5,2,1,100000000,610000002721,
1,,Spine,2,1,1,100000001,610000002725,
1,,Spine,12,2,1,100000000,610000002728,
1,,Spine,9,3,1,100000000,610000002730,
1,,Spine,1,2,1,100000001,610000002734,
1,,Spine,1,2,1,100000001,610000002737,
1,,Spine,1,2,1,100000000,610000002743,
1,,Spine,1,2,1,100000001,610000002745,
1,,Spine,3,3,1,100000001,610000002748,
1,,Spine,0,1,1,100000000,610000002750,
1,,Spine,0,1,1,100000000,610000002752,
1,,Spine,13,3,1,100000001,610000002754,
1,,Spine,4,2,1,100000001,610000002756,
1,,Spine,2,2,1,100000001,610000002759,
1,,Spine,3,2,1,100000001,610000002762,
1,,Spine,12,3,1,100000000,610000002766,
1,,Spine,2,2,1,100000001,610000002768,
1,,Spine,2,2,1,100000000,610000002771,
1,,Spine,2,3,1,100000001,610000002775,
1,,Spine,2,2,1,100000001,610000002780,
1,,Spine,6,1,1,100000000,610000002782,
1,,Spine,1,2,1,100000000,610000002786,
1,,Spine,2,2,1,100000001,610000002790,
1,,Spine,5,3,1,100000001,610000002794,
1,,Spine,12,2,1,100000000,610000002796,
1,,Spine,1,1,1,100000000,610000002802,
1,,Spine,8,2,1,100000001,610000002805,
1,,Spine,14,2,1,100000000,610000002807,
1,,Spine,0,1,1,100000000,610000002811,
1,,Spine,2,1,1,100000000,610000002813,
1,,Spine,0,1,1,100000001,610000002817,
1,,Spine,6,2,1,100000001,610000002820,
1,,Spine,2,2,1,100000001,610000002824,
1,,Spine,4,2,1,100000001,610000002827,
1,,Spine,1,1,1,100000000,610000002830,
1,,Spine,8,2,1,100000001,610000002832,
1,,Spine,2,2,1,100000001,610000002836,
1,,Spine,0,1,1,100000000,610000002838,
1,,Spine,1,2,1,100000001,610000002840,
1,,Spine,2,2,1,100000001,610000002842,
1,,Spine,5,2,1,100000001,610000002845,
1,,Spine,1,1,1,100000001,610000002847,
1,,Spine,2,2,1,100000001,610000002849,
1,,Spine,1,1,1,100000000,610000002851,
1,,Spine,2,2,1,100000001,610000002854,
1,,Spine,3,1,1,100000001,610000002857,
1,,Spine,2,1,1,100000001,610000002864,
1,,Spine,9,3,1,100000001,610000002866,
1,,Spine,3,1,1,100000001,610000002869,
1,,Spine,1,1,1,100000000,610000002873,
1,,Spine,9,3,1,100000001,610000002878,
1,,Spine,2,2,1,100000001,610000002880,
1,,Spine,7,2,1,100000000,610000002886,
1,,Spine,0,1,1,100000000,610000002908,
1,,Spine,0,1,1,100000000,610000002909,
1,,Spine,12,3,1,100000000,610000002910,
1,,Spine,12,3,1,100000000,610000002911,
1,,Spine,11,3,1,100000000,610000002912,
1,,Spine,10,3,1,100000000,610000002913,
1,,Spine,10,3,1,100000000,610000002914,
1,,Spine,9,3,1,100000000,610000002915,
1,,Spine,8,3,1,100000000,610000002916,
1,,Spine,5,2,1,100000000,610000002917,
1,,Spine,5,3,1,100000000,610000002918,
1,,Spine,4,3,1,100000000,610000002919,
1,,Spine,0,1,1,100000000,610000002920,
1,,Spine,0,1,1,100000000,610000002921,
1,,Spine,1,2,1,100000000,610000002922,
1,,Spine,2,2,1,100000000,610000002923,
1,,Spine,1,1,1,100000001,610000002924,
1,,Spine,1,1,1,100000001,610000002925,
1,,Spine,2,3,1,100000001,610000002926,
1,,Spine,8,3,1,100000001,610000002927,
1,,Spine,8,3,1,100000001,610000002928,
1,,Spine,8,4,1,100000001,610000002929,
1,,Spine,7,3,1,100000001,610000002930,
1,,Spine,1,2,1,100000001,610000002931,
1,,Spine,4,2,1,100000001,610000002932,
1,,Spine,3,1,1,100000001,610000002933,
1,,Spine,3,1,1,100000001,610000002934,
1,,Spine,3,1,1,100000001,610000002935,
1,,Spine,2,1,1,100000001,610000002936,
1,,Spine,13,3,1,100000001,610000002937,
1,,Spine,9,3,1,100000001,610000002938,
1,,Spine,8,2,1,100000001,610000002939,
1,,Spine,7,3,1,100000001,610000002940,
1,,Spine,6,2,1,100000001,610000002941,
1,,Spine,4,3,1,100000001,610000002942,
1,,Spine,1,1,1,100000001,610000002943,
1,,Spine,1,2,1,100000001,610000002944,
1,,Spine,0,1,1,100000001,610000002945,
1,,Spine,4,2,1,100000001,610000002950,
1,,Spine,0,1,1,100000001,610000002951,
1,,Spine,2,2,1,100000001,610000002952,
1,,Spine,2,3,1,100000001,610000002953,
1,,Spine,2,2,1,100000001,610000002954,
1,,Spine,1,2,1,100000001,610000002955,
1,,Spine,2,1,1,100000001,610000002956,
