
Soma Intensity Max Ch=1 Img=1
 ==================== 
Soma Intensity Max,Unit,Category,Channel,Image,Time,FilamentID,ID,
46,,Soma,1,Image 1,1,100000000,800000000,
30,,Soma,1,Image 1,1,100000001,800000001,
