
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
3,,Segment,3,2,1,100000000,510000000019,
2,,Segment,2,1,1,100000000,510000000037,
1,,Segment,1,1,1,100000000,510000000099,
0,,Segment,0,1,1,100000000,510000000121,
3,,Segment,3,1,1,100000000,510000000138,
2,,Segment,2,2,1,100000000,510000000145,
2,,Segment,2,2,1,100000001,510000000196,
1,,Segment,1,1,1,100000001,510000000236,
0,,Segment,0,1,1,100000001,510000000256,
2,,Segment,2,1,1,100000001,510000000275,
9,,Segment,9,4,1,100000001,510000000291,
8,,Segment,8,3,1,100000001,510000000317,
7,,Segment,7,3,1,100000001,510000000327,
5,,Segment,5,3,1,100000001,510000000335,
4,,Segment,4,3,1,100000001,510000000351,
3,,Segment,3,2,1,100000001,510000000367,
2,,Segment,2,2,1,100000001,510000000415,
1,,Segment,1,2,1,100000001,510000000461,
0,,Segment,0,1,1,100000001,510000000463,
9,,Segment,9,3,1,100000001,510000000491,
7,,Segment,7,4,1,100000001,510000000503,
6,,Segment,6,4,1,100000001,510000000508,
8,,Segment,8,4,1,100000001,510000000519,
7,,Segment,7,5,1,100000001,510000000522,
4,,Segment,4,2,1,100000001,510000000526,
3,,Segment,3,3,1,100000001,510000000534,
2,,Segment,2,3,1,100000001,510000000546,
2,,Segment,2,3,1,100000001,510000000572,
1,,Segment,1,2,1,100000001,510000000587,
3,,Segment,3,2,1,100000001,510000000605,
3,,Segment,3,3,1,100000001,510000000614,
14,,Segment,14,2,1,100000000,510000000634,
13,,Segment,13,2,1,100000000,510000000636,
12,,Segment,12,2,1,100000000,510000000649,
11,,Segment,11,2,1,100000000,510000000665,
10,,Segment,10,2,1,100000000,510000000667,
9,,Segment,9,2,1,100000000,510000000695,
8,,Segment,8,1,1,100000000,510000000708,
7,,Segment,7,1,1,100000000,510000000710,
6,,Segment,6,1,1,100000000,510000000722,
5,,Segment,5,1,1,100000000,510000000725,
4,,Segment,4,1,1,100000000,510000000738,
3,,Segment,3,1,1,100000000,510000000750,
2,,Segment,2,1,1,100000000,510000000759,
1,,Segment,1,1,1,100000000,510000000767,
0,,Segment,0,1,1,100000000,510000000812,
9,,Segment,9,3,1,100000000,510000000818,
8,,Segment,8,3,1,100000000,510000000831,
7,,Segment,7,2,1,100000000,510000000851,
6,,Segment,6,2,1,100000000,510000000858,
5,,Segment,5,2,1,100000000,510000000881,
4,,Segment,4,2,1,100000000,510000000889,
9,,Segment,9,4,1,100000000,510000000893,
13,,Segment,13,3,1,100000000,510000000900,
11,,Segment,11,3,1,100000000,510000000918,
14,,Segment,14,3,1,100000000,510000000920,
12,,Segment,12,3,1,100000000,510000000933,
8,,Segment,8,2,1,100000000,510000000937,
10,,Segment,10,3,1,100000000,510000000942,
7,,Segment,7,3,1,100000000,510000000948,
7,,Segment,7,2,1,100000000,510000000983,
6,,Segment,6,3,1,100000000,510000000990,
9,,Segment,9,1,1,100000000,510000000992,
6,,Segment,6,2,1,100000000,510000001003,
8,,Segment,8,2,1,100000000,510000001010,
4,,Segment,4,4,1,100000000,510000001022,
3,,Segment,3,3,1,100000000,510000001025,
2,,Segment,2,2,1,100000000,510000001049,
5,,Segment,5,4,1,100000000,510000001067,
4,,Segment,4,3,1,100000000,510000001076,
3,,Segment,3,2,1,100000000,510000001079,
5,,Segment,5,3,1,100000000,510000001084,
4,,Segment,4,2,1,100000000,510000001098,
4,,Segment,4,3,1,100000000,510000001107,
3,,Segment,3,2,1,100000000,510000001117,
1,,Segment,1,2,1,100000000,510000001120,
5,,Segment,5,2,1,100000001,510000001162,
4,,Segment,4,2,1,100000001,510000001174,
3,,Segment,3,2,1,100000001,510000001205,
2,,Segment,2,2,1,100000001,510000001212,
1,,Segment,1,1,1,100000001,510000001221,
0,,Segment,0,1,1,100000001,510000001255,
5,,Segment,5,3,1,100000001,510000001277,
4,,Segment,4,3,1,100000001,510000001280,
3,,Segment,3,3,1,100000001,510000001315,
1,,Segment,1,2,1,100000000,510000001362,
0,,Segment,0,1,1,100000000,510000001392,
2,,Segment,2,1,1,100000000,510000001407,
1,,Segment,1,1,1,100000000,510000001443,
13,,Segment,13,3,1,100000001,510000001468,
12,,Segment,12,3,1,100000001,510000001474,
10,,Segment,10,2,1,100000001,510000001477,
9,,Segment,9,2,1,100000001,510000001499,
8,,Segment,8,2,1,100000001,510000001508,
7,,Segment,7,2,1,100000001,510000001512,
6,,Segment,6,2,1,100000001,510000001537,
5,,Segment,5,2,1,100000001,510000001546,
4,,Segment,4,2,1,100000001,510000001552,
3,,Segment,3,2,1,100000001,510000001606,
2,,Segment,2,1,1,100000001,510000001609,
1,,Segment,1,1,1,100000001,510000001623,
0,,Segment,0,1,1,100000001,510000001634,
13,,Segment,13,4,1,100000001,510000001656,
12,,Segment,12,2,1,100000001,510000001661,
10,,Segment,10,3,1,100000001,510000001674,
11,,Segment,11,3,1,100000001,510000001678,
9,,Segment,9,3,1,100000001,510000001690,
7,,Segment,7,3,1,100000001,510000001702,
8,,Segment,8,3,1,100000001,510000001705,
4,,Segment,4,2,1,100000001,510000001720,
3,,Segment,3,1,1,100000001,510000001737,
2,,Segment,2,1,1,100000001,510000001740,
4,,Segment,4,1,1,100000001,510000001750,
3,,Segment,3,2,1,100000001,510000001752,
5,,Segment,5,2,1,100000001,510000001776,
4,,Segment,4,2,1,100000001,510000001793,
3,,Segment,3,2,1,100000001,510000001852,
2,,Segment,2,1,1,100000001,510000001869,
1,,Segment,1,1,1,100000001,510000001880,
5,,Segment,5,3,1,100000001,510000001885,
5,,Segment,5,3,1,100000001,510000001902,
4,,Segment,4,2,1,100000001,510000001951,
3,,Segment,3,2,1,100000001,510000001967,
2,,Segment,2,2,1,100000001,510000001978,
1,,Segment,1,2,1,100000001,510000001992,
0,,Segment,0,1,1,100000001,510000002006,
5,,Segment,5,2,1,100000001,510000002028,
5,,Segment,5,3,1,100000001,510000002032,
6,,Segment,6,3,1,100000001,510000002040,
4,,Segment,4,3,1,100000001,510000002045,
4,,Segment,4,3,1,100000001,510000002054,
4,,Segment,4,3,1,100000001,510000002065,
2,,Segment,2,2,1,100000000,510000002142,
1,,Segment,1,1,1,100000000,510000002151,
0,,Segment,0,1,1,100000000,510000002161,
4,,Segment,4,3,1,100000001,510000002169,
3,,Segment,3,2,1,100000001,510000002183,
2,,Segment,2,2,1,100000001,510000002194,
4,,Segment,4,2,1,100000001,510000002198,
3,,Segment,3,1,1,100000001,510000002211,
3,,Segment,3,3,1,100000001,510000002214,
3,,Segment,3,3,1,100000001,510000002222,
2,,Segment,2,2,1,100000001,510000002255,
1,,Segment,1,1,1,100000001,510000002264,
3,,Segment,3,1,1,100000001,510000002266,
2,,Segment,2,2,1,100000001,510000002269,
1,,Segment,1,1,1,100000001,510000002288,
0,,Segment,0,1,1,100000001,510000002300,
1,,Segment,1,2,1,100000001,510000002312,
1,,Segment,1,2,1,100000001,510000002319,
2,,Segment,2,3,1,100000001,510000002322,
2,,Segment,2,1,1,100000001,510000002328,
1,,Segment,1,2,1,100000001,510000002333,
1,,Segment,1,2,1,100000001,510000002340,
0,,Segment,0,1,1,100000001,510000002348,
1,,Segment,1,2,1,100000001,510000002355,
1,,Segment,1,2,1,100000000,510000002386,
1,,Segment,1,2,1,100000000,510000002426,
1,,Segment,1,1,1,100000001,510000002433,
0,,Segment,0,1,1,100000001,510000002441,
2,,Segment,2,1,1,100000000,510000002448,
0,,Segment,0,1,1,100000000,510000002452,
5,,Segment,5,2,1,100000000,510000002454,
5,,Segment,5,3,1,100000000,510000002455,
2,,Segment,2,2,1,100000000,510000002456,
2,,Segment,2,2,1,100000001,510000002458,
6,,Segment,6,3,1,100000001,510000002461,
7,,Segment,7,4,1,100000001,510000002462,
5,,Segment,5,4,1,100000001,510000002463,
0,,Segment,0,1,1,100000001,510000002465,
11,,Segment,11,2,1,100000001,510000002467,
1,,Segment,1,1,1,100000001,510000002470,
