
Segment Center Intensity Sum Ch=4 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
186,,Segment,4,13,Image 1,4,1,100000001,510000001656,
203,,Segment,4,12,Image 1,2,1,100000001,510000001661,
1142,,Segment,4,10,Image 1,3,1,100000001,510000001674,
265,,Segment,4,11,Image 1,3,1,100000001,510000001678,
1627,,Segment,4,9,Image 1,3,1,100000001,510000001690,
1404,,Segment,4,7,Image 1,3,1,100000001,510000001702,
351,,Segment,4,8,Image 1,3,1,100000001,510000001705,
1533,,Segment,4,4,Image 1,2,1,100000001,510000001720,
1832,,Segment,4,3,Image 1,1,1,100000001,510000001737,
418,,Segment,4,2,Image 1,1,1,100000001,510000001740,
1194,,Segment,4,4,Image 1,1,1,100000001,510000001750,
177,,Segment,4,3,Image 1,2,1,100000001,510000001752,
2006,,Segment,4,5,Image 1,2,1,100000001,510000001776,
1497,,Segment,4,4,Image 1,2,1,100000001,510000001793,
5683,,Segment,4,3,Image 1,2,1,100000001,510000001852,
2295,,Segment,4,2,Image 1,1,1,100000001,510000001869,
1135,,Segment,4,1,Image 1,1,1,100000001,510000001880,
191,,Segment,4,5,Image 1,3,1,100000001,510000001885,
902,,Segment,4,5,Image 1,3,1,100000001,510000001902,
3027,,Segment,4,4,Image 1,2,1,100000001,510000001951,
1365,,Segment,4,3,Image 1,2,1,100000001,510000001967,
1845,,Segment,4,2,Image 1,2,1,100000001,510000001978,
1882,,Segment,4,1,Image 1,2,1,100000001,510000001992,
984,,Segment,4,0,Image 1,1,1,100000001,510000002006,
407,,Segment,4,5,Image 1,2,1,100000001,510000002028,
236,,Segment,4,5,Image 1,3,1,100000001,510000002032,
767,,Segment,4,6,Image 1,3,1,100000001,510000002040,
265,,Segment,4,4,Image 1,3,1,100000001,510000002045,
452,,Segment,4,4,Image 1,3,1,100000001,510000002054,
235,,Segment,4,4,Image 1,3,1,100000001,510000002065,
5948,,Segment,4,2,Image 1,2,1,100000000,510000002142,
1416,,Segment,4,1,Image 1,1,1,100000000,510000002151,
1260,,Segment,4,0,Image 1,1,1,100000000,510000002161,
711,,Segment,4,4,Image 1,3,1,100000001,510000002169,
1536,,Segment,4,3,Image 1,2,1,100000001,510000002183,
1439,,Segment,4,2,Image 1,2,1,100000001,510000002194,
440,,Segment,4,4,Image 1,2,1,100000001,510000002198,
1270,,Segment,4,3,Image 1,1,1,100000001,510000002211,
186,,Segment,4,3,Image 1,3,1,100000001,510000002214,
575,,Segment,4,3,Image 1,3,1,100000001,510000002222,
3160,,Segment,4,2,Image 1,2,1,100000001,510000002255,
1888,,Segment,4,1,Image 1,1,1,100000001,510000002264,
300,,Segment,4,3,Image 1,1,1,100000001,510000002266,
255,,Segment,4,2,Image 1,2,1,100000001,510000002269,
1918,,Segment,4,1,Image 1,1,1,100000001,510000002288,
1092,,Segment,4,0,Image 1,1,1,100000001,510000002300,
260,,Segment,4,1,Image 1,2,1,100000001,510000002312,
499,,Segment,4,1,Image 1,2,1,100000001,510000002319,
398,,Segment,4,2,Image 1,3,1,100000001,510000002322,
754,,Segment,4,2,Image 1,1,1,100000001,510000002328,
85,,Segment,4,1,Image 1,2,1,100000001,510000002333,
480,,Segment,4,1,Image 1,2,1,100000001,510000002340,
580,,Segment,4,0,Image 1,1,1,100000001,510000002348,
556,,Segment,4,1,Image 1,2,1,100000001,510000002355,
300,,Segment,4,1,Image 1,2,1,100000000,510000002386,
4776,,Segment,4,1,Image 1,2,1,100000000,510000002426,
208,,Segment,4,1,Image 1,1,1,100000001,510000002433,
1068,,Segment,4,0,Image 1,1,1,100000001,510000002441,
675,,Segment,4,2,Image 1,1,1,100000000,510000002448,
147,,Segment,4,0,Image 1,1,1,100000000,510000002452,
196,,Segment,4,5,Image 1,2,1,100000000,510000002454,
206,,Segment,4,5,Image 1,3,1,100000000,510000002455,
225,,Segment,4,2,Image 1,2,1,100000000,510000002456,
90,,Segment,4,2,Image 1,2,1,100000001,510000002458,
143,,Segment,4,6,Image 1,3,1,100000001,510000002461,
163,,Segment,4,7,Image 1,4,1,100000001,510000002462,
59,,Segment,4,5,Image 1,4,1,100000001,510000002463,
136,,Segment,4,0,Image 1,1,1,100000001,510000002465,
207,,Segment,4,11,Image 1,2,1,100000001,510000002467,
99,,Segment,4,1,Image 1,1,1,100000001,510000002470,
