
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
14.348,42.5072,µm^3,Volume Outside,Image 1,1,,
14.484,41.8424,µm^3,Volume Outside,Image 1,1,,
14.62,41.5259,µm^3,Volume Outside,Image 1,1,,
14.756,40.5513,µm^3,Volume Outside,Image 1,1,,
14.892,39.9419,µm^3,Volume Outside,Image 1,1,,
15.028,39.63,µm^3,Volume Outside,Image 1,1,,
15.164,38.3659,µm^3,Volume Outside,Image 1,1,,
15.3,36.9541,µm^3,Volume Outside,Image 1,1,,
15.436,34.5509,µm^3,Volume Outside,Image 1,1,,
15.572,32.6106,µm^3,Volume Outside,Image 1,1,,
15.708,31.1537,µm^3,Volume Outside,Image 1,1,,
15.844,29.5735,µm^3,Volume Outside,Image 1,1,,
15.98,28.5643,µm^3,Volume Outside,Image 1,1,,
16.116,26.9364,µm^3,Volume Outside,Image 1,1,,
16.252,26.5557,µm^3,Volume Outside,Image 1,1,,
16.388,25.8416,µm^3,Volume Outside,Image 1,1,,
16.524,24.7615,µm^3,Volume Outside,Image 1,1,,
16.66,24.8236,µm^3,Volume Outside,Image 1,1,,
16.796,24.4783,µm^3,Volume Outside,Image 1,1,,
16.932,23.6621,µm^3,Volume Outside,Image 1,1,,
17.068,24.0115,µm^3,Volume Outside,Image 1,1,,
17.204,24.0943,µm^3,Volume Outside,Image 1,1,,
17.34,23.6148,µm^3,Volume Outside,Image 1,1,,
17.476,22.8585,µm^3,Volume Outside,Image 1,1,,
17.612,23.0142,µm^3,Volume Outside,Image 1,1,,
17.748,22.7968,µm^3,Volume Outside,Image 1,1,,
17.884,22.206,µm^3,Volume Outside,Image 1,1,,
18.02,22.5626,µm^3,Volume Outside,Image 1,1,,
18.156,22.5968,µm^3,Volume Outside,Image 1,1,,
18.292,22.1941,µm^3,Volume Outside,Image 1,1,,
18.428,21.4218,µm^3,Volume Outside,Image 1,1,,
18.564,21.6531,µm^3,Volume Outside,Image 1,1,,
18.7,21.4872,µm^3,Volume Outside,Image 1,1,,
18.836,20.8566,µm^3,Volume Outside,Image 1,1,,
18.972,21.0529,µm^3,Volume Outside,Image 1,1,,
19.108,20.8592,µm^3,Volume Outside,Image 1,1,,
19.244,20.2341,µm^3,Volume Outside,Image 1,1,,
19.38,20.5363,µm^3,Volume Outside,Image 1,1,,
19.516,20.6266,µm^3,Volume Outside,Image 1,1,,
19.652,20.2641,µm^3,Volume Outside,Image 1,1,,
19.788,19.59,µm^3,Volume Outside,Image 1,1,,
19.924,19.8538,µm^3,Volume Outside,Image 1,1,,
20.06,19.6457,µm^3,Volume Outside,Image 1,1,,
20.196,19.0726,µm^3,Volume Outside,Image 1,1,,
20.332,19.3836,µm^3,Volume Outside,Image 1,1,,
20.468,19.4343,µm^3,Volume Outside,Image 1,1,,
20.604,19.0409,µm^3,Volume Outside,Image 1,1,,
20.74,18.4513,µm^3,Volume Outside,Image 1,1,,
20.876,18.5885,µm^3,Volume Outside,Image 1,1,,
21.012,18.4416,µm^3,Volume Outside,Image 1,1,,
21.148,17.9419,µm^3,Volume Outside,Image 1,1,,
21.284,18.1381,µm^3,Volume Outside,Image 1,1,,
21.42,17.9604,µm^3,Volume Outside,Image 1,1,,
21.556,17.4455,µm^3,Volume Outside,Image 1,1,,
21.692,17.7215,µm^3,Volume Outside,Image 1,1,,
21.828,17.6865,µm^3,Volume Outside,Image 1,1,,
21.964,17.2011,µm^3,Volume Outside,Image 1,1,,
22.1,16.4655,µm^3,Volume Outside,Image 1,1,,
22.236,16.5258,µm^3,Volume Outside,Image 1,1,,
22.372,16.2511,µm^3,Volume Outside,Image 1,1,,
22.508,15.6961,µm^3,Volume Outside,Image 1,1,,
22.644,15.7041,µm^3,Volume Outside,Image 1,1,,
22.78,15.4783,µm^3,Volume Outside,Image 1,1,,
22.916,14.9169,µm^3,Volume Outside,Image 1,1,,
23.052,15.0296,µm^3,Volume Outside,Image 1,1,,
23.188,14.9191,µm^3,Volume Outside,Image 1,1,,
23.324,14.4628,µm^3,Volume Outside,Image 1,1,,
23.46,13.8027,µm^3,Volume Outside,Image 1,1,,
23.596,13.8306,µm^3,Volume Outside,Image 1,1,,
23.732,13.5461,µm^3,Volume Outside,Image 1,1,,
23.868,13.0046,µm^3,Volume Outside,Image 1,1,,
24.004,13.0573,µm^3,Volume Outside,Image 1,1,,
24.14,12.9033,µm^3,Volume Outside,Image 1,1,,
24.276,12.4639,µm^3,Volume Outside,Image 1,1,,
24.412,11.9249,µm^3,Volume Outside,Image 1,1,,
24.548,11.903,µm^3,Volume Outside,Image 1,1,,
24.684,11.6498,µm^3,Volume Outside,Image 1,1,,
24.82,11.1302,µm^3,Volume Outside,Image 1,1,,
24.956,11.0939,µm^3,Volume Outside,Image 1,1,,
25.092,10.82,µm^3,Volume Outside,Image 1,1,,
25.228,10.3485,µm^3,Volume Outside,Image 1,1,,
25.364,10.3405,µm^3,Volume Outside,Image 1,1,,
25.5,10.1979,µm^3,Volume Outside,Image 1,1,,
25.636,9.80788,µm^3,Volume Outside,Image 1,1,,
25.772,9.30141,µm^3,Volume Outside,Image 1,1,,
25.908,9.19167,µm^3,Volume Outside,Image 1,1,,
26.044,8.92957,µm^3,Volume Outside,Image 1,1,,
26.18,8.48683,µm^3,Volume Outside,Image 1,1,,
26.316,8.41761,µm^3,Volume Outside,Image 1,1,,
26.452,8.16353,µm^3,Volume Outside,Image 1,1,,
26.588,7.71699,µm^3,Volume Outside,Image 1,1,,
26.724,7.63679,µm^3,Volume Outside,Image 1,1,,
26.86,7.46206,µm^3,Volume Outside,Image 1,1,,
26.996,7.13834,µm^3,Volume Outside,Image 1,1,,
27.132,6.72641,µm^3,Volume Outside,Image 1,1,,
