
Segment Intensity Mean Ch=1 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
5.42058,,Segment,1,7,Image 1,2,1,100000001,510000001512,
3.71731,,Segment,1,6,Image 1,2,1,100000001,510000001537,
1.95402,,Segment,1,5,Image 1,2,1,100000001,510000001546,
2.12879,,Segment,1,4,Image 1,2,1,100000001,510000001552,
3.4824,,Segment,1,3,Image 1,2,1,100000001,510000001606,
5,,Segment,1,2,Image 1,1,1,100000001,510000001609,
2.7225,,Segment,1,1,Image 1,1,1,100000001,510000001623,
2.13028,,Segment,1,0,Image 1,1,1,100000001,510000001634,
65.4098,,Segment,1,13,Image 1,4,1,100000001,510000001656,
2.13487,,Segment,1,12,Image 1,2,1,100000001,510000001661,
2.05405,,Segment,1,10,Image 1,3,1,100000001,510000001674,
2.02041,,Segment,1,11,Image 1,3,1,100000001,510000001678,
1.98073,,Segment,1,9,Image 1,3,1,100000001,510000001690,
3.39478,,Segment,1,7,Image 1,3,1,100000001,510000001702,
3.64957,,Segment,1,8,Image 1,3,1,100000001,510000001705,
1.95736,,Segment,1,4,Image 1,2,1,100000001,510000001720,
2.15068,,Segment,1,3,Image 1,1,1,100000001,510000001737,
1.85938,,Segment,1,2,Image 1,1,1,100000001,510000001740,
1.99275,,Segment,1,4,Image 1,1,1,100000001,510000001750,
1.93396,,Segment,1,3,Image 1,2,1,100000001,510000001752,
2.19601,,Segment,1,5,Image 1,2,1,100000001,510000001776,
1.74023,,Segment,1,4,Image 1,2,1,100000001,510000001793,
1.72591,,Segment,1,3,Image 1,2,1,100000001,510000001852,
1.78431,,Segment,1,2,Image 1,1,1,100000001,510000001869,
1.51923,,Segment,1,1,Image 1,1,1,100000001,510000001880,
1.91954,,Segment,1,5,Image 1,3,1,100000001,510000001885,
1.55294,,Segment,1,5,Image 1,3,1,100000001,510000001902,
1.62869,,Segment,1,4,Image 1,2,1,100000001,510000001951,
2.06286,,Segment,1,3,Image 1,2,1,100000001,510000001967,
1.81031,,Segment,1,2,Image 1,2,1,100000001,510000001978,
1.50923,,Segment,1,1,Image 1,2,1,100000001,510000001992,
1.42172,,Segment,1,0,Image 1,1,1,100000001,510000002006,
1.21951,,Segment,1,5,Image 1,2,1,100000001,510000002028,
2.05435,,Segment,1,5,Image 1,3,1,100000001,510000002032,
2.08421,,Segment,1,6,Image 1,3,1,100000001,510000002040,
1.42478,,Segment,1,4,Image 1,3,1,100000001,510000002045,
2.01042,,Segment,1,4,Image 1,3,1,100000001,510000002054,
1.98404,,Segment,1,4,Image 1,3,1,100000001,510000002065,
1.82709,,Segment,1,2,Image 1,2,1,100000000,510000002142,
2.85595,,Segment,1,1,Image 1,1,1,100000000,510000002151,
1.70632,,Segment,1,0,Image 1,1,1,100000000,510000002161,
1.1,,Segment,1,4,Image 1,3,1,100000001,510000002169,
1.18928,,Segment,1,3,Image 1,2,1,100000001,510000002183,
1.28462,,Segment,1,2,Image 1,2,1,100000001,510000002194,
1,,Segment,1,4,Image 1,2,1,100000001,510000002198,
1.7533,,Segment,1,3,Image 1,1,1,100000001,510000002211,
1.29091,,Segment,1,3,Image 1,3,1,100000001,510000002214,
1.66972,,Segment,1,3,Image 1,3,1,100000001,510000002222,
1.4734,,Segment,1,2,Image 1,2,1,100000001,510000002255,
1.34969,,Segment,1,1,Image 1,1,1,100000001,510000002264,
6.4881,,Segment,1,3,Image 1,1,1,100000001,510000002266,
3.75862,,Segment,1,2,Image 1,2,1,100000001,510000002269,
2.08494,,Segment,1,1,Image 1,1,1,100000001,510000002288,
2.28308,,Segment,1,0,Image 1,1,1,100000001,510000002300,
1.94872,,Segment,1,1,Image 1,2,1,100000001,510000002312,
2.02703,,Segment,1,1,Image 1,2,1,100000001,510000002319,
1.58784,,Segment,1,2,Image 1,3,1,100000001,510000002322,
1.19916,,Segment,1,2,Image 1,1,1,100000001,510000002328,
2.02703,,Segment,1,1,Image 1,2,1,100000001,510000002333,
1.76596,,Segment,1,1,Image 1,2,1,100000001,510000002340,
1.40726,,Segment,1,0,Image 1,1,1,100000001,510000002348,
1.81535,,Segment,1,1,Image 1,2,1,100000001,510000002355,
1.26136,,Segment,1,1,Image 1,2,1,100000000,510000002386,
1.99254,,Segment,1,1,Image 1,2,1,100000000,510000002426,
1.88728,,Segment,1,1,Image 1,1,1,100000001,510000002433,
2.33191,,Segment,1,0,Image 1,1,1,100000001,510000002441,
3.27071,,Segment,1,2,Image 1,1,1,100000000,510000002448,
1.31461,,Segment,1,0,Image 1,1,1,100000000,510000002452,
1.83117,,Segment,1,5,Image 1,2,1,100000000,510000002454,
1.66667,,Segment,1,5,Image 1,3,1,100000000,510000002455,
2.34884,,Segment,1,2,Image 1,2,1,100000000,510000002456,
2.11688,,Segment,1,2,Image 1,2,1,100000001,510000002458,
1.69828,,Segment,1,6,Image 1,3,1,100000001,510000002461,
1.84298,,Segment,1,7,Image 1,4,1,100000001,510000002462,
1.98485,,Segment,1,5,Image 1,4,1,100000001,510000002463,
2.06369,,Segment,1,0,Image 1,1,1,100000001,510000002465,
2.21552,,Segment,1,11,Image 1,2,1,100000001,510000002467,
1.56,,Segment,1,1,Image 1,1,1,100000001,510000002470,
