
Spine Terminal Pt Position
 ==================== 
Spine Terminal Pt Position X,Spine Terminal Pt Position Y,Spine Terminal Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-414.263,21633.5,1438.89,µm,Spine,Spine Terminal Pt Position,,,1,,610000002696,
-431.488,21637.9,1441.09,µm,Spine,Spine Terminal Pt Position,,,1,,610000002758,
-432.787,21638.4,1440.39,µm,Spine,Spine Terminal Pt Position,,,1,,610000002777,
-433.372,21638.9,1440.59,µm,Spine,Spine Terminal Pt Position,,,1,,610000002987,
-431.812,21638,1441.09,µm,Spine,Spine Terminal Pt Position,,,1,,610000002988,
-412.833,21637.1,1439.99,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002712,
-413.353,21637.1,1439.39,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002750,
-414.783,21632.7,1438.89,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002752,
-414.523,21632.4,1439.19,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002811,
-433.957,21638.3,1439.99,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000002817,
-412.768,21635.9,1439.49,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002838,
-413.027,21636.5,1439.39,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002958,
-413.223,21636.8,1439.49,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002959,
-414.523,21632,1439.19,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002960,
-414.783,21632,1438.89,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002961,
-433.697,21638.4,1439.89,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002971,
-433.957,21639.7,1439.89,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002973,
-415.693,21637.9,1438.89,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002802,
-415.238,21637.3,1438.89,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002830,
-433.372,21638,1441.99,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000002847,
-415.173,21637,1438.89,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002851,
-415.953,21638,1438.89,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002873,
-429.38,21641.8,1442.05,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002959,
-427.848,21641.5,1441.89,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002960,
-434.997,21640.9,1439.19,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002975,
-426.092,21637.2,1439.89,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000002734,
-434.967,21639.9,1439.79,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000002737,
-410.168,21631.8,1439.49,µm,Spine,Spine Terminal Pt Position,1,2,1,100000000,610000002743,
-431.033,21643,1441.49,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000002745,
-409.973,21631.9,1439.39,µm,Spine,Spine Terminal Pt Position,1,2,1,100000000,610000002786,
-426.288,21636.9,1439.59,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000002840,
-426.422,21637.4,1440.05,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002966,
-411.013,21636.6,1439.59,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002972,
-434.644,21640,1439.85,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002974,
-432.776,21637.2,1441.49,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002983,
-412.247,21623.7,1439.29,µm,Spine,Spine Terminal Pt Position,10,3,1,,610000002967,
-412.247,21623.5,1439.29,µm,Spine,Spine Terminal Pt Position,10,3,1,,610000002968,
-411.555,21623,1440.39,µm,Spine,Spine Terminal Pt Position,11,3,1,,610000002969,
-413.71,21622.9,1440.43,µm,Spine,Spine Terminal Pt Position,12,2,1,100000000,610000002728,
-413.548,21623,1440.39,µm,Spine,Spine Terminal Pt Position,12,2,1,100000000,610000002796,
-412.898,21621.4,1440.29,µm,Spine,Spine Terminal Pt Position,12,3,1,100000000,610000002766,
-413.428,21621.6,1440.27,µm,Spine,Spine Terminal Pt Position,12,3,1,,610000002970,
-413.127,21621.7,1440.24,µm,Spine,Spine Terminal Pt Position,12,3,1,,610000002971,
-446.698,21640.5,1440.39,µm,Spine,Spine Terminal Pt Position,13,3,1,100000001,610000002754,
-447.608,21640.3,1441.09,µm,Spine,Spine Terminal Pt Position,13,3,1,,610000002981,
-415.096,21621.8,1439.39,µm,Spine,Spine Terminal Pt Position,14,2,1,100000000,610000002807,
-426.158,21639.4,1440.69,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000002725,
-418.813,21639.1,1439.69,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000002813,
-433.736,21638,1442.88,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000002864,
-427.143,21640,1440.75,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000002965,
