
Spine Terminal Pt Position Y
 ==================== 
Spine Terminal Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
21639.9,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002694,
21633.5,µm,Spine,Spine Terminal Pt Position,,,1,,610000002696,
21637.1,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002712,
21626.9,µm,Spine,Spine Terminal Pt Position,9,3,1,100000001,610000002716,
21627.9,µm,Spine,Spine Terminal Pt Position,6,2,1,100000000,610000002718,
21628.5,µm,Spine,Spine Terminal Pt Position,5,2,1,100000000,610000002721,
21639.4,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000002725,
21622.9,µm,Spine,Spine Terminal Pt Position,12,2,1,100000000,610000002728,
21624.9,µm,Spine,Spine Terminal Pt Position,9,3,1,100000000,610000002730,
21637.2,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000002734,
21639.9,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000002737,
21631.8,µm,Spine,Spine Terminal Pt Position,1,2,1,100000000,610000002743,
21643,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000002745,
21636.1,µm,Spine,Spine Terminal Pt Position,3,3,1,100000001,610000002748,
21637.1,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002750,
21632.7,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002752,
21640.5,µm,Spine,Spine Terminal Pt Position,13,3,1,100000001,610000002754,
21636.8,µm,Spine,Spine Terminal Pt Position,4,2,1,100000001,610000002756,
21637.9,µm,Spine,Spine Terminal Pt Position,,,1,,610000002758,
21637.6,µm,Spine,Spine Terminal Pt Position,3,2,1,100000001,610000002762,
21621.4,µm,Spine,Spine Terminal Pt Position,12,3,1,100000000,610000002766,
21633.8,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002771,
21636.2,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000002775,
21638.4,µm,Spine,Spine Terminal Pt Position,,,1,,610000002777,
21626.8,µm,Spine,Spine Terminal Pt Position,6,1,1,100000000,610000002782,
21631.9,µm,Spine,Spine Terminal Pt Position,1,2,1,100000000,610000002786,
21630.6,µm,Spine,Spine Terminal Pt Position,5,3,1,100000001,610000002794,
21623,µm,Spine,Spine Terminal Pt Position,12,2,1,100000000,610000002796,
21637.9,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002802,
21641,µm,Spine,Spine Terminal Pt Position,8,2,1,100000001,610000002805,
21621.8,µm,Spine,Spine Terminal Pt Position,14,2,1,100000000,610000002807,
21632.4,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002811,
21639.1,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000002813,
21638.3,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000002817,
21641.5,µm,Spine,Spine Terminal Pt Position,6,2,1,100000001,610000002820,
21636.9,µm,Spine,Spine Terminal Pt Position,4,2,1,100000001,610000002827,
21637.3,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002830,
21641.2,µm,Spine,Spine Terminal Pt Position,8,2,1,100000001,610000002832,
21635.9,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002838,
21636.9,µm,Spine,Spine Terminal Pt Position,1,2,1,100000001,610000002840,
21634.5,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000002845,
21638,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000002847,
21637,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002851,
21637.8,µm,Spine,Spine Terminal Pt Position,2,2,1,100000001,610000002854,
21640.8,µm,Spine,Spine Terminal Pt Position,3,1,1,100000001,610000002857,
21638,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000002864,
21640,µm,Spine,Spine Terminal Pt Position,9,3,1,100000001,610000002866,
21640.5,µm,Spine,Spine Terminal Pt Position,3,1,1,100000001,610000002869,
21638,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000002873,
21639.7,µm,Spine,Spine Terminal Pt Position,9,3,1,100000001,610000002878,
21637.5,µm,Spine,Spine Terminal Pt Position,2,2,1,100000001,610000002880,
21624.2,µm,Spine,Spine Terminal Pt Position,7,2,1,100000000,610000002886,
21636.5,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002958,
21643.5,µm,Spine,Spine Terminal Pt Position,2,3,1,,610000002958,
21636.8,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002959,
21641.8,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002959,
21632,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002960,
21641.5,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002960,
21632,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002961,
21636.8,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000002961,
21640.6,µm,Spine,Spine Terminal Pt Position,3,1,1,,610000002962,
21629.2,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000002962,
21640.1,µm,Spine,Spine Terminal Pt Position,3,1,1,,610000002963,
21624.9,µm,Spine,Spine Terminal Pt Position,9,3,1,,610000002963,
21639.9,µm,Spine,Spine Terminal Pt Position,3,1,1,,610000002964,
21625.6,µm,Spine,Spine Terminal Pt Position,8,3,1,,610000002964,
21628.6,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000002965,
21640,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000002965,
21637.4,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002966,
21629.2,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000002966,
21630.1,µm,Spine,Spine Terminal Pt Position,7,3,1,,610000002967,
21623.7,µm,Spine,Spine Terminal Pt Position,10,3,1,,610000002967,
21629.4,µm,Spine,Spine Terminal Pt Position,8,4,1,,610000002968,
21623.5,µm,Spine,Spine Terminal Pt Position,10,3,1,,610000002968,
21629.3,µm,Spine,Spine Terminal Pt Position,8,3,1,,610000002969,
21623,µm,Spine,Spine Terminal Pt Position,11,3,1,,610000002969,
21621.6,µm,Spine,Spine Terminal Pt Position,12,3,1,,610000002970,
21628.6,µm,Spine,Spine Terminal Pt Position,8,3,1,,610000002970,
21638.4,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002971,
21621.7,µm,Spine,Spine Terminal Pt Position,12,3,1,,610000002971,
21636.6,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002972,
21637.4,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000002972,
21639.7,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000002973,
21632.8,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002973,
21640,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002974,
21640.9,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000002975,
21643,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000002976,
21641.4,µm,Spine,Spine Terminal Pt Position,6,2,1,,610000002977,
21640,µm,Spine,Spine Terminal Pt Position,7,3,1,,610000002978,
21641,µm,Spine,Spine Terminal Pt Position,8,2,1,,610000002979,
21639.9,µm,Spine,Spine Terminal Pt Position,9,3,1,,610000002980,
21640.3,µm,Spine,Spine Terminal Pt Position,13,3,1,,610000002981,
21637.8,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000002982,
21637.2,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000002983,
21636.4,µm,Spine,Spine Terminal Pt Position,2,3,1,,610000002984,
21636.6,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002985,
21636.5,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000002986,
21638.9,µm,Spine,Spine Terminal Pt Position,,,1,,610000002987,
21638,µm,Spine,Spine Terminal Pt Position,,,1,,610000002988,
