
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
12.824,°,Segment,6,3,1,100000003,510000000045,
5.28943,°,Segment,5,2,1,100000003,510000000102,
4.58505,°,Segment,4,2,1,100000003,510000000104,
3.6019,°,Segment,3,2,1,100000003,510000000144,
15.2396,°,Segment,2,1,1,100000003,510000000184,
6.26907,°,Segment,1,1,1,100000003,510000000197,
0,°,Segment,0,1,1,100000003,510000000220,
79.9081,°,Segment,5,3,1,100000003,510000000245,
81.3479,°,Segment,4,3,1,100000003,510000000248,
12.448,°,Segment,7,2,1,100000003,510000000252,
13.4637,°,Segment,6,1,1,100000003,510000000272,
19.6901,°,Segment,5,1,1,100000003,510000000298,
2.92804,°,Segment,4,1,1,100000003,510000000393,
6.26103,°,Segment,3,1,1,100000003,510000000425,
1.11083,°,Segment,2,1,1,100000003,510000000454,
5.66566,°,Segment,1,1,1,100000003,510000000496,
0,°,Segment,0,1,1,100000003,510000000537,
89.5698,°,Segment,7,1,1,100000003,510000000559,
77.2802,°,Segment,5,2,1,100000003,510000000574,
23.5214,°,Segment,3,3,1,100000003,510000000644,
83.0423,°,Segment,2,2,1,100000003,510000000669,
90.0138,°,Segment,3,2,1,100000003,510000000682,
17.719,°,Segment,1,2,1,100000003,510000000702,
0,°,Segment,0,1,1,100000003,510000000760,
87.7267,°,Segment,1,1,1,100000003,510000000779,
26.6555,°,Segment,5,5,1,100000001,510000000781,
5.8013,°,Segment,4,4,1,100000001,510000000797,
24.5471,°,Segment,3,3,1,100000001,510000000813,
23.8348,°,Segment,2,2,1,100000001,510000000837,
12.8594,°,Segment,1,2,1,100000001,510000000844,
0,°,Segment,0,1,1,100000001,510000000857,
8.15762,°,Segment,5,3,1,100000001,510000000909,
71.3857,°,Segment,4,3,1,100000001,510000000911,
23.0621,°,Segment,4,3,1,100000001,510000000974,
76.6807,°,Segment,3,2,1,100000001,510000000996,
18.8492,°,Segment,5,3,1,100000001,510000001033,
52.706,°,Segment,4,2,1,100000001,510000001037,
84.834,°,Segment,5,2,1,100000001,510000001042,
82.3566,°,Segment,5,4,1,100000001,510000001045,
0,°,Segment,0,1,1,100000005,510000001124,
8.2574,°,Segment,5,2,1,100000005,510000001186,
2.59759,°,Segment,4,2,1,100000005,510000001208,
16.5968,°,Segment,3,1,1,100000005,510000001213,
5.84751,°,Segment,2,1,1,100000005,510000001217,
5.47028,°,Segment,1,1,1,100000005,510000001229,
0,°,Segment,0,1,1,100000005,510000001235,
0.141274,°,Segment,6,2,1,100000000,510000001269,
7.62689,°,Segment,5,1,1,100000000,510000001276,
5.95467,°,Segment,4,1,1,100000000,510000001279,
15.1147,°,Segment,3,1,1,100000000,510000001291,
9.61337,°,Segment,2,1,1,100000000,510000001307,
27.781,°,Segment,1,1,1,100000000,510000001367,
0,°,Segment,0,1,1,100000000,510000001412,
71.6896,°,Segment,5,3,1,100000005,510000001434,
2.43011,°,Segment,7,2,1,100000000,510000001436,
91.3727,°,Segment,6,1,1,100000000,510000001438,
13.2958,°,Segment,1,1,1,100000005,510000001477,
0,°,Segment,0,1,1,100000005,510000001503,
4.67257,°,Segment,3,2,1,100000000,510000001528,
