
Overall
 ==================== 
Variable,Value,Unit,Image,Time,ID,
Filament Number of Filaments per Time Point,6,,,1,,
Filament Number of Tracks,0,,,,,
Filament Total Number of Filaments,6,,,,,
Pt Number of Tracks,0,,,,,
Pt Total Number of Points,353,,,,,
Soma Number of Disconnected Components per Time Point,6,,,1,,
Soma Number of Somas per Time Point,6,,,1,,
Soma Number of Tracks,0,,,,,
Soma Total Number of Disconnected Components,6,,,,,
Soma Total Number of Somas,6,,,,,
Soma Total Number of Triangles,82276,,,,,
Soma Total Number of Voxels,98846,,Image 1,,,
