
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-10.1935,9.30556,µm^3,Cumulative Volume Inside,Image 1,1,,
-9.6425,36.5139,µm^3,Cumulative Volume Inside,Image 1,1,,
-9.0915,92.9445,µm^3,Cumulative Volume Inside,Image 1,1,,
-8.5405,189.75,µm^3,Cumulative Volume Inside,Image 1,1,,
-7.9895,339.556,µm^3,Cumulative Volume Inside,Image 1,1,,
-7.4385,566.597,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.8875,924.681,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.3365,1512.24,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.7855,2441.65,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.2345,3769.93,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.6835,5444.9,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.1325,7514.46,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.5815,10053.2,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.0305,13139.5,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.4795,16845.8,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.9285,21228.3,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.3775,26314.6,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.8265,32019.4,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.2755,38358.8,µm^3,Cumulative Volume Inside,Image 1,1,,
