
Spine Attachment Pt Time Index
 ==================== 
Spine Attachment Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,1,2,1,100000005,610000003433,
1,,Spine,1,1,1,100000002,610000003489,
1,,Spine,0,1,1,100000001,610000003545,
1,,Spine,0,1,1,100000002,610000003597,
1,,Spine,0,1,1,100000000,610000003610,
1,,Spine,1,1,1,100000002,610000003614,
1,,Spine,0,1,1,100000004,610000003620,
1,,Spine,1,1,1,100000002,610000003704,
1,,Spine,1,1,1,100000000,610000003732,
1,,Spine,1,1,1,100000002,610000003760,
1,,Spine,1,1,1,100000001,610000003773,
1,,Spine,0,1,1,100000001,610000003786,
1,,Spine,1,1,1,100000002,610000003800,
1,,Spine,0,1,1,,610000004006,
1,,Spine,4,3,1,,610000004007,
1,,Spine,0,1,1,,610000004007,
1,,Spine,3,2,1,,610000004007,
1,,Spine,1,2,1,,610000004007,
1,,Spine,2,2,1,,610000004008,
1,,Spine,0,1,1,,610000004008,
1,,Spine,0,1,1,,610000004009,
1,,Spine,3,3,1,,610000004009,
1,,Spine,1,1,1,,610000004010,
1,,Spine,3,1,1,,610000004010,
1,,Spine,1,2,1,,610000004010,
1,,Spine,0,1,1,,610000004011,
1,,Spine,1,2,1,,610000004011,
1,,Spine,0,1,1,,610000004012,
1,,Spine,1,1,1,,610000004012,
1,,Spine,1,2,1,,610000004012,
1,,Spine,2,2,1,,610000004013,
1,,Spine,0,1,1,,610000004013,
1,,Spine,0,1,1,,610000004014,
1,,Spine,1,1,1,,610000004014,
1,,Spine,1,1,1,,610000004015,
1,,Spine,0,1,1,,610000004017,
1,,Spine,0,1,1,,610000004018,
