
Spine Attachment Pt Position Y
 ==================== 
Spine Attachment Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
24048,µm,Spine,Spine Attachment Pt Position,1,2,1,100000005,610000003433,
23970.6,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000003489,
23955.8,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000003545,
23972.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000003597,
24046.7,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000003610,
23970.9,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000003614,
24060.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000004,610000003620,
23968.8,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000003704,
24041.7,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000003732,
23965.4,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000003760,
23950.2,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000003773,
23961.4,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000003786,
23968.1,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000003800,
24058.2,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004006,
23961.7,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000004007,
23971.9,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004007,
24060.1,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000004007,
24044.1,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000004007,
24041.1,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000004008,
23967.5,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004008,
23955.1,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004009,
24041.2,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000004009,
23951,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004010,
24032.7,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000004010,
24048.1,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000004010,
24065.8,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004011,
24047.7,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000004011,
24061,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004012,
23968.2,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004012,
24047.5,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000004012,
24064.7,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000004013,
24048.3,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004013,
24045.2,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004014,
23971.5,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004014,
23970.6,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004015,
23975.4,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004017,
23973.3,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004018,
