
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.758419,,Surface,1,Image 1,1,0,
1.14312,,Surface,1,Image 1,1,1,
0.715732,,Surface,1,Image 1,1,2,
0.614762,,Surface,1,Image 1,1,3,
0.495656,,Surface,1,Image 1,1,4,
0.431825,,Surface,1,Image 1,1,5,
