
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-10.1935,9.30556,µm^3,Volume,Image 1,1,,
-9.6425,27.2083,µm^3,Volume,Image 1,1,,
-9.0915,56.4306,µm^3,Volume,Image 1,1,,
-8.5405,96.8056,µm^3,Volume,Image 1,1,,
-7.9895,149.806,µm^3,Volume,Image 1,1,,
-7.4385,227.042,µm^3,Volume,Image 1,1,,
-6.8875,358.083,µm^3,Volume,Image 1,1,,
-6.3365,587.556,µm^3,Volume,Image 1,1,,
-5.7855,929.417,µm^3,Volume,Image 1,1,,
-5.2345,1328.28,µm^3,Volume,Image 1,1,,
-4.6835,1674.97,µm^3,Volume,Image 1,1,,
-4.1325,2069.56,µm^3,Volume,Image 1,1,,
-3.5815,2538.72,µm^3,Volume,Image 1,1,,
-3.0305,3086.31,µm^3,Volume,Image 1,1,,
-2.4795,3706.33,µm^3,Volume,Image 1,1,,
-1.9285,4382.49,µm^3,Volume,Image 1,1,,
-1.3775,5086.29,µm^3,Volume,Image 1,1,,
-0.826499,5704.78,µm^3,Volume,Image 1,1,,
-0.275499,6339.46,µm^3,Volume,Image 1,1,,
0.275501,7068.9,µm^3,Volume,Image 1,1,,
0.826502,6602.92,µm^3,Volume,Image 1,1,,
1.3775,6507.74,µm^3,Volume,Image 1,1,,
1.9285,6658.88,µm^3,Volume,Image 1,1,,
2.4795,6884.83,µm^3,Volume,Image 1,1,,
3.0305,7064.76,µm^3,Volume,Image 1,1,,
3.5815,7231.4,µm^3,Volume,Image 1,1,,
4.1325,7322.89,µm^3,Volume,Image 1,1,,
4.6835,7407.18,µm^3,Volume,Image 1,1,,
5.2345,7479.4,µm^3,Volume,Image 1,1,,
5.7855,7336.83,µm^3,Volume,Image 1,1,,
6.3365,7166.6,µm^3,Volume,Image 1,1,,
6.8875,7046.33,µm^3,Volume,Image 1,1,,
7.4385,6921.86,µm^3,Volume,Image 1,1,,
7.9895,6795.53,µm^3,Volume,Image 1,1,,
8.5405,6686.32,µm^3,Volume,Image 1,1,,
9.0915,6567.67,µm^3,Volume,Image 1,1,,
9.6425,6470.76,µm^3,Volume,Image 1,1,,
10.1935,6367.17,µm^3,Volume,Image 1,1,,
10.7445,6248.03,µm^3,Volume,Image 1,1,,
11.2955,6154.25,µm^3,Volume,Image 1,1,,
11.8465,6083.85,µm^3,Volume,Image 1,1,,
12.3975,6058.57,µm^3,Volume,Image 1,1,,
12.9485,6030.89,µm^3,Volume,Image 1,1,,
13.4995,6023.5,µm^3,Volume,Image 1,1,,
14.0505,6020.99,µm^3,Volume,Image 1,1,,
14.6015,6035.15,µm^3,Volume,Image 1,1,,
15.1525,6016.31,µm^3,Volume,Image 1,1,,
15.7035,5992.9,µm^3,Volume,Image 1,1,,
16.2545,5940.65,µm^3,Volume,Image 1,1,,
16.8055,5913.29,µm^3,Volume,Image 1,1,,
17.3565,5828.22,µm^3,Volume,Image 1,1,,
17.9075,5739.21,µm^3,Volume,Image 1,1,,
18.4585,5698.93,µm^3,Volume,Image 1,1,,
19.0095,5670.29,µm^3,Volume,Image 1,1,,
19.5605,5570.78,µm^3,Volume,Image 1,1,,
20.1115,5487,µm^3,Volume,Image 1,1,,
20.6625,5415.19,µm^3,Volume,Image 1,1,,
21.2135,5253.35,µm^3,Volume,Image 1,1,,
21.7645,5070.79,µm^3,Volume,Image 1,1,,
22.3155,4885.89,µm^3,Volume,Image 1,1,,
22.8665,4660.42,µm^3,Volume,Image 1,1,,
23.4175,4327.24,µm^3,Volume,Image 1,1,,
23.9685,3996.08,µm^3,Volume,Image 1,1,,
24.5195,3706.64,µm^3,Volume,Image 1,1,,
25.0705,3465.9,µm^3,Volume,Image 1,1,,
25.6215,3216.63,µm^3,Volume,Image 1,1,,
26.1725,3002.53,µm^3,Volume,Image 1,1,,
26.7235,2824.69,µm^3,Volume,Image 1,1,,
27.2745,2653.68,µm^3,Volume,Image 1,1,,
27.8255,2419.26,µm^3,Volume,Image 1,1,,
28.3765,2164.25,µm^3,Volume,Image 1,1,,
28.9275,1912.44,µm^3,Volume,Image 1,1,,
29.4785,1643.47,µm^3,Volume,Image 1,1,,
30.0295,1339.65,µm^3,Volume,Image 1,1,,
30.5805,1062.19,µm^3,Volume,Image 1,1,,
