
Spine Neck Mean Diameter
 ==================== 
Spine Neck Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.481064,µm,Spine,0,1,1,100000001,610000003428,
1.12164,µm,Spine,1,2,1,100000005,610000003433,
0.792737,µm,Spine,3,1,1,100000003,610000003437,
0.416667,µm,Spine,0,1,1,100000000,610000003447,
0.494792,µm,Spine,0,1,1,100000004,610000003451,
0.416667,µm,Spine,0,1,1,100000004,610000003458,
0.481771,µm,Spine,0,1,1,100000001,610000003462,
0.639456,µm,Spine,0,1,1,100000002,610000003468,
0.891346,µm,Spine,0,1,1,100000002,610000003474,
0.434299,µm,Spine,0,1,1,100000002,610000003479,
0.655382,µm,Spine,1,1,1,100000001,610000003487,
0.416667,µm,Spine,1,1,1,100000002,610000003489,
0.556239,µm,Spine,0,1,1,100000002,610000003493,
0.416667,µm,Spine,0,1,1,100000000,610000003501,
0.475698,µm,Spine,0,1,1,100000004,610000003507,
0.416667,µm,Spine,0,1,1,100000004,610000003513,
0.655196,µm,Spine,0,1,1,100000004,610000003517,
0.416667,µm,Spine,0,1,1,100000004,610000003522,
0.763889,µm,Spine,0,1,1,100000001,610000003526,
0.832034,µm,Spine,2,2,1,100000001,610000003529,
0.465472,µm,Spine,0,1,1,100000002,610000003532,
0.518515,µm,Spine,0,1,1,100000001,610000003537,
1.00043,µm,Spine,0,1,1,100000002,610000003541,
1.27859,µm,Spine,0,1,1,100000001,610000003545,
0.878735,µm,Spine,1,2,1,100000005,610000003549,
0.495375,µm,Spine,0,1,1,100000004,610000003554,
0.677083,µm,Spine,0,1,1,100000000,610000003560,
0.526241,µm,Spine,0,1,1,100000002,610000003564,
0,µm,Spine,0,1,1,100000005,610000003567,
0.416667,µm,Spine,0,1,1,100000001,610000003572,
0.798194,µm,Spine,0,1,1,100000005,610000003575,
1.03641,µm,Spine,0,1,1,100000001,610000003582,
0.465414,µm,Spine,0,1,1,100000002,610000003585,
0.54239,µm,Spine,0,1,1,100000004,610000003588,
0,µm,Spine,0,1,1,100000002,610000003591,
1.71875,µm,Spine,0,1,1,100000000,610000003595,
0.416667,µm,Spine,0,1,1,100000002,610000003597,
0.62146,µm,Spine,1,1,1,100000005,610000003601,
0.853166,µm,Spine,1,2,1,100000001,610000003607,
1.09999,µm,Spine,0,1,1,100000000,610000003610,
0,µm,Spine,0,1,1,100000005,610000003612,
0.924479,µm,Spine,1,1,1,100000002,610000003614,
0.728941,µm,Spine,1,1,1,100000002,610000003618,
0.758678,µm,Spine,0,1,1,100000004,610000003620,
