
Filament Area (sum)
 ==================== 
Filament Area (sum),Unit,Category,Time,ID,
118.938,µm^2,Filament,1,100000000,
2786.33,µm^2,Filament,1,100000001,
1548.87,µm^2,Filament,1,100000002,
796.015,µm^2,Filament,1,100000003,
991.847,µm^2,Filament,1,100000004,
483.282,µm^2,Filament,1,100000005,
1259.92,µm^2,Filament,1,100000006,
