
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.625,0.625,0.625,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000006838,
0.694571,0.67423,0.625,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000006873,
0.763391,1.00587,0.625,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000006891,
0.416667,0.416667,0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000006906,
1.04167,1.00587,0.625,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000006919,
0.416667,1.38984,1.18164,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000006950,
0.626244,0.438857,0.582618,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000006963,
0.684988,0.505729,0.68278,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000006978,
0.514752,0.416667,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000006983,
0.416667,2.5,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000007000,
0.416667,0.557183,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000007021,
0.919662,0.416667,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000007025,
0.582618,0.438857,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000007030,
0.416667,0.860388,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000007049,
0.416667,0.416667,0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000007065,
0.448051,0.416667,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000007070,
0.833333,1.38984,1.50931,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000007076,
1.00758,0.833333,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000007079,
0.416667,0.416667,0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000007083,
0.654458,0.416667,0.625,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000007088,
0.436151,0.704854,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000007094,
0.707109,0.697157,0.859545,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000007103,
0.416667,0.416667,0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000007119,
0.781806,0.668039,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000007121,
0.602214,0.469531,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000007124,
0.483181,0.438857,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000007130,
1.09157,0.625,1.03241,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000007133,
0.894989,0.505729,1.71193,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000007146,
0.68278,0.505729,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000007151,
0.747465,0.625,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000007153,
0.452325,0.738081,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000006,610000007156,
0.932139,0.845289,0.640018,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000007159,
0.416667,0.511357,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000007165,
