
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.416667,µm,Spine,3,3,1,100000002,610000006820,
0.625,µm,Spine,0,1,1,100000006,610000006838,
0.416667,µm,Spine,10,3,1,100000003,610000006841,
0.416667,µm,Spine,10,3,1,100000003,610000006844,
0.512566,µm,Spine,1,2,1,100000002,610000006852,
0.833333,µm,Spine,1,2,1,100000002,610000006858,
0.625,µm,Spine,0,1,1,100000006,610000006873,
0.625,µm,Spine,1,2,1,100000002,610000006879,
0.625,µm,Spine,0,1,1,100000006,610000006891,
0.759294,µm,Spine,3,3,1,100000001,610000006899,
0.416667,µm,Spine,0,1,1,100000001,610000006906,
0.416667,µm,Spine,5,2,1,100000001,610000006908,
0.625,µm,Spine,0,1,1,100000006,610000006919,
0.513635,µm,Spine,4,1,1,100000002,610000006922,
0.471206,µm,Spine,1,1,1,100000004,610000006928,
0.533854,µm,Spine,3,3,1,100000002,610000006932,
0.833333,µm,Spine,1,2,1,100000002,610000006936,
0.745336,µm,Spine,12,7,1,100000006,610000006941,
0.416667,µm,Spine,0,1,1,100000002,610000006950,
0.471206,µm,Spine,1,1,1,100000004,610000006955,
0.527344,µm,Spine,11,3,1,100000002,610000006957,
0.438857,µm,Spine,0,1,1,100000006,610000006963,
0.710964,µm,Spine,1,1,1,100000004,610000006969,
0.681019,µm,Spine,6,3,1,100000001,610000006972,
0.505729,µm,Spine,0,1,1,100000002,610000006978,
0.416667,µm,Spine,0,1,1,100000001,610000006983,
0.741555,µm,Spine,16,5,1,100000003,610000006988,
0.440573,µm,Spine,2,3,1,100000004,610000006992,
0.416667,µm,Spine,16,5,1,100000003,610000006996,
0.416667,µm,Spine,0,1,1,100000005,610000007000,
0.416667,µm,Spine,8,3,1,100000001,610000007002,
0.455466,µm,Spine,1,1,1,100000004,610000007005,
0.512293,µm,Spine,2,2,1,100000004,610000007010,
0.448873,µm,Spine,2,1,1,100000002,610000007014,
0.471206,µm,Spine,1,1,1,100000004,610000007018,
0.416667,µm,Spine,0,1,1,100000001,610000007021,
0.416667,µm,Spine,0,1,1,100000004,610000007025,
0.438857,µm,Spine,0,1,1,100000006,610000007030,
0.824499,µm,Spine,2,2,1,100000004,610000007032,
0.589633,µm,Spine,4,1,1,100000002,610000007036,
0.416667,µm,Spine,1,2,1,100000004,610000007038,
0.51585,µm,Spine,1,1,1,100000005,610000007040,
0.416667,µm,Spine,3,3,1,100000002,610000007044,
0.736779,µm,Spine,8,4,1,100000001,610000007046,
0.416667,µm,Spine,0,1,1,100000006,610000007049,
0.846755,µm,Spine,5,2,1,100000002,610000007051,
0.593266,µm,Spine,3,2,1,100000001,610000007054,
0.459403,µm,Spine,7,3,1,100000001,610000007056,
0.903432,µm,Spine,2,1,1,100000004,610000007061,
0.416667,µm,Spine,0,1,1,100000001,610000007065,
0.416667,µm,Spine,0,1,1,100000006,610000007070,
0.833333,µm,Spine,0,1,1,100000002,610000007076,
0.833333,µm,Spine,0,1,1,100000006,610000007079,
0.416667,µm,Spine,0,1,1,100000002,610000007083,
0.587961,µm,Spine,7,4,1,100000001,610000007085,
0.416667,µm,Spine,0,1,1,100000004,610000007088,
0.471206,µm,Spine,1,1,1,100000004,610000007091,
0.436151,µm,Spine,0,1,1,100000006,610000007094,
0.628902,µm,Spine,10,4,1,100000003,610000007100,
0.697157,µm,Spine,0,1,1,100000004,610000007103,
0.573123,µm,Spine,10,2,1,100000006,610000007105,
0.435123,µm,Spine,5,3,1,100000004,610000007108,
0.625,µm,Spine,8,4,1,100000001,610000007110,
0.649414,µm,Spine,1,1,1,100000000,610000007112,
0.451508,µm,Spine,3,1,1,100000001,610000007115,
0.416667,µm,Spine,0,1,1,100000002,610000007119,
0.668039,µm,Spine,0,1,1,100000002,610000007121,
0.469531,µm,Spine,0,1,1,100000006,610000007124,
0.562509,µm,Spine,1,1,1,100000002,610000007127,
0.438857,µm,Spine,0,1,1,100000006,610000007130,
0.625,µm,Spine,0,1,1,100000004,610000007133,
0.612904,µm,Spine,1,1,1,100000002,610000007137,
0.505729,µm,Spine,0,1,1,100000002,610000007146,
0.505729,µm,Spine,0,1,1,100000002,610000007151,
0.625,µm,Spine,0,1,1,100000004,610000007153,
0.452325,µm,Spine,0,1,1,100000006,610000007156,
0.640018,µm,Spine,0,1,1,100000002,610000007159,
0.416667,µm,Spine,0,1,1,100000002,610000007165,
0.625,µm,Spine,2,2,1,100000001,610000007168,
0.416667,µm,Spine,3,2,1,100000002,610000007176,
0.69774,µm,Spine,7,3,1,100000001,610000007180,
0.923022,µm,Spine,0,1,1,100000002,610000007185,
0.454761,µm,Spine,3,2,1,100000002,610000007194,
0.538973,µm,Spine,0,1,1,100000004,610000007198,
