
Soma Intensity Max Ch=3 Img=1
 ==================== 
Soma Intensity Max,Unit,Category,Channel,Image,Time,FilamentID,ID,
94,,Soma,3,Image 1,1,100000000,800000000,
125,,Soma,3,Image 1,1,100000001,800000001,
152,,Soma,3,Image 1,1,100000002,800000002,
99,,Soma,3,Image 1,1,100000003,800000003,
165,,Soma,3,Image 1,1,100000004,800000004,
122,,Soma,3,Image 1,1,100000005,800000005,
112,,Soma,3,Image 1,1,100000006,800000006,
