
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
8,,Spine,2,5,Image 1,3,1,100000001,610000007261,
12,,Spine,2,3,Image 1,2,1,100000004,610000007265,
6,,Spine,2,1,Image 1,1,1,100000002,610000007267,
1,,Spine,2,12,Image 1,1,1,100000001,610000007269,
0,,Spine,2,1,Image 1,1,1,100000002,610000007271,
22,,Spine,2,0,Image 1,1,1,100000006,610000007273,
12,,Spine,2,0,Image 1,1,1,100000006,610000007275,
8,,Spine,2,5,Image 1,2,1,100000002,610000007277,
5,,Spine,2,2,Image 1,2,1,100000004,610000007281,
36,,Spine,2,0,Image 1,1,1,100000006,610000007284,
12,,Spine,2,3,Image 1,3,1,100000001,610000007286,
5,,Spine,2,1,Image 1,1,1,100000005,610000007288,
12,,Spine,2,1,Image 1,2,1,100000001,610000007291,
10,,Spine,2,1,Image 1,1,1,100000002,610000007294,
14,,Spine,2,8,Image 1,3,1,100000001,610000007296,
6,,Spine,2,0,Image 1,1,1,100000001,610000007298,
2,,Spine,2,2,Image 1,2,1,100000004,610000007300,
19,,Spine,2,1,Image 1,1,1,100000000,610000007304,
6,,Spine,2,5,Image 1,2,1,100000006,610000007306,
5,,Spine,2,1,Image 1,1,1,100000006,610000007308,
5,,Spine,2,2,Image 1,2,1,100000004,610000007312,
7,,Spine,2,0,Image 1,1,1,100000006,610000007316,
28,,Spine,2,0,Image 1,1,1,100000002,610000007320,
7,,Spine,2,0,Image 1,1,1,100000002,610000007322,
20,,Spine,2,1,Image 1,2,1,100000004,610000007326,
3,,Spine,2,1,Image 1,2,1,100000004,610000007332,
2,,Spine,2,1,Image 1,1,1,100000004,610000007337,
18,,Spine,2,0,Image 1,1,1,100000001,610000007341,
7,,Spine,2,4,Image 1,3,1,100000006,610000007347,
7,,Spine,2,11,Image 1,6,1,100000006,610000007351,
10,,Spine,2,2,Image 1,2,1,100000004,610000007353,
15,,Spine,2,1,Image 1,2,1,100000004,610000007356,
32,,Spine,2,0,Image 1,1,1,100000002,610000007359,
10,,Spine,2,4,Image 1,1,1,100000001,610000007362,
2,,Spine,2,2,Image 1,1,1,100000002,610000007365,
27,,Spine,2,0,Image 1,1,1,100000006,610000007368,
5,,Spine,2,5,Image 1,3,1,100000004,610000007371,
25,,Spine,2,0,Image 1,1,1,100000006,610000007375,
35,,Spine,2,0,Image 1,1,1,100000001,610000007378,
10,,Spine,2,2,Image 1,2,1,100000004,610000007381,
6,,Spine,2,12,Image 1,1,1,100000001,610000007383,
3,,Spine,2,0,Image 1,1,1,100000001,610000007385,
35,,Spine,2,0,Image 1,1,1,100000006,610000007390,
2,,Spine,2,3,Image 1,1,1,100000002,610000007396,
11,,Spine,2,1,Image 1,1,1,100000002,610000007403,
28,,Spine,2,3,Image 1,2,1,100000002,610000007408,
1,,Spine,2,4,Image 1,1,1,100000001,610000007411,
13,,Spine,2,1,Image 1,2,1,100000004,610000007417,
6,,Spine,2,1,Image 1,2,1,100000002,610000007419,
28,,Spine,2,3,Image 1,2,1,100000002,610000007425,
20,,Spine,2,1,Image 1,2,1,100000004,610000007429,
14,,Spine,2,0,Image 1,1,1,100000001,610000007432,
3,,Spine,2,1,Image 1,2,1,100000004,610000007436,
13,,Spine,2,8,Image 1,3,1,100000006,610000007439,
14,,Spine,2,0,Image 1,1,1,100000002,610000007443,
33,,Spine,2,0,Image 1,1,1,100000001,610000007446,
7,,Spine,2,1,Image 1,2,1,100000002,610000007449,
12,,Spine,2,0,Image 1,1,1,100000001,610000007451,
5,,Spine,2,0,Image 1,1,1,100000004,610000007454,
18,,Spine,2,0,Image 1,1,1,100000004,610000007459,
5,,Spine,2,1,Image 1,1,1,100000004,610000007461,
8,,Spine,2,1,Image 1,1,1,100000001,610000007465,
58,,Spine,2,0,Image 1,1,1,100000001,610000007470,
