
Segment Center Intensity Sum Ch=4 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Segment,4,1,Image 1,2,1,100000005,510000001550,
14,,Segment,4,0,Image 1,1,1,100000005,510000001583,
3,,Segment,4,1,Image 1,1,1,100000005,510000001605,
43,,Segment,4,8,Image 1,3,1,100000001,510000001627,
10,,Segment,4,7,Image 1,3,1,100000001,510000001631,
361,,Segment,4,6,Image 1,3,1,100000001,510000001667,
5,,Segment,4,5,Image 1,3,1,100000001,510000001671,
7,,Segment,4,4,Image 1,3,1,100000001,510000001679,
10,,Segment,4,3,Image 1,2,1,100000001,510000001691,
31,,Segment,4,2,Image 1,1,1,100000001,510000001705,
17,,Segment,4,1,Image 1,1,1,100000001,510000001713,
11,,Segment,4,0,Image 1,1,1,100000001,510000001725,
38,,Segment,4,4,Image 1,4,1,100000001,510000001764,
48,,Segment,4,3,Image 1,3,1,100000001,510000001812,
17,,Segment,4,1,Image 1,1,1,100000001,510000001826,
15,,Segment,4,0,Image 1,1,1,100000001,510000001872,
7,,Segment,4,4,Image 1,3,1,100000001,510000001885,
96,,Segment,4,1,Image 1,2,1,100000006,510000001916,
17,,Segment,4,0,Image 1,1,1,100000006,510000001935,
4,,Segment,4,1,Image 1,1,1,100000006,510000001953,
57,,Segment,4,6,Image 1,4,1,100000001,510000001962,
6,,Segment,4,5,Image 1,4,1,100000001,510000001970,
34,,Segment,4,8,Image 1,4,1,100000001,510000002010,
6,,Segment,4,7,Image 1,3,1,100000001,510000002017,
9,,Segment,4,6,Image 1,3,1,100000001,510000002026,
21,,Segment,4,5,Image 1,2,1,100000001,510000002055,
5,,Segment,4,4,Image 1,2,1,100000001,510000002062,
11,,Segment,4,3,Image 1,2,1,100000001,510000002084,
20,,Segment,4,1,Image 1,1,1,100000001,510000002091,
14,,Segment,4,0,Image 1,1,1,100000001,510000002106,
7,,Segment,4,8,Image 1,3,1,100000001,510000002132,
1,,Segment,4,7,Image 1,4,1,100000001,510000002136,
11,,Segment,4,5,Image 1,3,1,100000002,510000002161,
12,,Segment,4,4,Image 1,2,1,100000002,510000002176,
4,,Segment,4,3,Image 1,1,1,100000002,510000002180,
5,,Segment,4,2,Image 1,1,1,100000002,510000002193,
13,,Segment,4,1,Image 1,1,1,100000002,510000002223,
1,,Segment,4,0,Image 1,1,1,100000002,510000002250,
0,,Segment,4,2,Image 1,2,1,100000005,510000002257,
13,,Segment,4,1,Image 1,2,1,100000005,510000002273,
10,,Segment,4,5,Image 1,3,1,100000001,510000002293,
63,,Segment,4,4,Image 1,2,1,100000001,510000002310,
