
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1460.19,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1460.12,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1460.12,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1460.18,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1469.18,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1469.25,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1469.25,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1469.18,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1473.96,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1474.27,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1474.26,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1473.95,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1474.02,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1474.22,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1474.17,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1474,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1468.2,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000004,800000004,
1469.16,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000004,800000004,
1469.14,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000004,800000004,
1468.18,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000004,800000004,
1469.4,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000005,800000005,
1470.03,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000005,800000005,
1470.01,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000005,800000005,
1469.33,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000005,800000005,
1472.87,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000006,800000006,
1472.92,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000006,800000006,
1472.92,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000006,800000006,
1472.78,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000006,800000006,
