
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
5,,Segment,5,3,1,100000002,510000002161,
4,,Segment,4,2,1,100000002,510000002176,
3,,Segment,3,1,1,100000002,510000002180,
2,,Segment,2,1,1,100000002,510000002193,
1,,Segment,1,1,1,100000002,510000002223,
0,,Segment,0,1,1,100000002,510000002250,
2,,Segment,2,2,1,100000005,510000002257,
1,,Segment,1,2,1,100000005,510000002273,
5,,Segment,5,3,1,100000001,510000002293,
4,,Segment,4,2,1,100000001,510000002310,
5,,Segment,5,2,1,100000001,510000002323,
17,,Segment,17,4,1,100000003,510000002335,
15,,Segment,15,4,1,100000003,510000002348,
14,,Segment,14,3,1,100000003,510000002379,
13,,Segment,13,3,1,100000003,510000002426,
17,,Segment,17,5,1,100000003,510000002429,
16,,Segment,16,5,1,100000003,510000002431,
14,,Segment,14,2,1,100000001,510000002445,
13,,Segment,13,2,1,100000001,510000002467,
12,,Segment,12,1,1,100000001,510000002504,
11,,Segment,11,1,1,100000001,510000002508,
9,,Segment,9,1,1,100000001,510000002511,
8,,Segment,8,1,1,100000001,510000002521,
7,,Segment,7,1,1,100000001,510000002524,
6,,Segment,6,1,1,100000001,510000002531,
5,,Segment,5,1,1,100000001,510000002534,
4,,Segment,4,1,1,100000001,510000002556,
3,,Segment,3,1,1,100000001,510000002578,
14,,Segment,14,3,1,100000001,510000002580,
6,,Segment,6,2,1,100000002,510000002592,
5,,Segment,5,1,1,100000002,510000002600,
4,,Segment,4,1,1,100000002,510000002621,
6,,Segment,6,1,1,100000002,510000002623,
6,,Segment,6,2,1,100000002,510000002626,
6,,Segment,6,3,1,100000002,510000002632,
5,,Segment,5,2,1,100000002,510000002650,
4,,Segment,4,1,1,100000002,510000002652,
3,,Segment,3,1,1,100000002,510000002658,
2,,Segment,2,1,1,100000002,510000002678,
1,,Segment,1,1,1,100000002,510000002696,
0,,Segment,0,1,1,100000002,510000002719,
6,,Segment,6,2,1,100000002,510000002723,
4,,Segment,4,2,1,100000002,510000002725,
15,,Segment,15,5,1,100000003,510000002731,
9,,Segment,9,5,1,100000001,510000002758,
8,,Segment,8,4,1,100000001,510000002760,
7,,Segment,7,4,1,100000001,510000002787,
8,,Segment,8,5,1,100000001,510000002790,
9,,Segment,9,4,1,100000001,510000002793,
8,,Segment,8,4,1,100000001,510000002800,
6,,Segment,6,4,1,100000001,510000002807,
15,,Segment,15,3,1,100000003,510000002810,
1,,Segment,1,2,1,100000005,510000002830,
0,,Segment,0,1,1,100000005,510000002944,
15,,Segment,15,5,1,100000003,510000003004,
14,,Segment,14,5,1,100000003,510000003015,
13,,Segment,13,4,1,100000003,510000003020,
12,,Segment,12,4,1,100000003,510000003039,
1,,Segment,1,1,1,100000005,510000003052,
14,,Segment,14,4,1,100000003,510000003057,
15,,Segment,15,6,1,100000003,510000003063,
3,,Segment,3,2,1,100000005,510000003078,
2,,Segment,2,1,1,100000005,510000003132,
1,,Segment,1,1,1,100000005,510000003179,
0,,Segment,0,1,1,100000005,510000003210,
14,,Segment,14,5,1,100000001,510000003244,
13,,Segment,13,4,1,100000001,510000003249,
12,,Segment,12,4,1,100000001,510000003252,
11,,Segment,11,4,1,100000001,510000003255,
10,,Segment,10,4,1,100000001,510000003279,
9,,Segment,9,3,1,100000001,510000003291,
8,,Segment,8,2,1,100000001,510000003317,
7,,Segment,7,2,1,100000001,510000003365,
5,,Segment,5,3,1,100000001,510000003382,
4,,Segment,4,2,1,100000001,510000003392,
3,,Segment,3,2,1,100000001,510000003425,
1,,Segment,1,2,1,100000001,510000003447,
13,,Segment,13,5,1,100000001,510000003476,
12,,Segment,12,5,1,100000001,510000003481,
3,,Segment,3,1,1,100000005,510000003487,
14,,Segment,14,4,1,100000003,510000003494,
7,,Segment,7,4,1,100000001,510000003521,
6,,Segment,6,4,1,100000001,510000003529,
5,,Segment,5,3,1,100000001,510000003573,
4,,Segment,4,3,1,100000001,510000003582,
3,,Segment,3,2,1,100000001,510000003591,
2,,Segment,2,2,1,100000001,510000003620,
1,,Segment,1,1,1,100000001,510000003622,
0,,Segment,0,1,1,100000001,510000003628,
14,,Segment,14,4,1,100000001,510000003631,
9,,Segment,9,4,1,100000001,510000003639,
8,,Segment,8,3,1,100000001,510000003646,
7,,Segment,7,3,1,100000001,510000003656,
6,,Segment,6,3,1,100000001,510000003677,
5,,Segment,5,3,1,100000001,510000003717,
6,,Segment,6,3,1,100000001,510000003720,
5,,Segment,5,2,1,100000001,510000003723,
14,,Segment,14,5,1,100000003,510000003730,
7,,Segment,7,5,1,100000001,510000003733,
13,,Segment,13,5,1,100000003,510000003737,
13,,Segment,13,5,1,100000001,510000003739,
2,,Segment,2,2,1,100000005,510000003749,
9,,Segment,9,3,1,100000001,510000003751,
11,,Segment,11,4,1,100000003,510000003772,
6,,Segment,6,2,1,100000001,510000003774,
11,,Segment,11,5,1,100000001,510000003776,
6,,Segment,6,3,1,100000001,510000003780,
8,,Segment,8,4,1,100000001,510000003783,
10,,Segment,10,3,1,100000001,510000003791,
7,,Segment,7,2,1,100000001,510000003820,
6,,Segment,6,2,1,100000001,510000003832,
5,,Segment,5,2,1,100000001,510000003837,
4,,Segment,4,2,1,100000001,510000003843,
3,,Segment,3,2,1,100000001,510000003896,
2,,Segment,2,1,1,100000001,510000003898,
8,,Segment,8,5,1,100000001,510000003916,
6,,Segment,6,3,1,100000001,510000003925,
9,,Segment,9,3,1,100000003,510000003932,
10,,Segment,10,4,1,100000003,510000003940,
14,,Segment,14,2,1,100000001,510000003945,
13,,Segment,13,1,1,100000001,510000003953,
7,,Segment,7,4,1,100000001,510000003956,
14,,Segment,14,1,1,100000001,510000003959,
6,,Segment,6,4,1,100000001,510000003966,
12,,Segment,12,2,1,100000001,510000003988,
2,,Segment,2,3,1,100000005,510000003990,
7,,Segment,7,3,1,100000001,510000004009,
4,,Segment,4,3,1,100000001,510000004011,
7,,Segment,7,3,1,100000001,510000004019,
6,,Segment,6,2,1,100000001,510000004021,
2,,Segment,2,2,1,100000001,510000004032,
1,,Segment,1,2,1,100000001,510000004053,
5,,Segment,5,2,1,100000002,510000004065,
8,,Segment,8,3,1,100000001,510000004071,
2,,Segment,2,3,1,100000001,510000004074,
7,,Segment,7,3,1,100000001,510000004076,
8,,Segment,8,4,1,100000001,510000004081,
9,,Segment,9,2,1,100000003,510000004087,
6,,Segment,6,3,1,100000003,510000004097,
6,,Segment,6,4,1,100000003,510000004106,
5,,Segment,5,3,1,100000003,510000004108,
10,,Segment,10,2,1,100000001,510000004114,
7,,Segment,7,3,1,100000003,510000004122,
4,,Segment,4,2,1,100000001,510000004166,
3,,Segment,3,2,1,100000001,510000004172,
2,,Segment,2,2,1,100000001,510000004203,
1,,Segment,1,2,1,100000001,510000004218,
5,,Segment,5,2,1,100000002,510000004225,
11,,Segment,11,3,1,100000002,510000004270,
10,,Segment,10,2,1,100000002,510000004273,
9,,Segment,9,2,1,100000002,510000004290,
8,,Segment,8,2,1,100000002,510000004294,
7,,Segment,7,2,1,100000002,510000004297,
