
Spine Terminal Pt Diameter
 ==================== 
Spine Terminal Pt Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.687285,µm,Spine,6,3,1,100000000,610000002782,
0.833333,µm,Spine,9,4,1,100000000,610000002802,
1.11596,µm,Spine,1,2,1,100000002,610000002830,
0.833333,µm,Spine,3,3,1,100000002,610000002839,
0.701,µm,Spine,3,2,1,100000000,610000002858,
1.04289,µm,Spine,3,4,1,100000000,610000002866,
1.18919,µm,Spine,3,4,1,100000000,610000002873,
1.00694,µm,Spine,3,4,1,100000000,610000002879,
0.621745,µm,Spine,4,4,1,100000000,610000002884,
0.43019,µm,Spine,3,2,1,100000002,610000002888,
2.97509,µm,Spine,0,1,1,100000001,610000002910,
2.97509,µm,Spine,0,1,1,100000001,610000002931,
0.951775,µm,Spine,3,4,1,100000000,610000002937,
0.705463,µm,Spine,0,1,1,100000001,610000002951,
0.83252,µm,Spine,9,5,1,100000000,610000002966,
0.705331,µm,Spine,9,5,1,100000000,610000002981,
0.861335,µm,Spine,9,5,1,100000000,610000002995,
0.833333,µm,Spine,1,1,1,100000002,610000003003,
0.990432,µm,Spine,3,2,1,100000001,610000003016,
1.04167,µm,Spine,3,2,1,100000001,610000003028,
0.980754,µm,Spine,5,3,1,100000000,610000003039,
0.625,µm,Spine,2,1,1,100000000,610000003045,
0.995072,µm,Spine,9,5,1,100000000,610000003053,
0.762303,µm,Spine,8,3,1,100000000,610000003066,
0.73354,µm,Spine,8,3,1,100000000,610000003079,
1.30442,µm,Spine,8,3,1,100000000,610000003091,
1.21425,µm,Spine,8,3,1,100000000,610000003103,
1.43944,µm,Spine,8,3,1,100000000,610000003114,
0.833333,µm,Spine,2,1,1,100000000,610000003121,
0.877926,µm,Spine,1,2,1,100000002,610000003128,
0.672843,µm,Spine,3,1,1,100000002,610000003137,
1.04605,µm,Spine,1,1,1,100000000,610000003144,
1.16746,µm,Spine,1,1,1,100000000,610000003150,
0.527152,µm,Spine,7,3,1,100000000,610000003154,
0.706525,µm,Spine,4,3,1,100000000,610000003163,
0.736762,µm,Spine,4,3,1,100000000,610000003171,
0.705463,µm,Spine,0,1,1,100000001,610000003178,
0.705463,µm,Spine,0,1,1,100000001,610000003183,
1.25,µm,Spine,9,3,1,100000000,610000003195,
0.499626,µm,Spine,9,3,1,100000000,610000003207,
1.78839,µm,Spine,9,3,1,100000000,610000003217,
1.64477,µm,Spine,9,3,1,100000000,610000003226,
1.45833,µm,Spine,9,3,1,100000000,610000003234,
0.508622,µm,Spine,9,3,1,100000000,610000003240,
0.598958,µm,Spine,9,3,1,100000000,610000003243,
1.05534,µm,Spine,3,2,1,100000001,610000003245,
0.539762,µm,Spine,2,1,1,100000000,610000003249,
0.625,µm,Spine,3,2,1,100000000,610000003255,
0.665988,µm,Spine,3,2,1,100000000,610000003260,
0.603758,µm,Spine,0,1,1,100000000,610000003263,
0.884905,µm,Spine,1,1,1,100000002,610000003275,
0.884905,µm,Spine,1,1,1,100000002,610000003286,
0.963508,µm,Spine,2,2,1,100000001,610000003290,
0.416667,µm,Spine,4,1,1,100000001,610000003294,
0.833333,µm,Spine,2,2,1,100000002,610000003298,
1.94059,µm,Spine,2,2,1,100000001,610000003301,
0.833333,µm,Spine,0,1,1,100000001,610000003306,
0.416667,µm,Spine,1,1,1,100000002,610000003309,
0.673803,µm,Spine,0,1,1,100000002,610000003312,
0.898844,µm,Spine,0,1,1,100000001,610000003315,
0.665081,µm,Spine,8,5,1,100000000,610000003318,
0.761179,µm,Spine,3,2,1,100000001,610000003321,
1.584,µm,Spine,0,1,1,100000001,610000003325,
1.59948,µm,Spine,1,1,1,100000002,610000003328,
0.676563,µm,Spine,0,1,1,100000001,610000003330,
3.04296,µm,Spine,0,1,1,100000001,610000003334,
0.833333,µm,Spine,2,1,1,100000002,610000003338,
