
Soma Intensity Sum of Square Ch=2 Img=1
 ==================== 
Soma Intensity Sum of Square,Unit,Category,Channel,Image,Time,FilamentID,ID,
40600,,Soma,2,Image 1,1,100000000,800000000,
40880,,Soma,2,Image 1,1,100000001,800000001,
25560,,Soma,2,Image 1,1,100000002,800000002,
