
Spine Center Intensity Min Ch=1 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,1,6,Image 1,3,1,100000000,610000002782,
0,,Spine,1,9,Image 1,4,1,100000000,610000002802,
1,,Spine,1,1,Image 1,2,1,100000002,610000002830,
0,,Spine,1,3,Image 1,3,1,100000002,610000002839,
0,,Spine,1,3,Image 1,2,1,100000000,610000002858,
2,,Spine,1,3,Image 1,4,1,100000000,610000002866,
2,,Spine,1,3,Image 1,4,1,100000000,610000002873,
2,,Spine,1,3,Image 1,4,1,100000000,610000002879,
3,,Spine,1,4,Image 1,4,1,100000000,610000002884,
3,,Spine,1,3,Image 1,2,1,100000002,610000002888,
2,,Spine,1,0,Image 1,1,1,100000001,610000002910,
2,,Spine,1,0,Image 1,1,1,100000001,610000002931,
2,,Spine,1,3,Image 1,4,1,100000000,610000002937,
1,,Spine,1,0,Image 1,1,1,100000001,610000002951,
2,,Spine,1,9,Image 1,5,1,100000000,610000002966,
2,,Spine,1,9,Image 1,5,1,100000000,610000002981,
2,,Spine,1,9,Image 1,5,1,100000000,610000002995,
1,,Spine,1,1,Image 1,1,1,100000002,610000003003,
1,,Spine,1,3,Image 1,2,1,100000001,610000003016,
1,,Spine,1,3,Image 1,2,1,100000001,610000003028,
0,,Spine,1,5,Image 1,3,1,100000000,610000003039,
2,,Spine,1,2,Image 1,1,1,100000000,610000003045,
2,,Spine,1,9,Image 1,5,1,100000000,610000003053,
3,,Spine,1,8,Image 1,3,1,100000000,610000003066,
3,,Spine,1,8,Image 1,3,1,100000000,610000003079,
3,,Spine,1,8,Image 1,3,1,100000000,610000003091,
3,,Spine,1,8,Image 1,3,1,100000000,610000003103,
3,,Spine,1,8,Image 1,3,1,100000000,610000003114,
2,,Spine,1,2,Image 1,1,1,100000000,610000003121,
0,,Spine,1,1,Image 1,2,1,100000002,610000003128,
3,,Spine,1,3,Image 1,1,1,100000002,610000003137,
4,,Spine,1,1,Image 1,1,1,100000000,610000003144,
4,,Spine,1,1,Image 1,1,1,100000000,610000003150,
9,,Spine,1,7,Image 1,3,1,100000000,610000003154,
9,,Spine,1,4,Image 1,3,1,100000000,610000003163,
9,,Spine,1,4,Image 1,3,1,100000000,610000003171,
3,,Spine,1,0,Image 1,1,1,100000001,610000003178,
10,,Spine,1,0,Image 1,1,1,100000001,610000003183,
3,,Spine,1,9,Image 1,3,1,100000000,610000003195,
3,,Spine,1,9,Image 1,3,1,100000000,610000003207,
3,,Spine,1,9,Image 1,3,1,100000000,610000003217,
3,,Spine,1,9,Image 1,3,1,100000000,610000003226,
3,,Spine,1,9,Image 1,3,1,100000000,610000003234,
3,,Spine,1,9,Image 1,3,1,100000000,610000003240,
4,,Spine,1,9,Image 1,3,1,100000000,610000003243,
2,,Spine,1,3,Image 1,2,1,100000001,610000003245,
4,,Spine,1,2,Image 1,1,1,100000000,610000003249,
4,,Spine,1,3,Image 1,2,1,100000000,610000003255,
4,,Spine,1,3,Image 1,2,1,100000000,610000003260,
3,,Spine,1,0,Image 1,1,1,100000000,610000003263,
10,,Spine,1,1,Image 1,1,1,100000002,610000003275,
10,,Spine,1,1,Image 1,1,1,100000002,610000003286,
16,,Spine,1,2,Image 1,2,1,100000001,610000003290,
19,,Spine,1,4,Image 1,1,1,100000001,610000003294,
18,,Spine,1,2,Image 1,2,1,100000002,610000003298,
16,,Spine,1,2,Image 1,2,1,100000001,610000003301,
80,,Spine,1,0,Image 1,1,1,100000001,610000003306,
18,,Spine,1,1,Image 1,1,1,100000002,610000003309,
40,,Spine,1,0,Image 1,1,1,100000002,610000003312,
17,,Spine,1,0,Image 1,1,1,100000001,610000003315,
19,,Spine,1,8,Image 1,5,1,100000000,610000003318,
53,,Spine,1,3,Image 1,2,1,100000001,610000003321,
56,,Spine,1,0,Image 1,1,1,100000001,610000003325,
70,,Spine,1,1,Image 1,1,1,100000002,610000003328,
69,,Spine,1,0,Image 1,1,1,100000001,610000003330,
51,,Spine,1,0,Image 1,1,1,100000001,610000003334,
65,,Spine,1,2,Image 1,1,1,100000002,610000003338,
78,,Spine,1,2,Image 1,2,1,100000002,610000003343,
68,,Spine,1,3,Image 1,2,1,100000001,610000003346,
63,,Spine,1,4,Image 1,1,1,100000000,610000003352,
57,,Spine,1,0,Image 1,1,1,100000000,610000003354,
75,,Spine,1,4,Image 1,1,1,100000000,610000003360,
106,,Spine,1,9,Image 1,5,1,100000000,610000003383,
88,,Spine,1,9,Image 1,5,1,100000000,610000003384,
80,,Spine,1,9,Image 1,5,1,100000000,610000003385,
105,,Spine,1,10,Image 1,4,1,100000000,610000003386,
125,,Spine,1,8,Image 1,4,1,100000000,610000003387,
29,,Spine,1,8,Image 1,2,1,100000000,610000003388,
64,,Spine,1,8,Image 1,2,1,100000000,610000003389,
54,,Spine,1,8,Image 1,5,1,100000000,610000003390,
15,,Spine,1,7,Image 1,4,1,100000000,610000003391,
53,,Spine,1,8,Image 1,4,1,100000000,610000003392,
160,,Spine,1,7,Image 1,3,1,100000000,610000003393,
72,,Spine,1,7,Image 1,3,1,100000000,610000003394,
56,,Spine,1,4,Image 1,1,1,100000000,610000003395,
41,,Spine,1,4,Image 1,1,1,100000000,610000003396,
122,,Spine,1,0,Image 1,1,1,100000000,610000003397,
74,,Spine,1,4,Image 1,3,1,100000000,610000003399,
91,,Spine,1,2,Image 1,3,1,100000000,610000003400,
53,,Spine,1,0,Image 1,1,1,100000001,610000003401,
86,,Spine,1,4,Image 1,2,1,100000001,610000003402,
53,,Spine,1,3,Image 1,2,1,100000001,610000003403,
30,,Spine,1,5,Image 1,2,1,100000001,610000003404,
116,,Spine,1,5,Image 1,2,1,100000001,610000003405,
38,,Spine,1,5,Image 1,3,1,100000001,610000003406,
23,,Spine,1,3,Image 1,2,1,100000002,610000003407,
73,,Spine,1,2,Image 1,2,1,100000002,610000003408,
65,,Spine,1,2,Image 1,1,1,100000002,610000003410,
87,,Spine,1,2,Image 1,1,1,100000002,610000003411,
18,,Spine,1,0,Image 1,1,1,100000002,610000003412,
93,,Spine,1,3,Image 1,3,1,100000002,610000003413,
23,,Spine,1,3,Image 1,3,1,100000002,610000003414,
27,,Spine,1,1,Image 1,1,1,100000002,610000003415,
14,,Spine,1,1,Image 1,1,1,100000002,610000003416,
21,,Spine,1,1,Image 1,1,1,100000002,610000003417,
57,,Spine,1,3,Image 1,1,1,100000002,610000003418,
12,,Spine,1,1,Image 1,1,1,100000002,610000003419,
61,,Spine,1,0,Image 1,1,1,100000002,610000003420,
