
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
21.8889,,Segment,1,3,Image 1,2,1,100000000,510000002264,
54.7826,,Segment,1,2,Image 1,2,1,100000001,510000002286,
54,,Segment,1,4,Image 1,3,1,100000000,510000002300,
38.1667,,Segment,1,0,Image 1,1,1,100000000,510000002320,
35.12,,Segment,1,4,Image 1,1,1,100000000,510000002344,
66.2308,,Segment,1,3,Image 1,3,1,100000000,510000002356,
36.75,,Segment,1,2,Image 1,2,1,100000000,510000002363,
48.8,,Segment,1,5,Image 1,2,1,100000000,510000002367,
40.8,,Segment,1,3,Image 1,1,1,100000002,510000002376,
95.5455,,Segment,1,2,Image 1,1,1,100000000,510000002387,
54.0625,,Segment,1,5,Image 1,3,1,100000001,510000002402,
122.667,,Segment,1,3,Image 1,3,1,100000000,510000002407,
52.7368,,Segment,1,5,Image 1,3,1,100000000,510000002425,
103,,Segment,1,4,Image 1,2,1,100000000,510000002430,
122,,Segment,1,3,Image 1,2,1,100000000,510000002432,
87.8,,Segment,1,5,Image 1,4,1,100000000,510000002446,
82.4,,Segment,1,4,Image 1,3,1,100000000,510000002450,
99.25,,Segment,1,5,Image 1,3,1,100000000,510000002457,
127.667,,Segment,1,5,Image 1,2,1,100000000,510000002459,
55.3333,,Segment,1,2,Image 1,2,1,100000002,510000002467,
18.2222,,Segment,1,0,Image 1,1,1,100000001,510000002480,
53,,Segment,1,5,Image 1,4,1,100000001,510000002483,
86.8333,,Segment,1,4,Image 1,3,1,100000001,510000002488,
60.3333,,Segment,1,5,Image 1,3,1,100000001,510000002490,
81.2857,,Segment,1,3,Image 1,3,1,100000001,510000002496,
59.2857,,Segment,1,3,Image 1,2,1,100000002,510000002502,
38,,Segment,1,0,Image 1,1,1,100000001,510000002507,
60.7,,Segment,1,5,Image 1,1,1,100000001,510000002516,
84,,Segment,1,0,Image 1,1,1,100000001,510000002524,
100.25,,Segment,1,2,Image 1,3,1,100000001,510000002532,
24.6,,Segment,1,1,Image 1,1,1,100000002,510000002536,
100.5,,Segment,1,0,Image 1,1,1,100000000,510000002540,
98.6667,,Segment,1,2,Image 1,2,1,100000000,510000002542,
100,,Segment,1,0,Image 1,1,1,100000000,510000002547,
55.3333,,Segment,1,1,Image 1,1,1,100000002,510000002549,
73.6667,,Segment,1,2,Image 1,3,1,100000002,510000002551,
73.6667,,Segment,1,0,Image 1,1,1,100000002,510000002566,
73.4,,Segment,1,0,Image 1,1,1,100000002,510000002573,
79,,Segment,1,9,Image 1,4,1,100000000,510000002575,
51.5,,Segment,1,3,Image 1,3,1,100000000,510000002576,
59,,Segment,1,0,Image 1,1,1,100000000,510000002577,
105,,Segment,1,1,Image 1,2,1,100000000,510000002578,
60,,Segment,1,0,Image 1,1,1,100000000,510000002579,
20.5,,Segment,1,3,Image 1,3,1,100000002,510000002583,
115,,Segment,1,1,Image 1,2,1,100000002,510000002584,
