
Spine Attachment Pt Diameter
 ==================== 
Spine Attachment Pt Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.44059,µm,Spine,6,3,1,100000000,610000002782,
0.416667,µm,Spine,9,4,1,100000000,610000002802,
0.539591,µm,Spine,1,2,1,100000002,610000002830,
0.416667,µm,Spine,3,3,1,100000002,610000002839,
1.82696,µm,Spine,3,2,1,100000000,610000002858,
1.27716,µm,Spine,3,4,1,100000000,610000002866,
1.27716,µm,Spine,3,4,1,100000000,610000002873,
1.27716,µm,Spine,3,4,1,100000000,610000002879,
0.921844,µm,Spine,4,4,1,100000000,610000002884,
0.416667,µm,Spine,3,2,1,100000002,610000002888,
0.91677,µm,Spine,0,1,1,100000001,610000002910,
0.828151,µm,Spine,0,1,1,100000001,610000002931,
1.34263,µm,Spine,3,4,1,100000000,610000002937,
0.442708,µm,Spine,0,1,1,100000001,610000002951,
0.639385,µm,Spine,9,5,1,100000000,610000002966,
0.639385,µm,Spine,9,5,1,100000000,610000002981,
0.639385,µm,Spine,9,5,1,100000000,610000002995,
0.630161,µm,Spine,1,1,1,100000002,610000003003,
0.426401,µm,Spine,3,2,1,100000001,610000003016,
0.426401,µm,Spine,3,2,1,100000001,610000003028,
0.833333,µm,Spine,5,3,1,100000000,610000003039,
1.44734,µm,Spine,2,1,1,100000000,610000003045,
0.639385,µm,Spine,9,5,1,100000000,610000003053,
1.35887,µm,Spine,8,3,1,100000000,610000003066,
1.35887,µm,Spine,8,3,1,100000000,610000003079,
1.35887,µm,Spine,8,3,1,100000000,610000003091,
1.35887,µm,Spine,8,3,1,100000000,610000003103,
1.35887,µm,Spine,8,3,1,100000000,610000003114,
1.16051,µm,Spine,2,1,1,100000000,610000003121,
1.09532,µm,Spine,1,2,1,100000002,610000003128,
0.564004,µm,Spine,3,1,1,100000002,610000003137,
0.490256,µm,Spine,1,1,1,100000000,610000003144,
0.490256,µm,Spine,1,1,1,100000000,610000003150,
1.07737,µm,Spine,7,3,1,100000000,610000003154,
1.20296,µm,Spine,4,3,1,100000000,610000003163,
1.20296,µm,Spine,4,3,1,100000000,610000003171,
0.918371,µm,Spine,0,1,1,100000001,610000003178,
0.970068,µm,Spine,0,1,1,100000001,610000003183,
1.06903,µm,Spine,9,3,1,100000000,610000003195,
1.06903,µm,Spine,9,3,1,100000000,610000003207,
1.06903,µm,Spine,9,3,1,100000000,610000003217,
1.06903,µm,Spine,9,3,1,100000000,610000003226,
1.06903,µm,Spine,9,3,1,100000000,610000003234,
1.06903,µm,Spine,9,3,1,100000000,610000003240,
1.06903,µm,Spine,9,3,1,100000000,610000003243,
0.426401,µm,Spine,3,2,1,100000001,610000003245,
1.23441,µm,Spine,2,1,1,100000000,610000003249,
1.82696,µm,Spine,3,2,1,100000000,610000003255,
1.82696,µm,Spine,3,2,1,100000000,610000003260,
0.984203,µm,Spine,0,1,1,100000000,610000003263,
0.630319,µm,Spine,1,1,1,100000002,610000003275,
0.707167,µm,Spine,1,1,1,100000002,610000003286,
1.15173,µm,Spine,2,2,1,100000001,610000003290,
1.40946,µm,Spine,4,1,1,100000001,610000003294,
0.831005,µm,Spine,2,2,1,100000002,610000003298,
1.15173,µm,Spine,2,2,1,100000001,610000003301,
0.833333,µm,Spine,0,1,1,100000001,610000003306,
0.793127,µm,Spine,1,1,1,100000002,610000003309,
0.416667,µm,Spine,0,1,1,100000002,610000003312,
0.959638,µm,Spine,0,1,1,100000001,610000003315,
0.925473,µm,Spine,8,5,1,100000000,610000003318,
2.08533,µm,Spine,3,2,1,100000001,610000003321,
0.653291,µm,Spine,0,1,1,100000001,610000003325,
1.39767,µm,Spine,1,1,1,100000002,610000003328,
0.865516,µm,Spine,0,1,1,100000001,610000003330,
1.02214,µm,Spine,0,1,1,100000001,610000003334,
0.875091,µm,Spine,2,1,1,100000002,610000003338,
1.21513,µm,Spine,2,2,1,100000002,610000003343,
1.25381,µm,Spine,3,2,1,100000001,610000003346,
1.15372,µm,Spine,4,1,1,100000000,610000003352,
0.758286,µm,Spine,0,1,1,100000000,610000003354,
1.40529,µm,Spine,4,1,1,100000000,610000003360,
0.851332,µm,Spine,9,5,1,100000000,610000003383,
1.22265,µm,Spine,9,5,1,100000000,610000003384,
0.639385,µm,Spine,9,5,1,100000000,610000003385,
1.25,µm,Spine,10,4,1,100000000,610000003386,
1.22978,µm,Spine,8,4,1,100000000,610000003387,
2.01237,µm,Spine,8,2,1,100000000,610000003388,
2.01237,µm,Spine,8,2,1,100000000,610000003389,
0.925473,µm,Spine,8,5,1,100000000,610000003390,
1.05795,µm,Spine,7,4,1,100000000,610000003391,
1.15946,µm,Spine,8,4,1,100000000,610000003392,
2.03627,µm,Spine,7,3,1,100000000,610000003393,
1.70718,µm,Spine,7,3,1,100000000,610000003394,
1.03541,µm,Spine,4,1,1,100000000,610000003395,
1.15372,µm,Spine,4,1,1,100000000,610000003396,
1.78007,µm,Spine,0,1,1,100000000,610000003397,
1.28367,µm,Spine,4,3,1,100000000,610000003399,
0.806751,µm,Spine,2,3,1,100000000,610000003400,
1.48503,µm,Spine,0,1,1,100000001,610000003401,
0.64015,µm,Spine,4,2,1,100000001,610000003402,
2.08533,µm,Spine,3,2,1,100000001,610000003403,
0.989398,µm,Spine,5,2,1,100000001,610000003404,
1.52826,µm,Spine,5,2,1,100000001,610000003405,
0.98916,µm,Spine,5,3,1,100000001,610000003406,
1.22234,µm,Spine,3,2,1,100000002,610000003407,
1.21513,µm,Spine,2,2,1,100000002,610000003408,
0.875091,µm,Spine,2,1,1,100000002,610000003410,
0.875091,µm,Spine,2,1,1,100000002,610000003411,
0.841085,µm,Spine,0,1,1,100000002,610000003412,
0.84919,µm,Spine,3,3,1,100000002,610000003413,
0.489823,µm,Spine,3,3,1,100000002,610000003414,
0.623282,µm,Spine,1,1,1,100000002,610000003415,
0.784412,µm,Spine,1,1,1,100000002,610000003416,
0.416667,µm,Spine,1,1,1,100000002,610000003417,
0.564004,µm,Spine,3,1,1,100000002,610000003418,
0.630161,µm,Spine,1,1,1,100000002,610000003419,
0.878999,µm,Spine,0,1,1,100000002,610000003420,
