
Spine Terminal Pt Time
 ==================== 
Spine Terminal Pt Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,6,3,1,100000000,610000002782,
0,s,Spine,9,4,1,100000000,610000002802,
0,s,Spine,1,2,1,100000002,610000002830,
0,s,Spine,3,3,1,100000002,610000002839,
0,s,Spine,3,2,1,100000000,610000002858,
0,s,Spine,3,4,1,100000000,610000002866,
0,s,Spine,3,4,1,100000000,610000002873,
0,s,Spine,3,4,1,100000000,610000002879,
0,s,Spine,4,4,1,100000000,610000002884,
0,s,Spine,3,2,1,100000002,610000002888,
0,s,Spine,,,1,,610000002890,
0,s,Spine,,,1,,610000002912,
0,s,Spine,3,4,1,100000000,610000002937,
0,s,Spine,,,1,,610000002939,
0,s,Spine,9,5,1,100000000,610000002966,
0,s,Spine,9,5,1,100000000,610000002981,
0,s,Spine,9,5,1,100000000,610000002995,
0,s,Spine,1,1,1,100000002,610000003003,
0,s,Spine,3,2,1,100000001,610000003016,
0,s,Spine,3,2,1,100000001,610000003028,
0,s,Spine,5,3,1,100000000,610000003039,
0,s,Spine,2,1,1,100000000,610000003045,
0,s,Spine,9,5,1,100000000,610000003053,
0,s,Spine,8,3,1,100000000,610000003066,
0,s,Spine,8,3,1,100000000,610000003079,
0,s,Spine,8,3,1,100000000,610000003091,
0,s,Spine,8,3,1,100000000,610000003103,
0,s,Spine,8,3,1,100000000,610000003114,
0,s,Spine,2,1,1,100000000,610000003121,
0,s,Spine,1,2,1,100000002,610000003128,
0,s,Spine,3,1,1,100000002,610000003137,
0,s,Spine,1,1,1,100000000,610000003144,
0,s,Spine,1,1,1,100000000,610000003150,
0,s,Spine,7,3,1,100000000,610000003154,
0,s,Spine,4,3,1,100000000,610000003163,
0,s,Spine,4,3,1,100000000,610000003171,
0,s,Spine,,,1,,610000003173,
0,s,Spine,,,1,,610000003180,
0,s,Spine,9,3,1,100000000,610000003195,
0,s,Spine,9,3,1,100000000,610000003207,
0,s,Spine,9,3,1,100000000,610000003217,
0,s,Spine,9,3,1,100000000,610000003226,
0,s,Spine,9,3,1,100000000,610000003234,
0,s,Spine,9,3,1,100000000,610000003240,
0,s,Spine,9,3,1,100000000,610000003243,
0,s,Spine,3,2,1,100000001,610000003245,
0,s,Spine,2,1,1,100000000,610000003249,
0,s,Spine,3,2,1,100000000,610000003255,
0,s,Spine,3,2,1,100000000,610000003260,
0,s,Spine,0,1,1,100000000,610000003263,
0,s,Spine,,,1,,610000003265,
0,s,Spine,,,1,,610000003277,
0,s,Spine,2,2,1,100000001,610000003290,
0,s,Spine,4,1,1,100000001,610000003294,
0,s,Spine,2,2,1,100000002,610000003298,
0,s,Spine,2,2,1,100000001,610000003301,
0,s,Spine,,,1,,610000003303,
0,s,Spine,1,1,1,100000002,610000003309,
0,s,Spine,0,1,1,100000002,610000003312,
0,s,Spine,0,1,1,100000001,610000003315,
0,s,Spine,8,5,1,100000000,610000003318,
0,s,Spine,3,2,1,100000001,610000003321,
0,s,Spine,,,1,,610000003327,
0,s,Spine,2,1,1,100000002,610000003338,
0,s,Spine,2,2,1,100000002,610000003343,
0,s,Spine,3,2,1,100000001,610000003346,
0,s,Spine,4,1,1,100000000,610000003352,
0,s,Spine,4,1,1,100000000,610000003360,
0,s,Spine,3,2,1,,610000003422,
0,s,Spine,0,1,1,,610000003422,
0,s,Spine,5,2,1,,610000003423,
0,s,Spine,4,1,1,,610000003423,
0,s,Spine,2,2,1,,610000003423,
0,s,Spine,5,2,1,,610000003424,
0,s,Spine,4,1,1,,610000003424,
0,s,Spine,0,1,1,,610000003424,
0,s,Spine,8,5,1,,610000003425,
0,s,Spine,2,1,1,,610000003425,
0,s,Spine,5,3,1,,610000003425,
0,s,Spine,3,2,1,,610000003426,
0,s,Spine,2,1,1,,610000003426,
0,s,Spine,7,4,1,,610000003426,
0,s,Spine,1,1,1,,610000003427,
0,s,Spine,8,4,1,,610000003427,
0,s,Spine,4,2,1,,610000003427,
0,s,Spine,1,1,1,,610000003428,
0,s,Spine,7,3,1,,610000003428,
0,s,Spine,1,1,1,,610000003429,
0,s,Spine,7,3,1,,610000003429,
0,s,Spine,3,3,1,,610000003430,
0,s,Spine,8,2,1,,610000003430,
0,s,Spine,3,3,1,,610000003431,
0,s,Spine,8,2,1,,610000003431,
0,s,Spine,9,5,1,,610000003432,
0,s,Spine,3,1,1,,610000003432,
0,s,Spine,0,1,1,,610000003433,
0,s,Spine,9,5,1,,610000003433,
0,s,Spine,1,1,1,,610000003434,
0,s,Spine,9,5,1,,610000003434,
0,s,Spine,10,4,1,,610000003435,
0,s,Spine,8,4,1,,610000003436,
0,s,Spine,2,3,1,,610000003437,
0,s,Spine,4,3,1,,610000003438,
0,s,Spine,,,1,,610000003439,
