
Spine Center Number of Voxel Ch=3 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3,,Spine,3,5,Image 1,1,1,100000000,610000005413,
24,,Spine,3,3,Image 1,4,1,100000002,610000005436,
23,,Spine,3,3,Image 1,4,1,100000002,610000005458,
4,,Spine,3,5,Image 1,2,1,100000001,610000005461,
4,,Spine,3,0,Image 1,1,1,100000003,610000005464,
4,,Spine,3,3,Image 1,2,1,100000004,610000005467,
5,,Spine,3,8,Image 1,3,1,100000001,610000005471,
4,,Spine,3,2,Image 1,1,1,100000003,610000005474,
4,,Spine,3,3,Image 1,2,1,100000000,610000005477,
3,,Spine,3,8,Image 1,3,1,100000000,610000005479,
8,,Spine,3,3,Image 1,2,1,100000000,610000005487,
3,,Spine,3,5,Image 1,4,1,100000004,610000005489,
5,,Spine,3,8,Image 1,3,1,100000001,610000005493,
4,,Spine,3,2,Image 1,2,1,100000004,610000005497,
9,,Spine,3,3,Image 1,4,1,100000002,610000005505,
6,,Spine,3,5,Image 1,1,1,100000000,610000005510,
3,,Spine,3,1,Image 1,2,1,100000003,610000005512,
4,,Spine,3,4,Image 1,2,1,100000004,610000005515,
6,,Spine,3,3,Image 1,1,1,100000000,610000005520,
4,,Spine,3,2,Image 1,2,1,100000004,610000005523,
2,,Spine,3,3,Image 1,2,1,100000000,610000005525,
3,,Spine,3,11,Image 1,5,1,100000001,610000005527,
5,,Spine,3,1,Image 1,1,1,100000001,610000005532,
3,,Spine,3,8,Image 1,3,1,100000001,610000005534,
4,,Spine,3,3,Image 1,2,1,100000000,610000005538,
3,,Spine,3,3,Image 1,2,1,100000000,610000005541,
4,,Spine,3,7,Image 1,2,1,100000001,610000005544,
3,,Spine,3,4,Image 1,1,1,100000002,610000005547,
3,,Spine,3,2,Image 1,2,1,100000002,610000005549,
5,,Spine,3,3,Image 1,1,1,100000000,610000005553,
3,,Spine,3,11,Image 1,6,1,100000001,610000005555,
3,,Spine,3,5,Image 1,1,1,100000000,610000005557,
2,,Spine,3,0,Image 1,1,1,100000003,610000005559,
4,,Spine,3,3,Image 1,2,1,100000000,610000005565,
4,,Spine,3,1,Image 1,2,1,100000004,610000005568,
3,,Spine,3,11,Image 1,6,1,100000001,610000005570,
3,,Spine,3,5,Image 1,4,1,100000004,610000005574,
4,,Spine,3,3,Image 1,3,1,100000002,610000005578,
