
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
9,,Segment,9,7,1,100000004,510000000053,
8,,Segment,8,6,1,100000004,510000000072,
7,,Segment,7,5,1,100000004,510000000074,
6,,Segment,6,5,1,100000004,510000000107,
5,,Segment,5,4,1,100000004,510000000126,
4,,Segment,4,3,1,100000004,510000000140,
3,,Segment,3,2,1,100000004,510000000148,
2,,Segment,2,2,1,100000004,510000000157,
1,,Segment,1,2,1,100000004,510000000166,
0,,Segment,0,1,1,100000004,510000000182,
9,,Segment,9,6,1,100000004,510000000206,
10,,Segment,10,7,1,100000004,510000000210,
9,,Segment,9,6,1,100000004,510000000213,
8,,Segment,8,6,1,100000004,510000000218,
7,,Segment,7,6,1,100000004,510000000233,
10,,Segment,10,6,1,100000004,510000000235,
9,,Segment,9,7,1,100000004,510000000241,
3,,Segment,3,2,1,100000000,510000000283,
2,,Segment,2,2,1,100000000,510000000353,
1,,Segment,1,1,1,100000000,510000000357,
0,,Segment,0,1,1,100000000,510000000374,
3,,Segment,3,3,1,100000000,510000000402,
7,,Segment,7,3,1,100000000,510000000493,
6,,Segment,6,2,1,100000000,510000000495,
5,,Segment,5,2,1,100000000,510000000506,
4,,Segment,4,2,1,100000000,510000000513,
3,,Segment,3,1,1,100000000,510000000520,
2,,Segment,2,1,1,100000000,510000000528,
16,,Segment,16,8,1,100000001,510000000537,
15,,Segment,15,8,1,100000001,510000000555,
14,,Segment,14,7,1,100000001,510000000570,
13,,Segment,13,7,1,100000001,510000000593,
12,,Segment,12,6,1,100000001,510000000595,
11,,Segment,11,5,1,100000001,510000000608,
10,,Segment,10,5,1,100000001,510000000620,
9,,Segment,9,5,1,100000001,510000000622,
8,,Segment,8,5,1,100000001,510000000626,
7,,Segment,7,4,1,100000001,510000000636,
6,,Segment,6,3,1,100000001,510000000639,
5,,Segment,5,3,1,100000001,510000000658,
4,,Segment,4,2,1,100000001,510000000669,
1,,Segment,1,1,1,100000001,510000000674,
0,,Segment,0,1,1,100000001,510000000690,
16,,Segment,16,9,1,100000001,510000000699,
15,,Segment,15,7,1,100000001,510000000703,
14,,Segment,14,8,1,100000001,510000000714,
14,,Segment,14,8,1,100000001,510000000721,
3,,Segment,3,4,1,100000002,510000000764,
2,,Segment,2,3,1,100000002,510000000772,
1,,Segment,1,2,1,100000002,510000000799,
0,,Segment,0,1,1,100000002,510000000808,
3,,Segment,3,3,1,100000002,510000000839,
2,,Segment,2,2,1,100000002,510000000857,
9,,Segment,9,3,1,100000000,510000000878,
8,,Segment,8,2,1,100000000,510000000887,
7,,Segment,7,1,1,100000000,510000000897,
6,,Segment,6,1,1,100000000,510000000907,
5,,Segment,5,1,1,100000000,510000000929,
4,,Segment,4,1,1,100000000,510000000934,
3,,Segment,3,1,1,100000000,510000000947,
2,,Segment,2,1,1,100000000,510000000959,
1,,Segment,1,1,1,100000000,510000000967,
0,,Segment,0,1,1,100000000,510000000995,
0,,Segment,0,1,1,100000002,510000001036,
6,,Segment,6,4,1,100000004,510000001065,
4,,Segment,4,2,1,100000004,510000001069,
2,,Segment,2,3,1,100000004,510000001085,
3,,Segment,3,3,1,100000004,510000001088,
3,,Segment,3,3,1,100000001,510000001105,
2,,Segment,2,3,1,100000001,510000001142,
1,,Segment,1,2,1,100000001,510000001164,
0,,Segment,0,1,1,100000001,510000001194,
3,,Segment,3,4,1,100000001,510000001200,
2,,Segment,2,2,1,100000001,510000001202,
1,,Segment,1,2,1,100000001,510000001210,
1,,Segment,1,2,1,100000001,510000001213,
1,,Segment,1,1,1,100000001,510000001216,
6,,Segment,6,2,1,100000000,510000001220,
5,,Segment,5,1,1,100000000,510000001222,
4,,Segment,4,1,1,100000000,510000001229,
3,,Segment,3,1,1,100000000,510000001253,
2,,Segment,2,1,1,100000000,510000001277,
1,,Segment,1,1,1,100000000,510000001308,
0,,Segment,0,1,1,100000000,510000001320,
6,,Segment,6,1,1,100000000,510000001335,
5,,Segment,5,2,1,100000000,510000001338,
4,,Segment,4,2,1,100000000,510000001341,
3,,Segment,3,2,1,100000000,510000001355,
1,,Segment,1,1,1,100000002,510000001360,
0,,Segment,0,1,1,100000002,510000001383,
2,,Segment,2,2,1,100000000,510000001388,
1,,Segment,1,1,1,100000004,510000001393,
8,,Segment,8,4,1,100000004,510000001405,
7,,Segment,7,4,1,100000004,510000001407,
5,,Segment,5,4,1,100000004,510000001462,
4,,Segment,4,3,1,100000004,510000001470,
3,,Segment,3,2,1,100000004,510000001511,
2,,Segment,2,2,1,100000004,510000001522,
1,,Segment,1,1,1,100000004,510000001539,
0,,Segment,0,1,1,100000004,510000001582,
6,,Segment,6,5,1,100000004,510000001598,
7,,Segment,7,5,1,100000004,510000001601,
5,,Segment,5,2,1,100000004,510000001639,
4,,Segment,4,2,1,100000004,510000001656,
14,,Segment,14,7,1,100000001,510000001659,
13,,Segment,13,6,1,100000001,510000001681,
12,,Segment,12,5,1,100000001,510000001688,
