
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
20409.1,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
20409.5,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
20409.5,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
20408.8,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
20408.8,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
20394.2,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
20394.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
20394.2,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
20394.1,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
20394.1,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
20423.8,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
20423.6,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
20423.6,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
20423.9,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
20423.8,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
20386.4,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
20386.4,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
20386.5,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
20386.3,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
20386.3,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000003,
20430.2,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000004,800000004,
20430.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000004,800000004,
20430.2,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000004,800000004,
20428.9,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000004,800000004,
20428.9,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000004,800000004,
