
Spine Max Diameter
 ==================== 
Spine Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.330678,µm,Spine,5,1,1,100000000,610000005413,
0.342953,µm,Spine,3,4,1,100000002,610000005436,
0.342953,µm,Spine,3,4,1,100000002,610000005458,
0.347086,µm,Spine,5,2,1,100000001,610000005461,
0.280999,µm,Spine,0,1,1,100000003,610000005464,
0.47434,µm,Spine,3,2,1,100000004,610000005467,
0.291433,µm,Spine,8,3,1,100000001,610000005471,
0.251942,µm,Spine,2,1,1,100000003,610000005474,
0.405514,µm,Spine,3,2,1,100000000,610000005477,
0.252427,µm,Spine,8,3,1,100000000,610000005479,
0.734328,µm,Spine,3,2,1,100000000,610000005487,
0.2141,µm,Spine,5,4,1,100000004,610000005489,
0.291433,µm,Spine,8,3,1,100000001,610000005493,
0.22027,µm,Spine,2,2,1,100000004,610000005497,
0.342953,µm,Spine,3,4,1,100000002,610000005505,
0.615234,µm,Spine,5,1,1,100000000,610000005510,
0.455505,µm,Spine,1,2,1,100000003,610000005512,
0.56865,µm,Spine,4,2,1,100000004,610000005515,
0.426304,µm,Spine,3,1,1,100000000,610000005520,
0.22027,µm,Spine,2,2,1,100000004,610000005523,
0.230763,µm,Spine,3,2,1,100000000,610000005525,
0.336834,µm,Spine,11,5,1,100000001,610000005527,
0.771853,µm,Spine,2,3,1,100000001,610000005532,
0.291433,µm,Spine,8,3,1,100000001,610000005534,
0.40625,µm,Spine,3,2,1,100000000,610000005538,
0.316273,µm,Spine,3,2,1,100000000,610000005541,
0.318585,µm,Spine,7,2,1,100000001,610000005544,
0.441708,µm,Spine,4,1,1,100000002,610000005547,
0.362394,µm,Spine,2,2,1,100000002,610000005549,
0.426304,µm,Spine,3,1,1,100000000,610000005553,
0.342959,µm,Spine,11,6,1,100000001,610000005555,
0.371575,µm,Spine,5,1,1,100000000,610000005557,
0.4875,µm,Spine,0,1,1,100000003,610000005559,
0.309689,µm,Spine,3,2,1,100000000,610000005565,
0.417368,µm,Spine,1,2,1,100000004,610000005568,
0.306461,µm,Spine,11,6,1,100000001,610000005570,
0.392093,µm,Spine,4,3,1,100000004,610000005574,
0.361157,µm,Spine,3,3,1,100000002,610000005578,
0.336707,µm,Spine,12,3,1,100000001,610000005581,
0.378434,µm,Spine,3,2,1,100000001,610000005584,
0.380985,µm,Spine,4,2,1,100000001,610000005587,
0.341779,µm,Spine,4,3,1,100000004,610000005592,
0.734328,µm,Spine,3,2,1,100000000,610000005594,
0.303007,µm,Spine,13,5,1,100000001,610000005596,
0.436448,µm,Spine,0,1,1,100000000,610000005599,
0.321358,µm,Spine,2,1,1,100000000,610000005601,
0.303334,µm,Spine,3,2,1,100000000,610000005604,
0.385691,µm,Spine,13,5,1,100000000,610000005607,
0.342953,µm,Spine,3,4,1,100000002,610000005609,
0.351566,µm,Spine,4,3,1,100000004,610000005611,
