
Spine Attachment Pt Distance from Origin
 ==================== 
Spine Attachment Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20540.1,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000000,610000005413,
20511.4,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000001,610000005461,
20514,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000003,610000005464,
20545.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000004,610000005467,
20512,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,100000003,610000005474,
20536.5,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000000,610000005477,
20539.9,µm,Spine,Spine Attachment Pt Distance from Origin,8,3,1,100000000,610000005479,
20544.3,µm,Spine,Spine Attachment Pt Distance from Origin,5,4,1,100000004,610000005489,
20529.2,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000000,610000005510,
20508.6,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,100000003,610000005512,
20555.3,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000004,610000005515,
20518.2,µm,Spine,Spine Attachment Pt Distance from Origin,11,5,1,100000001,610000005527,
20519.1,µm,Spine,Spine Attachment Pt Distance from Origin,7,2,1,100000001,610000005544,
20544.3,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000002,610000005549,
20531.4,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000000,610000005553,
20524.2,µm,Spine,Spine Attachment Pt Distance from Origin,11,6,1,100000001,610000005555,
20553.9,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,100000004,610000005568,
20516.1,µm,Spine,Spine Attachment Pt Distance from Origin,12,3,1,100000001,610000005581,
20514.9,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000001,610000005584,
20520.3,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000001,610000005587,
20522.2,µm,Spine,Spine Attachment Pt Distance from Origin,13,5,1,100000000,610000005607,
20537.5,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000000,610000005615,
20540.3,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,100000000,610000005627,
20520.8,µm,Spine,Spine Attachment Pt Distance from Origin,8,2,1,100000001,610000005631,
20517.9,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000001,610000005636,
20548.3,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000002,610000005639,
20517.8,µm,Spine,Spine Attachment Pt Distance from Origin,11,5,1,100000001,610000005643,
20538.5,µm,Spine,Spine Attachment Pt Distance from Origin,6,1,1,100000000,610000005655,
20544.3,µm,Spine,Spine Attachment Pt Distance from Origin,3,4,1,100000002,610000005661,
20531,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000000,610000005664,
20520.8,µm,Spine,Spine Attachment Pt Distance from Origin,6,2,1,100000001,610000005668,
20545.4,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000002,610000005683,
20521,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000001,610000005698,
20540.5,µm,Spine,Spine Attachment Pt Distance from Origin,7,3,1,100000000,610000005702,
20521.1,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,100000001,610000005714,
20515.8,µm,Spine,Spine Attachment Pt Distance from Origin,2,3,1,100000001,610000005730,
20538.4,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,,610000006048,
20510.4,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,,610000006048,
20519.9,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,,610000006048,
