
Soma Ellipsoid Axis A Y
 ==================== 
Soma Ellipsoid Axis A Y,Unit,Category,Collection,Time,FilamentID,ID,
0.315514,µm,Soma,Soma Ellipsoid Axis A,1,100000000,800000000,
0.740777,µm,Soma,Soma Ellipsoid Axis A,1,100000001,800000001,
0.859628,µm,Soma,Soma Ellipsoid Axis A,1,100000002,800000002,
-0.611724,µm,Soma,Soma Ellipsoid Axis A,1,100000003,800000003,
-0.779154,µm,Soma,Soma Ellipsoid Axis A,1,100000004,800000004,
