
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
42,,Segment,5,14,Image 1,7,1,100000001,510000001659,
239,,Segment,5,13,Image 1,6,1,100000001,510000001681,
138,,Segment,5,12,Image 1,5,1,100000001,510000001688,
611,,Segment,5,11,Image 1,5,1,100000001,510000001720,
309,,Segment,5,10,Image 1,4,1,100000001,510000001732,
341,,Segment,5,9,Image 1,3,1,100000001,510000001742,
151,,Segment,5,8,Image 1,3,1,100000001,510000001746,
250,,Segment,5,7,Image 1,3,1,100000001,510000001758,
839,,Segment,5,6,Image 1,2,1,100000001,510000001789,
493,,Segment,5,5,Image 1,2,1,100000001,510000001804,
53,,Segment,5,14,Image 1,6,1,100000001,510000001807,
37,,Segment,5,6,Image 1,4,1,100000004,510000001809,
81,,Segment,5,5,Image 1,3,1,100000004,510000001811,
100,,Segment,5,8,Image 1,4,1,100000001,510000001823,
183,,Segment,5,7,Image 1,3,1,100000001,510000001832,
99,,Segment,5,6,Image 1,3,1,100000001,510000001837,
515,,Segment,5,5,Image 1,2,1,100000001,510000001872,
95,,Segment,5,4,Image 1,2,1,100000001,510000001875,
1151,,Segment,5,3,Image 1,2,1,100000001,510000001930,
295,,Segment,5,2,Image 1,1,1,100000001,510000001939,
414,,Segment,5,1,Image 1,1,1,100000001,510000001941,
1152,,Segment,5,0,Image 1,1,1,100000001,510000001967,
286,,Segment,5,13,Image 1,5,1,100000001,510000002013,
284,,Segment,5,5,Image 1,2,1,100000002,510000002030,
541,,Segment,5,4,Image 1,1,1,100000002,510000002047,
809,,Segment,5,3,Image 1,1,1,100000002,510000002072,
396,,Segment,5,2,Image 1,1,1,100000002,510000002090,
221,,Segment,5,1,Image 1,1,1,100000002,510000002095,
903,,Segment,5,0,Image 1,1,1,100000002,510000002172,
65,,Segment,5,8,Image 1,3,1,100000001,510000002174,
256,,Segment,5,5,Image 1,3,1,100000004,510000002190,
162,,Segment,5,6,Image 1,2,1,100000001,510000002199,
130,,Segment,5,12,Image 1,6,1,100000001,510000002206,
188,,Segment,5,4,Image 1,2,1,100000002,510000002216,
235,,Segment,5,4,Image 1,2,1,100000002,510000002230,
268,,Segment,5,3,Image 1,2,1,100000002,510000002239,
43,,Segment,5,5,Image 1,3,1,100000002,510000002242,
72,,Segment,5,4,Image 1,3,1,100000002,510000002244,
401,,Segment,5,14,Image 1,6,1,100000000,510000002271,
147,,Segment,5,13,Image 1,6,1,100000000,510000002278,
298,,Segment,5,12,Image 1,5,1,100000000,510000002288,
210,,Segment,5,11,Image 1,5,1,100000000,510000002296,
255,,Segment,5,10,Image 1,4,1,100000000,510000002310,
305,,Segment,5,9,Image 1,4,1,100000000,510000002326,
366,,Segment,5,8,Image 1,3,1,100000000,510000002336,
285,,Segment,5,6,Image 1,2,1,100000000,510000002341,
843,,Segment,5,11,Image 1,6,1,100000001,510000002383,
480,,Segment,5,10,Image 1,6,1,100000001,510000002410,
682,,Segment,5,8,Image 1,2,1,100000001,510000002452,
629,,Segment,5,7,Image 1,2,1,100000001,510000002485,
206,,Segment,5,13,Image 1,4,1,100000001,510000002495,
195,,Segment,5,12,Image 1,3,1,100000001,510000002503,
281,,Segment,5,11,Image 1,3,1,100000001,510000002513,
202,,Segment,5,10,Image 1,3,1,100000001,510000002515,
295,,Segment,5,11,Image 1,3,1,100000000,510000002530,
