
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1464.1,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1464.5,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1464.5,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1463.79,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1463.72,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1465.07,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1465.12,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1465.13,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1464.44,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1464.44,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1465.95,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1466.09,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1466.08,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1465.9,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1465.88,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1463.96,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1463.46,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1463.47,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1464.01,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1464.02,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000003,
1465.86,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000004,800000004,
1465.97,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000004,800000004,
1465.97,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000004,800000004,
1466.45,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000004,800000004,
1466.45,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000004,800000004,
