
Spine Terminal Pt Distance
 ==================== 
Spine Terminal Pt Distance,Unit,Category,Depth,Level,Time,FilamentID,ID,
63.2526,µm,Spine,19,8,1,100000000,610000001575,
63.1928,µm,Spine,19,8,1,100000000,610000001580,
13.3862,µm,Spine,4,3,1,100000000,610000001582,
11.7103,µm,Spine,3,2,1,100000000,610000001587,
3.4564,µm,Spine,0,1,1,100000000,610000001592,
7.48816,µm,Spine,2,2,1,100000001,610000001594,
7.28722,µm,Spine,1,2,1,100000000,610000001596,
12.9802,µm,Spine,4,1,1,100000002,610000001603,
17.8471,µm,Spine,5,3,1,100000000,610000001606,
4.38967,µm,Spine,0,1,1,100000000,610000001615,
5.27669,µm,Spine,0,1,1,100000000,610000001617,
2.13129,µm,Spine,0,1,1,100000001,610000001624,
9.90742,µm,Spine,3,3,1,100000001,610000001652,
3.18635,µm,Spine,0,1,1,100000000,610000001660,
47.7819,µm,Spine,16,8,1,100000000,610000001669,
11.0632,µm,Spine,3,1,1,100000002,610000001672,
10.0422,µm,Spine,3,1,1,100000002,610000001687,
8.71649,µm,Spine,3,1,1,100000000,610000001704,
3.72065,µm,Spine,1,1,1,100000002,610000001720,
1.62103,µm,Spine,0,1,1,100000000,610000001735,
19.0171,µm,Spine,4,3,1,100000000,610000001768,
20.4123,µm,Spine,9,3,1,100000000,610000001771,
9.30846,µm,Spine,3,2,1,100000000,610000001772,
6.95134,µm,Spine,1,2,1,100000000,610000001773,
2.15115,µm,Spine,0,1,1,100000000,610000001777,
1.69099,µm,Spine,0,1,1,100000000,610000001778,
1.41052,µm,Spine,0,1,1,100000000,610000001779,
0.903165,µm,Spine,0,1,1,100000000,610000001780,
50.7427,µm,Spine,16,9,1,100000000,610000001790,
61.7806,µm,Spine,19,8,1,100000000,610000001791,
61.2176,µm,Spine,19,8,1,100000000,610000001792,
59.562,µm,Spine,19,9,1,100000000,610000001793,
45.5453,µm,Spine,16,7,1,100000000,610000001794,
42.8797,µm,Spine,15,7,1,100000000,610000001795,
40.4295,µm,Spine,14,7,1,100000000,610000001796,
39.5644,µm,Spine,14,7,1,100000000,610000001797,
10.5011,µm,Spine,3,3,1,100000000,610000001798,
12.7567,µm,Spine,2,3,1,100000000,610000001799,
4.2868,µm,Spine,0,1,1,100000000,610000001800,
3.33193,µm,Spine,0,1,1,100000000,610000001801,
2.66134,µm,Spine,0,1,1,100000000,610000001802,
16.5956,µm,Spine,6,2,1,100000001,610000001804,
14.6835,µm,Spine,6,3,1,100000001,610000001805,
4.9967,µm,Spine,1,1,1,100000001,610000001806,
2.02857,µm,Spine,0,1,1,100000001,610000001808,
13.2402,µm,Spine,4,1,1,100000002,610000001809,
10.1993,µm,Spine,3,1,1,100000002,610000001810,
9.59514,µm,Spine,3,1,1,100000002,610000001811,
9.48535,µm,Spine,3,1,1,100000002,610000001812,
6.21725,µm,Spine,3,2,1,100000002,610000001813,
11.6746,µm,Spine,4,1,1,100000002,610000001814,
