
Spine Part Length Head
 ==================== 
Spine Part Length Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.919937,µm,Spine,Spine Part Length,19,8,1,100000000,610000001575,
1.02506,µm,Spine,Spine Part Length,19,8,1,100000000,610000001580,
0.322736,µm,Spine,Spine Part Length,4,3,1,100000000,610000001582,
0.238381,µm,Spine,Spine Part Length,1,1,1,100000002,610000001584,
0.3125,µm,Spine,Spine Part Length,3,2,1,100000000,610000001587,
0.848613,µm,Spine,Spine Part Length,0,1,1,100000000,610000001592,
0.208333,µm,Spine,Spine Part Length,2,2,1,100000001,610000001594,
0.34421,µm,Spine,Spine Part Length,1,2,1,100000000,610000001596,
0.211049,µm,Spine,Spine Part Length,16,9,1,100000000,610000001600,
0.416667,µm,Spine,Spine Part Length,4,1,1,100000002,610000001603,
0.448848,µm,Spine,Spine Part Length,5,3,1,100000000,610000001606,
0.505703,µm,Spine,Spine Part Length,16,9,1,100000000,610000001612,
0.401808,µm,Spine,Spine Part Length,0,1,1,100000000,610000001615,
0.333408,µm,Spine,Spine Part Length,0,1,1,100000000,610000001617,
0.251923,µm,Spine,Spine Part Length,16,9,1,100000000,610000001621,
0.236065,µm,Spine,Spine Part Length,0,1,1,100000001,610000001624,
0.208333,µm,Spine,Spine Part Length,16,9,1,100000000,610000001628,
0.278245,µm,Spine,Spine Part Length,16,9,1,100000000,610000001631,
0.208396,µm,Spine,Spine Part Length,16,9,1,100000000,610000001635,
0.210015,µm,Spine,Spine Part Length,16,9,1,100000000,610000001639,
0.211049,µm,Spine,Spine Part Length,16,9,1,100000000,610000001642,
0.304423,µm,Spine,Spine Part Length,16,9,1,100000000,610000001646,
1.58746,µm,Spine,Spine Part Length,16,9,1,100000000,610000001650,
0.441887,µm,Spine,Spine Part Length,3,3,1,100000001,610000001652,
0.234375,µm,Spine,Spine Part Length,16,9,1,100000000,610000001654,
0.323587,µm,Spine,Spine Part Length,16,9,1,100000000,610000001657,
0.211357,µm,Spine,Spine Part Length,0,1,1,100000000,610000001660,
0.208333,µm,Spine,Spine Part Length,1,1,1,100000002,610000001662,
0.436198,µm,Spine,Spine Part Length,16,9,1,100000000,610000001664,
0.251923,µm,Spine,Spine Part Length,16,9,1,100000000,610000001667,
0.462672,µm,Spine,Spine Part Length,16,8,1,100000000,610000001669,
0.347384,µm,Spine,Spine Part Length,3,1,1,100000002,610000001672,
0.364583,µm,Spine,Spine Part Length,16,9,1,100000000,610000001675,
0.208333,µm,Spine,Spine Part Length,16,9,1,100000000,610000001678,
0.444398,µm,Spine,Spine Part Length,16,9,1,100000000,610000001681,
0.364583,µm,Spine,Spine Part Length,16,9,1,100000000,610000001683,
0.271304,µm,Spine,Spine Part Length,3,1,1,100000002,610000001687,
0.291128,µm,Spine,Spine Part Length,16,9,1,100000000,610000001690,
1.20355,µm,Spine,Spine Part Length,16,9,1,100000000,610000001693,
0.208333,µm,Spine,Spine Part Length,16,9,1,100000000,610000001695,
0.700692,µm,Spine,Spine Part Length,16,9,1,100000000,610000001698,
1.14315,µm,Spine,Spine Part Length,16,9,1,100000000,610000001702,
0.345255,µm,Spine,Spine Part Length,3,1,1,100000000,610000001704,
0.209554,µm,Spine,Spine Part Length,16,9,1,100000000,610000001707,
0.415955,µm,Spine,Spine Part Length,16,9,1,100000000,610000001709,
0.208333,µm,Spine,Spine Part Length,16,9,1,100000000,610000001711,
0.208333,µm,Spine,Spine Part Length,16,9,1,100000000,610000001715,
0.208333,µm,Spine,Spine Part Length,16,9,1,100000000,610000001718,
0.283444,µm,Spine,Spine Part Length,1,1,1,100000002,610000001720,
0.613758,µm,Spine,Spine Part Length,16,9,1,100000000,610000001725,
1.38701,µm,Spine,Spine Part Length,16,9,1,100000000,610000001728,
0.495684,µm,Spine,Spine Part Length,0,1,1,100000000,610000001735,
0.208333,µm,Spine,Spine Part Length,16,9,1,100000000,610000001740,
0.639648,µm,Spine,Spine Part Length,16,9,1,100000000,610000001744,
0.209554,µm,Spine,Spine Part Length,16,9,1,100000000,610000001746,
0.279039,µm,Spine,Spine Part Length,16,9,1,100000000,610000001753,
0.374349,µm,Spine,Spine Part Length,4,3,1,100000000,610000001768,
0.311632,µm,Spine,Spine Part Length,9,3,1,100000000,610000001771,
0.245028,µm,Spine,Spine Part Length,3,2,1,100000000,610000001772,
0.407052,µm,Spine,Spine Part Length,1,2,1,100000000,610000001773,
0.3125,µm,Spine,Spine Part Length,0,1,1,100000000,610000001777,
0.449829,µm,Spine,Spine Part Length,0,1,1,100000000,610000001778,
0.239008,µm,Spine,Spine Part Length,0,1,1,100000000,610000001779,
0.634054,µm,Spine,Spine Part Length,0,1,1,100000000,610000001780,
0.305507,µm,Spine,Spine Part Length,16,9,1,100000000,610000001790,
0.833333,µm,Spine,Spine Part Length,19,8,1,100000000,610000001791,
0.75771,µm,Spine,Spine Part Length,19,8,1,100000000,610000001792,
0.416667,µm,Spine,Spine Part Length,19,9,1,100000000,610000001793,
0.450362,µm,Spine,Spine Part Length,16,7,1,100000000,610000001794,
0.385786,µm,Spine,Spine Part Length,15,7,1,100000000,610000001795,
0.377479,µm,Spine,Spine Part Length,14,7,1,100000000,610000001796,
0.476361,µm,Spine,Spine Part Length,14,7,1,100000000,610000001797,
0.253906,µm,Spine,Spine Part Length,3,3,1,100000000,610000001798,
0.3125,µm,Spine,Spine Part Length,2,3,1,100000000,610000001799,
0.520833,µm,Spine,Spine Part Length,0,1,1,100000000,610000001800,
0.3125,µm,Spine,Spine Part Length,0,1,1,100000000,610000001801,
0.377853,µm,Spine,Spine Part Length,0,1,1,100000000,610000001802,
0.208333,µm,Spine,Spine Part Length,6,2,1,100000001,610000001804,
0.449182,µm,Spine,Spine Part Length,6,3,1,100000001,610000001805,
0.374652,µm,Spine,Spine Part Length,1,1,1,100000001,610000001806,
0.208333,µm,Spine,Spine Part Length,0,1,1,100000001,610000001808,
0.416667,µm,Spine,Spine Part Length,4,1,1,100000002,610000001809,
0.413994,µm,Spine,Spine Part Length,3,1,1,100000002,610000001810,
0.509516,µm,Spine,Spine Part Length,3,1,1,100000002,610000001811,
0.51092,µm,Spine,Spine Part Length,3,1,1,100000002,610000001812,
0.3368,µm,Spine,Spine Part Length,3,2,1,100000002,610000001813,
0.208333,µm,Spine,Spine Part Length,4,1,1,100000002,610000001814,
