
Spine Part Min Diameter Neck
 ==================== 
Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.695884,µm,Spine,Spine Part Min Diameter,19,8,1,100000000,610000001575,
0.572836,µm,Spine,Spine Part Min Diameter,19,8,1,100000000,610000001580,
0,µm,Spine,Spine Part Min Diameter,4,3,1,100000000,610000001582,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001584,
1.41623,µm,Spine,Spine Part Min Diameter,3,2,1,100000000,610000001587,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000001592,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000001,610000001594,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001596,
0.469315,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001600,
1.1075,µm,Spine,Spine Part Min Diameter,4,1,1,100000002,610000001603,
1.30182,µm,Spine,Spine Part Min Diameter,5,3,1,100000000,610000001606,
0.416667,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001612,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000001615,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000001617,
0.633545,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001621,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001624,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001628,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001631,
0.422363,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001635,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001639,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001642,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001646,
0.551066,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001650,
0,µm,Spine,Spine Part Min Diameter,3,3,1,100000001,610000001652,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001654,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001657,
0.440856,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000001660,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000001662,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001664,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001667,
0,µm,Spine,Spine Part Min Diameter,16,8,1,100000000,610000001669,
0,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000001672,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001675,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001678,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001681,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001683,
0.707392,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000001687,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001690,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001693,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001695,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001698,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001702,
0,µm,Spine,Spine Part Min Diameter,3,1,1,100000000,610000001704,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001707,
0,µm,Spine,Spine Part Min Diameter,16,9,1,100000000,610000001709,
