
Soma Intensity Sum Ch=1 Img=1
 ==================== 
Soma Intensity Sum,Unit,Category,Channel,Image,Time,FilamentID,ID,
1.2923e+06,,Soma,1,Image 1,1,100000000,800000000,
168635,,Soma,1,Image 1,1,100000001,800000001,
26232,,Soma,1,Image 1,1,100000002,800000002,
