
Spine Terminal Pt Position Z
 ==================== 
Spine Terminal Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1376.15,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000002814,
1376.35,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000002819,
1375.85,µm,Spine,Spine Terminal Pt Position,1,1,1,100000002,610000002823,
1376.82,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000002831,
1376.35,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000002834,
1372.55,µm,Spine,Spine Terminal Pt Position,5,3,1,100000002,610000002841,
1372.65,µm,Spine,Spine Terminal Pt Position,5,3,1,100000002,610000002846,
1372.95,µm,Spine,Spine Terminal Pt Position,3,2,1,100000002,610000002849,
1373.85,µm,Spine,Spine Terminal Pt Position,3,3,1,100000002,610000002851,
1374.51,µm,Spine,Spine Terminal Pt Position,4,1,1,100000000,610000002853,
1376.15,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000002856,
1373.55,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000002859,
1375.65,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002862,
1375.05,µm,Spine,Spine Terminal Pt Position,0,1,1,100000002,610000002864,
1376.13,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000002866,
1376.15,µm,Spine,Spine Terminal Pt Position,,,1,,610000002868,
1373.15,µm,Spine,Spine Terminal Pt Position,2,3,1,100000000,610000002873,
1375.55,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002877,
1376.35,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002880,
1375.85,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000002893,
1376.15,µm,Spine,Spine Terminal Pt Position,,,1,,610000002895,
1375.75,µm,Spine,Spine Terminal Pt Position,,,1,,610000002898,
1376.25,µm,Spine,Spine Terminal Pt Position,,,1,,610000002901,
1376.45,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000002904,
1375.75,µm,Spine,Spine Terminal Pt Position,,,1,,610000002906,
1376.25,µm,Spine,Spine Terminal Pt Position,,,1,,610000002909,
