
Segment Intensity Mean Ch=2 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
28.75,,Segment,2,5,Image 1,4,1,100000002,510000001878,
24.3146,,Segment,2,4,Image 1,3,1,100000001,510000001882,
29.2837,,Segment,2,3,Image 1,2,1,100000001,510000001898,
48.5429,,Segment,2,2,Image 1,1,1,100000001,510000001912,
75.5655,,Segment,2,1,Image 1,1,1,100000001,510000001958,
79.3743,,Segment,2,0,Image 1,1,1,100000001,510000001971,
24.0826,,Segment,2,5,Image 1,2,1,100000001,510000001975,
41.4048,,Segment,2,5,Image 1,3,1,100000001,510000001978,
33.7857,,Segment,2,2,Image 1,3,1,100000001,510000002000,
54.3884,,Segment,2,4,Image 1,3,1,100000001,510000002028,
91.1979,,Segment,2,3,Image 1,2,1,100000001,510000002030,
81.5241,,Segment,2,2,Image 1,2,1,100000001,510000002034,
62.6278,,Segment,2,1,Image 1,2,1,100000001,510000002056,
45.9596,,Segment,2,4,Image 1,2,1,100000001,510000002067,
54.1632,,Segment,2,3,Image 1,1,1,100000001,510000002093,
62.7373,,Segment,2,4,Image 1,1,1,100000001,510000002103,
35.9767,,Segment,2,4,Image 1,3,1,100000002,510000002133,
54.4819,,Segment,2,1,Image 1,2,1,100000001,510000002147,
88.4873,,Segment,2,0,Image 1,1,1,100000001,510000002198,
49.0102,,Segment,2,4,Image 1,2,1,100000001,510000002214,
40.5926,,Segment,2,4,Image 1,4,1,100000002,510000002217,
50.5057,,Segment,2,3,Image 1,2,1,100000000,510000002223,
48.7994,,Segment,2,2,Image 1,2,1,100000000,510000002247,
62.5608,,Segment,2,1,Image 1,2,1,100000000,510000002266,
95.3819,,Segment,2,0,Image 1,1,1,100000000,510000002301,
32.8571,,Segment,2,3,Image 1,3,1,100000000,510000002309,
51.5113,,Segment,2,2,Image 1,2,1,100000000,510000002344,
49.6466,,Segment,2,3,Image 1,3,1,100000001,510000002350,
58.618,,Segment,2,5,Image 1,2,1,100000002,510000002362,
70.1279,,Segment,2,4,Image 1,2,1,100000002,510000002366,
77.9398,,Segment,2,3,Image 1,2,1,100000002,510000002369,
61.0485,,Segment,2,2,Image 1,2,1,100000002,510000002373,
41.0435,,Segment,2,2,Image 1,3,1,100000000,510000002387,
56.3879,,Segment,2,5,Image 1,3,1,100000002,510000002393,
37.6238,,Segment,2,2,Image 1,2,1,100000001,510000002400,
100.049,,Segment,2,2,Image 1,2,1,100000001,510000002418,
83.3429,,Segment,2,4,Image 1,2,1,100000001,510000002424,
64.2405,,Segment,2,4,Image 1,3,1,100000002,510000002432,
57.9023,,Segment,2,2,Image 1,3,1,100000001,510000002435,
44.0482,,Segment,2,5,Image 1,2,1,100000002,510000002446,
44.2111,,Segment,2,3,Image 1,4,1,100000002,510000002448,
51.3085,,Segment,2,3,Image 1,3,1,100000002,510000002450,
106.655,,Segment,2,2,Image 1,1,1,100000001,510000002455,
29.8782,,Segment,2,3,Image 1,1,1,100000002,510000002458,
70.7178,,Segment,2,1,Image 1,2,1,100000002,510000002462,
73.7981,,Segment,2,0,Image 1,1,1,100000002,510000002472,
72.5031,,Segment,2,1,Image 1,1,1,100000002,510000002478,
58.4393,,Segment,2,0,Image 1,1,1,100000002,510000002489,
60.3636,,Segment,2,0,Image 1,1,1,100000002,510000002492,
65.1791,,Segment,2,0,Image 1,1,1,100000001,510000002527,
56.4418,,Segment,2,0,Image 1,1,1,100000000,510000002558,
61.1574,,Segment,2,0,Image 1,1,1,100000000,510000002595,
46.5955,,Segment,2,1,Image 1,2,1,100000000,510000002597,
44.3563,,Segment,2,2,Image 1,3,1,100000000,510000002598,
81.5089,,Segment,2,1,Image 1,1,1,100000000,510000002599,
78.813,,Segment,2,2,Image 1,1,1,100000001,510000002600,
40.6083,,Segment,2,1,Image 1,1,1,100000001,510000002601,
26.1786,,Segment,2,4,Image 1,2,1,100000001,510000002602,
103.743,,Segment,2,1,Image 1,1,1,100000001,510000002603,
21.8926,,Segment,2,4,Image 1,2,1,100000002,510000002605,
63.6102,,Segment,2,3,Image 1,2,1,100000002,510000002610,
