
Segment Center Intensity Min Ch=2 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
17,,Segment,2,4,Image 1,3,1,100000001,510000002028,
105,,Segment,2,3,Image 1,2,1,100000001,510000002030,
111,,Segment,2,2,Image 1,2,1,100000001,510000002034,
19,,Segment,2,1,Image 1,2,1,100000001,510000002056,
13,,Segment,2,4,Image 1,2,1,100000001,510000002067,
26,,Segment,2,3,Image 1,1,1,100000001,510000002093,
53,,Segment,2,4,Image 1,1,1,100000001,510000002103,
7,,Segment,2,4,Image 1,3,1,100000002,510000002133,
11,,Segment,2,1,Image 1,2,1,100000001,510000002147,
53,,Segment,2,0,Image 1,1,1,100000001,510000002198,
53,,Segment,2,4,Image 1,2,1,100000001,510000002214,
21,,Segment,2,4,Image 1,4,1,100000002,510000002217,
11,,Segment,2,3,Image 1,2,1,100000000,510000002223,
21,,Segment,2,2,Image 1,2,1,100000000,510000002247,
24,,Segment,2,1,Image 1,2,1,100000000,510000002266,
45,,Segment,2,0,Image 1,1,1,100000000,510000002301,
22,,Segment,2,3,Image 1,3,1,100000000,510000002309,
11,,Segment,2,2,Image 1,2,1,100000000,510000002344,
20,,Segment,2,3,Image 1,3,1,100000001,510000002350,
35,,Segment,2,5,Image 1,2,1,100000002,510000002362,
51,,Segment,2,4,Image 1,2,1,100000002,510000002366,
97,,Segment,2,3,Image 1,2,1,100000002,510000002369,
36,,Segment,2,2,Image 1,2,1,100000002,510000002373,
11,,Segment,2,2,Image 1,3,1,100000000,510000002387,
41,,Segment,2,5,Image 1,3,1,100000002,510000002393,
12,,Segment,2,2,Image 1,2,1,100000001,510000002400,
30,,Segment,2,2,Image 1,2,1,100000001,510000002418,
65,,Segment,2,4,Image 1,2,1,100000001,510000002424,
24,,Segment,2,4,Image 1,3,1,100000002,510000002432,
32,,Segment,2,2,Image 1,3,1,100000001,510000002435,
27,,Segment,2,5,Image 1,2,1,100000002,510000002446,
14,,Segment,2,3,Image 1,4,1,100000002,510000002448,
20,,Segment,2,3,Image 1,3,1,100000002,510000002450,
129,,Segment,2,2,Image 1,1,1,100000001,510000002455,
10,,Segment,2,3,Image 1,1,1,100000002,510000002458,
36,,Segment,2,1,Image 1,2,1,100000002,510000002462,
23,,Segment,2,0,Image 1,1,1,100000002,510000002472,
105,,Segment,2,1,Image 1,1,1,100000002,510000002478,
53,,Segment,2,0,Image 1,1,1,100000002,510000002489,
42,,Segment,2,0,Image 1,1,1,100000002,510000002492,
30,,Segment,2,0,Image 1,1,1,100000001,510000002527,
44,,Segment,2,0,Image 1,1,1,100000000,510000002558,
35,,Segment,2,0,Image 1,1,1,100000000,510000002595,
33,,Segment,2,1,Image 1,2,1,100000000,510000002597,
33,,Segment,2,2,Image 1,3,1,100000000,510000002598,
101,,Segment,2,1,Image 1,1,1,100000000,510000002599,
71,,Segment,2,2,Image 1,1,1,100000001,510000002600,
36,,Segment,2,1,Image 1,1,1,100000001,510000002601,
33,,Segment,2,4,Image 1,2,1,100000001,510000002602,
137,,Segment,2,1,Image 1,1,1,100000001,510000002603,
24,,Segment,2,4,Image 1,2,1,100000002,510000002605,
68,,Segment,2,3,Image 1,2,1,100000002,510000002610,
