
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.425393,0.427404,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000003065,
0.184215,0.324674,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002887,
0.452452,0.547571,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002896,
0.162337,0.385383,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002899,
0.263962,0.459434,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002907,
0.162337,0.332333,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002919,
0.263798,0.263798,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002921,
0.162337,0.162337,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002924,
0.162337,0.168724,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002934,
0.279057,0.459434,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002952,
0.589455,0.589455,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002960,
0.258216,0.258216,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000003071,
0.239384,0.239384,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000003072,
0.249238,0.249238,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003077,
0.225093,0.225093,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003088,
0.278391,0.192775,0,µm,Spine,Spine Part Min Diameter,2,1,1,100000001,610000002856,
0.285553,0.285553,0,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000003043,
0.246312,0.332814,0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000002859,
0.231915,0.231915,0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000003048,
0.289163,0.289163,0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000003050,
0.257937,0.263331,0,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000003087,
0.243506,0.260165,0.303957,µm,Spine,Spine Part Min Diameter,2,3,1,100000001,610000002834,
0.310092,0.168529,0,µm,Spine,Spine Part Min Diameter,2,3,1,100000000,610000002873,
0.310092,0.281966,0.487012,µm,Spine,Spine Part Min Diameter,2,3,1,100000000,610000002940,
0.310092,0.409453,0.390575,µm,Spine,Spine Part Min Diameter,2,3,1,100000000,610000002955,
0.310092,0.376673,0,µm,Spine,Spine Part Min Diameter,2,3,1,100000000,610000003051,
0.372557,0.372557,0,µm,Spine,Spine Part Min Diameter,3,1,1,100000001,610000003058,
0.243506,0.162337,0.261061,µm,Spine,Spine Part Min Diameter,3,2,1,100000002,610000002849,
0.23542,0.23542,0,µm,Spine,Spine Part Min Diameter,3,2,1,100000000,610000003046,
0.203848,0.16741,0,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000002851,
0.209545,0.209545,0,µm,Spine,Spine Part Min Diameter,3,3,1,100000001,610000003060,
0.245511,0.254276,0,µm,Spine,Spine Part Min Diameter,3,3,1,100000001,610000003066,
0.162337,0.162337,0,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000003074,
0.209263,0.209263,0,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000003084,
0.251927,0.263648,0.210754,µm,Spine,Spine Part Min Diameter,4,1,1,100000001,610000002814,
0.251927,0.233078,0.210754,µm,Spine,Spine Part Min Diameter,4,1,1,100000001,610000002819,
0.34144,0.182315,0,µm,Spine,Spine Part Min Diameter,4,1,1,100000000,610000002853,
0.162337,0.162337,0,µm,Spine,Spine Part Min Diameter,4,1,1,100000000,610000003042,
0.292865,0.292865,0,µm,Spine,Spine Part Min Diameter,4,2,1,100000001,610000003056,
0.291563,0.291563,0,µm,Spine,Spine Part Min Diameter,4,2,1,100000001,610000003057,
0.305282,0.182,0,µm,Spine,Spine Part Min Diameter,4,3,1,100000002,610000002976,
0.313187,0.249845,0,µm,Spine,Spine Part Min Diameter,4,3,1,100000002,610000003012,
0.243506,0.243506,0,µm,Spine,Spine Part Min Diameter,4,3,1,100000001,610000003059,
0.19874,0.19874,0,µm,Spine,Spine Part Min Diameter,4,3,1,100000002,610000003075,
0.252125,0.252125,0,µm,Spine,Spine Part Min Diameter,4,3,1,100000002,610000003076,
0.273556,0.196122,0,µm,Spine,Spine Part Min Diameter,5,2,1,100000001,610000002866,
0.162337,0.162337,0,µm,Spine,Spine Part Min Diameter,5,2,1,100000002,610000003082,
0.1987,0.162337,0.162337,µm,Spine,Spine Part Min Diameter,5,3,1,100000002,610000002841,
0.1987,0.177556,0.162337,µm,Spine,Spine Part Min Diameter,5,3,1,100000002,610000002846,
0.255478,0.1987,0,µm,Spine,Spine Part Min Diameter,5,3,1,100000002,610000002964,
0.192775,0.192775,0,µm,Spine,Spine Part Min Diameter,5,4,1,100000002,610000003083,
