
Filament Volume (sum)
 ==================== 
Filament Volume (sum),Unit,Category,Time,ID,
7.01822,µm^3,Filament,1,100000000,
9.88233,µm^3,Filament,1,100000001,
7.04985,µm^3,Filament,1,100000002,
