
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.00173277,,Surface,5,Image 1,1,0,
0.0408355,,Surface,5,Image 1,1,1,
0.0313657,,Surface,5,Image 1,1,2,
