
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
16.6252,°,Segment,1,2,1,100000000,510000002266,
0,°,Segment,0,1,1,100000000,510000002301,
43.2404,°,Segment,3,3,1,100000000,510000002309,
10.4241,°,Segment,2,2,1,100000000,510000002344,
54.4703,°,Segment,3,3,1,100000001,510000002350,
17.7022,°,Segment,5,2,1,100000002,510000002362,
9.43667,°,Segment,4,2,1,100000002,510000002366,
11.1091,°,Segment,3,2,1,100000002,510000002369,
75.7562,°,Segment,2,2,1,100000002,510000002373,
54.9049,°,Segment,2,3,1,100000000,510000002387,
64.4533,°,Segment,5,3,1,100000002,510000002393,
87.0255,°,Segment,2,2,1,100000001,510000002400,
32.8922,°,Segment,2,2,1,100000001,510000002418,
80.2067,°,Segment,4,2,1,100000001,510000002424,
64.5416,°,Segment,4,3,1,100000002,510000002432,
72.1503,°,Segment,2,3,1,100000001,510000002435,
43.1756,°,Segment,5,2,1,100000002,510000002446,
85.6851,°,Segment,3,4,1,100000002,510000002448,
93.2881,°,Segment,3,3,1,100000002,510000002450,
25.5521,°,Segment,2,1,1,100000001,510000002455,
80.1431,°,Segment,3,1,1,100000002,510000002458,
24.2089,°,Segment,1,2,1,100000002,510000002462,
0,°,Segment,0,1,1,100000002,510000002472,
56.7393,°,Segment,1,1,1,100000002,510000002478,
0,°,Segment,0,1,1,100000002,510000002489,
0,°,Segment,0,1,1,100000002,510000002492,
0,°,Segment,0,1,1,100000001,510000002527,
0,°,Segment,0,1,1,100000000,510000002558,
0,°,Segment,0,1,1,100000000,510000002595,
57.0138,°,Segment,1,2,1,100000000,510000002597,
71.727,°,Segment,2,3,1,100000000,510000002598,
64.6389,°,Segment,1,1,1,100000000,510000002599,
12.3466,°,Segment,2,1,1,100000001,510000002600,
59.7461,°,Segment,1,1,1,100000001,510000002601,
62.1918,°,Segment,4,2,1,100000001,510000002602,
90.2748,°,Segment,1,1,1,100000001,510000002603,
90.5092,°,Segment,4,2,1,100000002,510000002605,
12.7563,°,Segment,3,2,1,100000002,510000002610,
